,date,code,class,avg
0,2004-001,hallyeo,0,0.2005877923312985
1,2004-001,hallyeo,1,0.2216611594118307
2,2004-001,hallyeo,2,0.1961124826218206
3,2004-001,hallyeo,3,0.2134800540602225
4,2004-009,hallyeo,0,0.1897802436934968
5,2004-009,hallyeo,1,0.2163411166538239
6,2004-009,hallyeo,2,0.1853769972934677
7,2004-009,hallyeo,3,0.2039952860784106
8,2004-017,hallyeo,0,0.1983538080191343
9,2004-017,hallyeo,1,0.2265713115483455
10,2004-017,hallyeo,2,0.2012005144975311
11,2004-017,hallyeo,3,0.2166224224453923
12,2004-025,hallyeo,0,0.1900815402644344
13,2004-025,hallyeo,1,0.2180480268575806
14,2004-025,hallyeo,2,0.1850706540235145
15,2004-025,hallyeo,3,0.2086973787485085
16,2004-033,hallyeo,0,0.1838893895344812
17,2004-033,hallyeo,1,0.2123562177020254
18,2004-033,hallyeo,2,0.1851818122745655
19,2004-033,hallyeo,3,0.2019799635575483
20,2004-041,hallyeo,0,0.1963924084943414
21,2004-041,hallyeo,1,0.2247372539585009
22,2004-041,hallyeo,2,0.1969781685289786
23,2004-041,hallyeo,3,0.2166363827964991
24,2004-049,hallyeo,0,0.1882789511847082
25,2004-049,hallyeo,1,0.2143939175996407
26,2004-049,hallyeo,2,0.1898749286428372
27,2004-049,hallyeo,3,0.2055485292746812
28,2004-057,hallyeo,0,0.1910124139394829
29,2004-057,hallyeo,1,0.2056213244314779
30,2004-057,hallyeo,2,0.1835047231637511
31,2004-057,hallyeo,3,0.1996794916781265
32,2004-065,hallyeo,0,0.2020433530982306
33,2004-065,hallyeo,1,0.2277934757177751
34,2004-065,hallyeo,2,0.2077985646267028
35,2004-065,hallyeo,3,0.222956869525439
36,2004-073,hallyeo,0,0.2021507873454466
37,2004-073,hallyeo,1,0.2241875509569597
38,2004-073,hallyeo,2,0.2033784808891854
39,2004-073,hallyeo,3,0.2168687256957861
40,2004-081,hallyeo,0,0.2161947008578103
41,2004-081,hallyeo,1,0.2429863832451026
42,2004-081,hallyeo,2,0.2190713533662984
43,2004-081,hallyeo,3,0.2364347907993742
44,2004-089,hallyeo,0,0.2344499522440899
45,2004-089,hallyeo,1,0.2595801424794008
46,2004-089,hallyeo,2,0.253873623861758
47,2004-089,hallyeo,3,0.2558830325144478
48,2004-097,hallyeo,0,0.2987479832353485
49,2004-097,hallyeo,1,0.3134977598252353
50,2004-097,hallyeo,2,0.335274861536885
51,2004-097,hallyeo,3,0.3262515745611467
52,2004-105,hallyeo,0,0.4201436470252222
53,2004-105,hallyeo,1,0.4080570609454117
54,2004-105,hallyeo,2,0.4758948567347816
55,2004-105,hallyeo,3,0.4545220931960679
56,2004-113,hallyeo,0,0.4119978337731953
57,2004-113,hallyeo,1,0.4171617138793764
58,2004-113,hallyeo,2,0.4820763485028184
59,2004-113,hallyeo,3,0.4508261019309184
60,2004-121,hallyeo,0,0.48796598438017
61,2004-121,hallyeo,1,0.4556309741996277
62,2004-121,hallyeo,2,0.5321475830325035
63,2004-121,hallyeo,3,0.5136771701262456
64,2004-129,hallyeo,0,0.5159340325146463
65,2004-129,hallyeo,1,0.4734734366824177
66,2004-129,hallyeo,2,0.5342475754419704
67,2004-129,hallyeo,3,0.5107777796086084
68,2004-137,hallyeo,0,0.5016502607347378
69,2004-137,hallyeo,1,0.4660008031408041
70,2004-137,hallyeo,2,0.5446358073015437
71,2004-137,hallyeo,3,0.5129439846076849
72,2004-145,hallyeo,0,0.478228024763252
73,2004-145,hallyeo,1,0.4520317267534229
74,2004-145,hallyeo,2,0.5254847456139791
75,2004-145,hallyeo,3,0.4775855265351563
76,2004-153,hallyeo,0,0.5371617184868261
77,2004-153,hallyeo,1,0.4930196689407706
78,2004-153,hallyeo,2,0.5712154291446188
79,2004-153,hallyeo,3,0.541497337882158
80,2004-161,hallyeo,0,0.5549391495146306
81,2004-161,hallyeo,1,0.4909677360159006
82,2004-161,hallyeo,2,0.5747078288049222
83,2004-161,hallyeo,3,0.5338304167786914
84,2004-169,hallyeo,0,0.4367881801840035
85,2004-169,hallyeo,1,0.4054070283832346
86,2004-169,hallyeo,2,0.47031335846141
87,2004-169,hallyeo,3,0.4462732591223902
88,2004-177,hallyeo,0,0.296034500702237
89,2004-177,hallyeo,1,0.3193771958740871
90,2004-177,hallyeo,2,0.3328997891011916
91,2004-177,hallyeo,3,0.3186901095557833
92,2004-185,hallyeo,0,0.2968202891790351
93,2004-185,hallyeo,1,0.3132261114953354
94,2004-185,hallyeo,2,0.3432834110826641
95,2004-185,hallyeo,3,0.3434616770331929
96,2004-193,hallyeo,0,0.4428412711327473
97,2004-193,hallyeo,1,0.365782363668544
98,2004-193,hallyeo,2,0.4282384040826185
99,2004-193,hallyeo,3,0.3775996248717774
100,2004-201,hallyeo,0,0.5062058629053963
101,2004-201,hallyeo,1,0.4826638185615503
102,2004-201,hallyeo,2,0.5405865980932423
103,2004-201,hallyeo,3,0.5076729476391167
104,2004-209,hallyeo,0,0.5090889152376117
105,2004-209,hallyeo,1,0.4711922467647508
106,2004-209,hallyeo,2,0.5333809225195998
107,2004-209,hallyeo,3,0.5046101479285782
108,2004-217,hallyeo,0,0.5068157019944484
109,2004-217,hallyeo,1,0.4800891351591455
110,2004-217,hallyeo,2,0.5298893294224453
111,2004-217,hallyeo,3,0.5044729512011128
112,2004-225,hallyeo,0,0.4759350405994732
113,2004-225,hallyeo,1,0.4339405474920929
114,2004-225,hallyeo,2,0.4821952521062229
115,2004-225,hallyeo,3,0.4711174185693293
116,2004-233,hallyeo,0,0.404692962827704
117,2004-233,hallyeo,1,0.4024210508013893
118,2004-233,hallyeo,2,0.4569571925380736
119,2004-233,hallyeo,3,0.4250366081863757
120,2004-241,hallyeo,0,0.3659266501593883
121,2004-241,hallyeo,1,0.3087733188081144
122,2004-241,hallyeo,2,0.337766273375387
