,date,code,class,avg
0,2004-001,seorak,0,0.117988945129795
1,2004-001,seorak,1,0.1504222126264501
2,2004-001,seorak,2,0.1183056075966454
3,2004-001,seorak,3,0.1248659514420123
4,2004-009,seorak,0,0.117182839819971
5,2004-009,seorak,1,0.1513978004121241
6,2004-009,seorak,2,0.1198304771387342
7,2004-009,seorak,3,0.126106671224262
8,2004-017,seorak,0,0.1037165424542512
9,2004-017,seorak,1,0.1382350269253173
10,2004-017,seorak,2,0.1064646136569928
11,2004-017,seorak,3,0.111813313491145
12,2004-025,seorak,0,0.1269294316942508
13,2004-025,seorak,1,0.1631461945230887
14,2004-025,seorak,2,0.1281284855084505
15,2004-025,seorak,3,0.1358748167443504
16,2004-033,seorak,0,0.1089823135922386
17,2004-033,seorak,1,0.1434461292887549
18,2004-033,seorak,2,0.1136967358795377
19,2004-033,seorak,3,0.1181748789537472
20,2004-041,seorak,0,0.1329783174031313
21,2004-041,seorak,1,0.1639685688237413
22,2004-041,seorak,2,0.1388214651273559
23,2004-041,seorak,3,0.1434593563229958
24,2004-049,seorak,0,0.1331517756178815
25,2004-049,seorak,1,0.1575634356673222
26,2004-049,seorak,2,0.1325073487073862
27,2004-049,seorak,3,0.1339075486850212
28,2004-057,seorak,0,0.1322588745635
29,2004-057,seorak,1,0.1676632635454219
30,2004-057,seorak,2,0.1385620659056829
31,2004-057,seorak,3,0.1423807420984562
32,2004-065,seorak,0,0.1683482316441727
33,2004-065,seorak,1,0.1898199493244911
34,2004-065,seorak,2,0.1699704338446575
35,2004-065,seorak,3,0.177472945864645
36,2004-073,seorak,0,0.1515635606341381
37,2004-073,seorak,1,0.1736230665662294
38,2004-073,seorak,2,0.1518930946446776
39,2004-073,seorak,3,0.162003728749006
40,2004-081,seorak,0,0.1372818146972867
41,2004-081,seorak,1,0.1579189964818209
42,2004-081,seorak,2,0.1399815125275969
43,2004-081,seorak,3,0.1455729673140426
44,2004-089,seorak,0,0.1588586419758378
45,2004-089,seorak,1,0.1882515731605346
46,2004-089,seorak,2,0.1636947653386536
47,2004-089,seorak,3,0.1684967811128807
48,2004-097,seorak,0,0.1438404085293236
49,2004-097,seorak,1,0.1683727743869521
50,2004-097,seorak,2,0.1480973156381171
51,2004-097,seorak,3,0.1521032403974239
52,2004-105,seorak,0,0.1981187597507529
53,2004-105,seorak,1,0.2884921353656348
54,2004-105,seorak,2,0.2186356958156752
55,2004-105,seorak,3,0.2150581318078377
56,2004-113,seorak,0,0.2139640054427363
57,2004-113,seorak,1,0.2994331550662604
58,2004-113,seorak,2,0.2395983138942153
59,2004-113,seorak,3,0.2346683193606039
60,2004-121,seorak,0,0.325540024080946
61,2004-121,seorak,1,0.4052924548554226
62,2004-121,seorak,2,0.3662339840945113
63,2004-121,seorak,3,0.3524177643414163
64,2004-129,seorak,0,0.4484053183391933
65,2004-129,seorak,1,0.5291905206959043
66,2004-129,seorak,2,0.5254271353218811
67,2004-129,seorak,3,0.4871150640823772
68,2004-137,seorak,0,0.469315840919745
69,2004-137,seorak,1,0.5184716542703295
70,2004-137,seorak,2,0.5592254417601639
71,2004-137,seorak,3,0.5288432425043488
72,2004-145,seorak,0,0.4411699673019182
73,2004-145,seorak,1,0.4698693233520202
74,2004-145,seorak,2,0.5153382626069746
75,2004-145,seorak,3,0.4921251917925034
76,2004-153,seorak,0,0.5272317841834652
77,2004-153,seorak,1,0.5623891245336686
78,2004-153,seorak,2,0.6145651726291698
79,2004-153,seorak,3,0.5948388952686575
80,2004-161,seorak,0,0.5601500177389175
81,2004-161,seorak,1,0.582746258999429
82,2004-161,seorak,2,0.6388154582672657
83,2004-161,seorak,3,0.6181149232141759
84,2004-169,seorak,0,0.3758446376884435
85,2004-169,seorak,1,0.417932594418964
86,2004-169,seorak,2,0.4271981939474104
87,2004-169,seorak,3,0.3978246674651797
88,2004-177,seorak,0,0.4769506898873148
89,2004-177,seorak,1,0.5639692771527139
90,2004-177,seorak,2,0.5742335628036621
91,2004-177,seorak,3,0.5214488904072088
92,2004-185,seorak,0,0.4111958521029711
93,2004-185,seorak,1,0.4943404798180411
94,2004-185,seorak,2,0.484729477921573
95,2004-185,seorak,3,0.4802429338614305
96,2004-193,seorak,0,0.3168687641549952
97,2004-193,seorak,1,0.3639979091096825
98,2004-193,seorak,2,0.361901977494764
99,2004-193,seorak,3,0.3309395381927976
100,2004-201,seorak,0,0.4986639436650282
101,2004-201,seorak,1,0.5428162986951987
102,2004-201,seorak,2,0.5729192187023917
103,2004-201,seorak,3,0.5538147432936097
104,2004-209,seorak,0,0.5183337932957639
105,2004-209,seorak,1,0.5448633926071303
106,2004-209,seorak,2,0.578175809186113
107,2004-209,seorak,3,0.5639218204585078
108,2004-217,seorak,0,0.4455862435605583
109,2004-217,seorak,1,0.4884821043896127
110,2004-217,seorak,2,0.5088086593995089
111,2004-217,seorak,3,0.4937454399327415
112,2004-225,seorak,0,0.4413697613138472
113,2004-225,seorak,1,0.490154569372321
114,2004-225,seorak,2,0.5058395266493401
115,2004-225,seorak,3,0.4791724160445434
116,2004-233,seorak,0,0.4248902468792823
117,2004-233,seorak,1,0.4788687916075287
118,2004-233,seorak,2,0.4936307712123287
119,2004-233,seorak,3,0.4853014169021577
120,2004-241,seorak,0,0.3733337936917229
121,2004-241,seorak,1,0.4272140505891303
122,2004-241,seorak,2,0.4287989673246152
123,2004-241,seorak,3,0.4197038318397026
124,2004-249,seorak,0,0.3552852057037998
125,2004-249,seorak,1,0.4078435180739664
126,2004-249,seorak,2,0.4046426067805888
127,2004-249,seorak,3,0.3950135652798655
