,date,code,class,avg
0,2004-001,taebaek,0,0.1479561914276534
1,2004-001,taebaek,1,0.1381698458239734
2,2004-001,taebaek,2,0.1387225171131009
3,2004-001,taebaek,3,0.1406787388127452
4,2004-009,taebaek,0,0.1248613323419818
5,2004-009,taebaek,1,0.1204386597214499
6,2004-009,taebaek,2,0.1159124606719596
7,2004-009,taebaek,3,0.1195001569090836
8,2004-017,taebaek,0,0.1256573491237843
9,2004-017,taebaek,1,0.1322566311433736
10,2004-017,taebaek,2,0.1239735218319175
11,2004-017,taebaek,3,0.1285899886776486
12,2004-025,taebaek,0,0.1376561614373152
13,2004-025,taebaek,1,0.1484380577213936
14,2004-025,taebaek,2,0.1433741403731417
15,2004-025,taebaek,3,0.1477138728477073
16,2004-033,taebaek,0,0.1258798607199052
17,2004-033,taebaek,1,0.1337612141419769
18,2004-033,taebaek,2,0.1284602804069782
19,2004-033,taebaek,3,0.1346257534255733
20,2004-041,taebaek,0,0.160317494931147
21,2004-041,taebaek,1,0.1434759653637434
22,2004-041,taebaek,2,0.1422544649003873
23,2004-041,taebaek,3,0.1472906916490018
24,2004-049,taebaek,0,0.1644683392239666
25,2004-049,taebaek,1,0.1425835174220738
26,2004-049,taebaek,2,0.1433237932647863
27,2004-049,taebaek,3,0.159026342867442
28,2004-057,taebaek,0,0.1633801076060875
29,2004-057,taebaek,1,0.1587744864843246
30,2004-057,taebaek,2,0.1605892629374184
31,2004-057,taebaek,3,0.1620290285308368
32,2004-065,taebaek,0,0.186080804622218
33,2004-065,taebaek,1,0.1764609937387593
34,2004-065,taebaek,2,0.1808683291430049
35,2004-065,taebaek,3,0.173001612330351
36,2004-073,taebaek,0,0.1733625304177163
37,2004-073,taebaek,1,0.1632391193562153
38,2004-073,taebaek,2,0.1660855762485435
39,2004-073,taebaek,3,0.1685816541866863
40,2004-081,taebaek,0,0.1543383447927063
41,2004-081,taebaek,1,0.1702708979524861
42,2004-081,taebaek,2,0.1790673249934033
43,2004-081,taebaek,3,0.1666016432779146
44,2004-089,taebaek,0,0.1801199122536287
45,2004-089,taebaek,1,0.1721978615983008
