,date,code,class,avg
0,2005-001,jiri,0,0.1719127963073954
1,2005-001,jiri,1,0.2117503339959019
2,2005-001,jiri,2,0.1709336226442448
3,2005-001,jiri,3,0.1794086450053411
4,2005-009,jiri,0,0.1742014288748285
5,2005-009,jiri,1,0.2008540071323515
6,2005-009,jiri,2,0.1529387013742741
7,2005-009,jiri,3,0.1628076118429202
8,2005-017,jiri,0,0.1638041150039865
9,2005-017,jiri,1,0.1966562950293117
10,2005-017,jiri,2,0.1597083873667142
11,2005-017,jiri,3,0.1650277025378679
12,2005-025,jiri,0,0.1914754823288433
13,2005-025,jiri,1,0.2308658281448334
14,2005-025,jiri,2,0.186909377329242
15,2005-025,jiri,3,0.1980775917142577
16,2005-033,jiri,0,0.162984510008031
17,2005-033,jiri,1,0.1930249961164856
18,2005-033,jiri,2,0.1581949194383809
19,2005-033,jiri,3,0.1676349723735303
20,2005-041,jiri,0,0.1774969049031322
21,2005-041,jiri,1,0.2137066382539157
22,2005-041,jiri,2,0.1720157285201382
23,2005-041,jiri,3,0.1904541499030024
24,2005-049,jiri,0,0.1780390513942363
25,2005-049,jiri,1,0.2109757253974919
26,2005-049,jiri,2,0.1728459148748728
27,2005-049,jiri,3,0.1857058740202887
28,2005-057,jiri,0,0.1768773091966471
29,2005-057,jiri,1,0.2089740188898526
30,2005-057,jiri,2,0.1677150351379735
31,2005-057,jiri,3,0.1778617546796272
32,2005-065,jiri,0,0.1895757000697048
33,2005-065,jiri,1,0.2164793627343521
34,2005-065,jiri,2,0.1914813805471341
35,2005-065,jiri,3,0.190195894007875
36,2005-073,jiri,0,0.2128767253983769
37,2005-073,jiri,1,0.2418152253207162
38,2005-073,jiri,2,0.2027646132450866
39,2005-073,jiri,3,0.2228676950109586
40,2005-081,jiri,0,0.2167106546358875
41,2005-081,jiri,1,0.2375237622184187
42,2005-081,jiri,2,0.2042869062115374
43,2005-081,jiri,3,0.2187689521517595
44,2005-089,jiri,0,0.2041589786647379
45,2005-089,jiri,1,0.2314094685134608
46,2005-089,jiri,2,0.1966023987493732
47,2005-089,jiri,3,0.2019369860591167
48,2005-097,jiri,0,0.2350082756344647
49,2005-097,jiri,1,0.2577555278583442
50,2005-097,jiri,2,0.2208042068848029
51,2005-097,jiri,3,0.2334409540799717
52,2005-105,jiri,0,0.2187832492856652
53,2005-105,jiri,1,0.2467544502829402
54,2005-105,jiri,2,0.2120758305409529
55,2005-105,jiri,3,0.2168450003300654
56,2005-113,jiri,0,0.3180995412430099
57,2005-113,jiri,1,0.3616280599470471
58,2005-113,jiri,2,0.4074944234396673
59,2005-113,jiri,3,0.3174078280857372
60,2005-121,jiri,0,0.435492766464819
61,2005-121,jiri,1,0.468266692930438
62,2005-121,jiri,2,0.5690395013103258
63,2005-121,jiri,3,0.4456962443887275
64,2005-129,jiri,0,0.5353600911403612
65,2005-129,jiri,1,0.5505528597226479
66,2005-129,jiri,2,0.6681981023574667
67,2005-129,jiri,3,0.5562061241702426
68,2005-137,jiri,0,0.5393400164279833
69,2005-137,jiri,1,0.5612610226097433
70,2005-137,jiri,2,0.686073346563347
71,2005-137,jiri,3,0.5748596757258239
72,2005-145,jiri,0,0.6118634083194532
73,2005-145,jiri,1,0.5874587517797744
74,2005-145,jiri,2,0.7107874387611302
75,2005-145,jiri,3,0.6474469232437201
76,2005-153,jiri,0,0.591359422308289
77,2005-153,jiri,1,0.5633551421423858
78,2005-153,jiri,2,0.6447268700891118
79,2005-153,jiri,3,0.6029851390549568
80,2005-161,jiri,0,0.661486834372341
81,2005-161,jiri,1,0.6306676459908355
82,2005-161,jiri,2,0.7294135475280853
83,2005-161,jiri,3,0.68536903590905
84,2005-169,jiri,0,0.6715890143158114
85,2005-169,jiri,1,0.6401681879526571
86,2005-169,jiri,2,0.7284044924697901
87,2005-169,jiri,3,0.6964849766743308
88,2005-177,jiri,0,0.5831762964300036
