,date,code,class,avg
0,2008-001,deogyu,0,0.1573277983785029
1,2008-001,deogyu,1,0.1792070062642928
2,2008-001,deogyu,2,0.1485224783377733
3,2008-001,deogyu,3,0.1671357263132732
4,2008-009,deogyu,0,0.1584497709824899
5,2008-009,deogyu,1,0.1677630843939425
6,2008-009,deogyu,2,0.1434208503852819
7,2008-009,deogyu,3,0.1578069864711782
8,2008-017,deogyu,0,0.1609305224450712
9,2008-017,deogyu,1,0.1793668036129224
10,2008-017,deogyu,2,0.1339270122368384
11,2008-017,deogyu,3,0.1627578955808317
12,2008-025,deogyu,0,0.1593630866527475
13,2008-025,deogyu,1,0.1904073557855418
14,2008-025,deogyu,2,0.1542445556417198
15,2008-025,deogyu,3,0.1760399745380784
16,2008-033,deogyu,0,0.149258151618039
17,2008-033,deogyu,1,0.1868301002260448
18,2008-033,deogyu,2,0.1537121819563955
19,2008-033,deogyu,3,0.1747987483787735
20,2008-041,deogyu,0,0.1583814548100676
21,2008-041,deogyu,1,0.1804008337087117
22,2008-041,deogyu,2,0.1499589781310105
23,2008-041,deogyu,3,0.1694784543792978
24,2008-049,deogyu,0,0.1805931703783737
25,2008-049,deogyu,1,0.1914488805284937
26,2008-049,deogyu,2,0.1643708136519945
27,2008-049,deogyu,3,0.1832409382980235
28,2008-057,deogyu,0,0.1625542011649712
29,2008-057,deogyu,1,0.1822180887117324
30,2008-057,deogyu,2,0.1596867253589233
31,2008-057,deogyu,3,0.1726814112060542
32,2008-065,deogyu,0,0.1796894639771922
33,2008-065,deogyu,1,0.2032934209304631
34,2008-065,deogyu,2,0.1831800799755162
35,2008-065,deogyu,3,0.1946947957152248
36,2008-073,deogyu,0,0.1628460238123866
37,2008-073,deogyu,1,0.1924840314741109
38,2008-073,deogyu,2,0.1706811531812884
39,2008-073,deogyu,3,0.1815671894882019
40,2008-081,deogyu,0,0.1788055720731072
41,2008-081,deogyu,1,0.1854076465164839
42,2008-081,deogyu,2,0.1622682911489169
