,date,code,class,avg
0,2008-001,juwang,0,0.1875363848607519
1,2008-001,juwang,1,0.1938804357183618
2,2008-001,juwang,2,0.1632428605258729
3,2008-001,juwang,3,0.181955427381801
4,2008-009,juwang,0,0.1716296253039756
5,2008-009,juwang,1,0.1783565145185551
6,2008-009,juwang,2,0.1489885696912005
7,2008-009,juwang,3,0.1670714504295145
8,2008-017,juwang,0,0.2045142549888154
9,2008-017,juwang,1,0.203267384298219
10,2008-017,juwang,2,0.1582330647094279
11,2008-017,juwang,3,0.1864971522678676
12,2008-025,juwang,0,0.1838553053413979
13,2008-025,juwang,1,0.1923349509213689
14,2008-025,juwang,2,0.142130919698727
15,2008-025,juwang,3,0.1691626764689407
16,2008-033,juwang,0,0.1877230107909674
17,2008-033,juwang,1,0.1961019580012076
18,2008-033,juwang,2,0.1528284757202426
19,2008-033,juwang,3,0.1788679838354347
20,2008-041,juwang,0,0.1899855665450525
21,2008-041,juwang,1,0.2028896789805399
22,2008-041,juwang,2,0.1619984293872669
23,2008-041,juwang,3,0.1844350706665171
24,2008-049,juwang,0,0.2240907497984892
25,2008-049,juwang,1,0.2339695087904116
26,2008-049,juwang,2,0.1944092461590701
27,2008-049,juwang,3,0.2199152358549191
28,2008-057,juwang,0,0.217690404922124
29,2008-057,juwang,1,0.2334062305666857
30,2008-057,juwang,2,0.1967321771553373
31,2008-057,juwang,3,0.2173877966586096
32,2008-065,juwang,0,0.2140645495395476
33,2008-065,juwang,1,0.2183577690275025
34,2008-065,juwang,2,0.1888013033793561
35,2008-065,juwang,3,0.2066861239382057
36,2008-073,juwang,0,0.1940594850371599
37,2008-073,juwang,1,0.2058703756853099
38,2008-073,juwang,2,0.180315336876342
39,2008-073,juwang,3,0.1927423486528099
40,2008-081,juwang,0,0.206913808911905
41,2008-081,juwang,1,0.2209755616861443
42,2008-081,juwang,2,0.1951976848854516
43,2008-081,juwang,3,0.2088938419073022
44,2008-089,juwang,0,0.210720237213081
45,2008-089,juwang,1,0.2253695344096759
46,2008-089,juwang,2,0.1980525651841697
47,2008-089,juwang,3,0.2137601653643807
48,2008-097,juwang,0,0.2151279332289289
49,2008-097,juwang,1,0.2322465246767152
50,2008-097,juwang,2,0.2047882639050658
51,2008-097,juwang,3,0.2219654308103349
52,2008-105,juwang,0,0.2689936261113992
53,2008-105,juwang,1,0.2827017757279258
54,2008-105,juwang,2,0.2586578912764824
55,2008-105,juwang,3,0.2745829180080968
56,2008-113,juwang,0,0.4645104066595612
57,2008-113,juwang,1,0.4658018919584391
58,2008-113,juwang,2,0.5053934778394095
59,2008-113,juwang,3,0.490818231696696
60,2008-121,juwang,0,0.5910994617459117
61,2008-121,juwang,1,0.618222015374117
62,2008-121,juwang,2,0.6688187609969954
63,2008-121,juwang,3,0.6423112703373195
64,2008-129,juwang,0,0.6231524403464449
65,2008-129,juwang,1,0.630257661931137
66,2008-129,juwang,2,0.6962811794584159
67,2008-129,juwang,3,0.6629657111158646
68,2008-137,juwang,0,0.639025809725933
69,2008-137,juwang,1,0.652205487762529
70,2008-137,juwang,2,0.7243986073137345
71,2008-137,juwang,3,0.6896890820354902
72,2008-145,juwang,0,0.633319895450239
73,2008-145,juwang,1,0.6436510783480822
74,2008-145,juwang,2,0.7153993105208796
75,2008-145,juwang,3,0.6817865631479031
76,2008-153,juwang,0,0.5447698461265658
77,2008-153,juwang,1,0.5548700038640045
78,2008-153,juwang,2,0.6069890804988267
79,2008-153,juwang,3,0.5817205506266052
80,2008-161,juwang,0,0.5631142169612987
81,2008-161,juwang,1,0.5704981312826183
82,2008-161,juwang,2,0.6380215271049872
83,2008-161,juwang,3,0.6021669362061749
84,2008-169,juwang,0,0.5470947185439184
85,2008-169,juwang,1,0.536161998948817
86,2008-169,juwang,2,0.5735492813716061
87,2008-169,juwang,3,0.5556565722608175
88,2008-177,juwang,0,0.5415683287339058
89,2008-177,juwang,1,0.5645369599885081
90,2008-177,juwang,2,0.635748548746108
91,2008-177,juwang,3,0.5984642629255154
92,2008-185,juwang,0,0.6125596688420167
93,2008-185,juwang,1,0.6196768872148445
94,2008-185,juwang,2,0.7010684206616601
95,2008-185,juwang,3,0.6529230891291453
96,2008-193,juwang,0,0.4890986640445042
97,2008-193,juwang,1,0.5092761477089245
98,2008-193,juwang,2,0.5637029472021674
99,2008-193,juwang,3,0.529941040510497
100,2008-201,juwang,0,0.5086265814145299
101,2008-201,juwang,1,0.4932479541071781
102,2008-201,juwang,2,0.5130189988464503
103,2008-201,juwang,3,0.5085407077754169
104,2008-209,juwang,0,0.5699772823688922
105,2008-209,juwang,1,0.5832807900394029
106,2008-209,juwang,2,0.632142785332642
107,2008-209,juwang,3,0.6015579422881221
108,2008-217,juwang,0,0.5582557382899938
109,2008-217,juwang,1,0.5682194478363186
110,2008-217,juwang,2,0.5939778740799947
111,2008-217,juwang,3,0.5906229530269907
112,2008-225,juwang,0,0.4451179605188822
113,2008-225,juwang,1,0.4446113528033925
