,date,code,class,avg
0,2009-001,naejang,0,0.155657827139862
1,2009-001,naejang,1,0.1809669983689725
2,2009-001,naejang,2,0.1582571047607096
3,2009-001,naejang,3,0.1730228385116644
4,2009-009,naejang,0,0.2138862652463947
5,2009-009,naejang,1,0.2365353763716882
6,2009-009,naejang,2,0.1860379844106134
7,2009-009,naejang,3,0.2055625326532769
8,2009-017,naejang,0,0.1840849775099135
9,2009-017,naejang,1,0.2170613082820489
10,2009-017,naejang,2,0.177758033837789
11,2009-017,naejang,3,0.197948332970613
12,2009-025,naejang,0,0.1799258835508774
13,2009-025,naejang,1,0.2120550902959542
14,2009-025,naejang,2,0.1611210817368328
15,2009-025,naejang,3,0.1827833853169964
16,2009-033,naejang,0,0.1869031705008616
17,2009-033,naejang,1,0.199895059456644
18,2009-033,naejang,2,0.157295073953106
19,2009-033,naejang,3,0.1741972759297654
20,2009-041,naejang,0,0.1622406110726491
21,2009-041,naejang,1,0.181336471182882
22,2009-041,naejang,2,0.1379319696629523
23,2009-041,naejang,3,0.1506199848736314
24,2009-049,naejang,0,0.2062535371853632
25,2009-049,naejang,1,0.2192051228831472
26,2009-049,naejang,2,0.1803369270526757
27,2009-049,naejang,3,0.1963129123003805
28,2009-057,naejang,0,0.1942917583950173
29,2009-057,naejang,1,0.2000806727722582
30,2009-057,naejang,2,0.160848636060261
31,2009-057,naejang,3,0.1762773356402401
32,2009-065,naejang,0,0.197212894070303
33,2009-065,naejang,1,0.2171087070304019
34,2009-065,naejang,2,0.1804258213838744
35,2009-065,naejang,3,0.1945677654253535
36,2009-073,naejang,0,0.2165458734694881
37,2009-073,naejang,1,0.2339793257879787
38,2009-073,naejang,2,0.2003460825715948
39,2009-073,naejang,3,0.2133097033148003
40,2009-081,naejang,0,0.1960870071599557
41,2009-081,naejang,1,0.2063188149851519
42,2009-081,naejang,2,0.1776934215995051
43,2009-081,naejang,3,0.1890097384611142
44,2009-089,naejang,0,0.1912532931362463
45,2009-089,naejang,1,0.20408116123234
46,2009-089,naejang,2,0.1653287333657067
47,2009-089,naejang,3,0.177285927410829
48,2009-097,naejang,0,0.3050772366756621
49,2009-097,naejang,1,0.3134302890974886
50,2009-097,naejang,2,0.3009293354284503
51,2009-097,naejang,3,0.2974225598074181
52,2009-105,naejang,0,0.2999294863649558
53,2009-105,naejang,1,0.3491791021446341
54,2009-105,naejang,2,0.322469987916838
55,2009-105,naejang,3,0.318780080015619
56,2009-113,naejang,0,0.3905272595077642
57,2009-113,naejang,1,0.4130839855681669
58,2009-113,naejang,2,0.4422451075906661
59,2009-113,naejang,3,0.4191311244597172
60,2009-121,naejang,0,0.5133139832526454
61,2009-121,naejang,1,0.4824410479781396
62,2009-121,naejang,2,0.570336138685696
63,2009-121,naejang,3,0.5579700499052671
64,2009-129,naejang,0,0.5967043552094863
65,2009-129,naejang,1,0.5597765011782687
66,2009-129,naejang,2,0.6658202455898654
67,2009-129,naejang,3,0.6346100444793152
68,2009-137,naejang,0,0.5411933008960178
69,2009-137,naejang,1,0.5313486670159283
70,2009-137,naejang,2,0.6198042086640679
71,2009-137,naejang,3,0.5940978790527619
72,2009-145,naejang,0,0.6226754957075292
73,2009-145,naejang,1,0.5704894762110789
74,2009-145,naejang,2,0.6693520289234957
75,2009-145,naejang,3,0.6385929781840098
76,2009-153,naejang,0,0.5243771035275036
77,2009-153,naejang,1,0.5036986497334692
78,2009-153,naejang,2,0.5842834303424949
79,2009-153,naejang,3,0.5629823647882334
80,2009-161,naejang,0,0.6159627504809763
81,2009-161,naejang,1,0.5751285867002539
82,2009-161,naejang,2,0.683935741014172
83,2009-161,naejang,3,0.6457112941561594
84,2009-169,naejang,0,0.6313370189795421
85,2009-169,naejang,1,0.6132759444600595
86,2009-169,naejang,2,0.6959109861626984
87,2009-169,naejang,3,0.6724687700174253
88,2009-177,naejang,0,0.4661521559898818
89,2009-177,naejang,1,0.4862277267314638
90,2009-177,naejang,2,0.483510559294895
91,2009-177,naejang,3,0.4562912717826221
92,2009-185,naejang,0,0.3159741920164596
93,2009-185,naejang,1,0.3773570455650318
94,2009-185,naejang,2,0.354466744536217
95,2009-185,naejang,3,0.3512370086574034
96,2009-193,naejang,0,0.235924364977089
97,2009-193,naejang,1,0.235207391389269
98,2009-193,naejang,2,0.2314810202015357
99,2009-193,naejang,3,0.2275872436758754
100,2009-201,naejang,0,0.5031791613763931
101,2009-201,naejang,1,0.50957159126072
102,2009-201,naejang,2,0.5593807827227725
103,2009-201,naejang,3,0.558354180000562
104,2009-209,naejang,0,0.5649984243915254
105,2009-209,naejang,1,0.5410787189747246
106,2009-209,naejang,2,0.592242567722163
107,2009-209,naejang,3,0.5742649983344603
108,2009-217,naejang,0,0.4741094284946741
109,2009-217,naejang,1,0.486019969495427
110,2009-217,naejang,2,0.4964227615312152
111,2009-217,naejang,3,0.498717304198359
112,2009-225,naejang,0,0.5728246004547527
113,2009-225,naejang,1,0.5415800299415521
114,2009-225,naejang,2,0.5912397422166751
115,2009-225,naejang,3,0.5792363940762624
116,2009-233,naejang,0,0.4765728322511307
117,2009-233,naejang,1,0.4728709975603822
118,2009-233,naejang,2,0.5003675292110282
119,2009-233,naejang,3,0.4942304310658412
120,2009-241,naejang,0,0.5614860446107828
121,2009-241,naejang,1,0.5031104747098804
122,2009-241,naejang,2,0.5586096890949986
123,2009-241,naejang,3,0.5407869130255972
124,2009-249,naejang,0,0.5385561121366048
125,2009-249,naejang,1,0.4901769907570614
126,2009-249,naejang,2,0.5518647774965637
127,2009-249,naejang,3,0.5474778376596273
128,2009-257,naejang,0,0.5119505816997101
129,2009-257,naejang,1,0.4874166146413632
130,2009-257,naejang,2,0.5350209441430722
131,2009-257,naejang,3,0.5256648576366744
132,2009-265,naejang,0,0.5123669523730183
133,2009-265,naejang,1,0.5056008520502749
134,2009-265,naejang,2,0.534548642399754
135,2009-265,naejang,3,0.5309712284972549
136,2009-273,naejang,0,0.4444860943339556
137,2009-273,naejang,1,0.4211851512269846
138,2009-273,naejang,2,0.4451273287574283
139,2009-273,naejang,3,0.4394893437546139
140,2009-281,naejang,0,0.3709063140368751
141,2009-281,naejang,1,0.3667490913412874
142,2009-281,naejang,2,0.3740441493889004
143,2009-281,naejang,3,0.3811181969064786
144,2009-289,naejang,0,0.3432829663916049
145,2009-289,naejang,1,0.3381363990015786
146,2009-289,naejang,2,0.3446005542739453
147,2009-289,naejang,3,0.3470121809549429
148,2009-297,naejang,0,0.3314153270752908
149,2009-297,naejang,1,0.3509873754305647
150,2009-297,naejang,2,0.3453449723962895
151,2009-297,naejang,3,0.3575132892884647
152,2009-305,naejang,0,0.2639410437095499
153,2009-305,naejang,1,0.2789960349024803
154,2009-305,naejang,2,0.2328575882378121
155,2009-305,naejang,3,0.2477794156904583
156,2009-313,naejang,0,0.2244509598277688
157,2009-313,naejang,1,0.2618260575800414
158,2009-313,naejang,2,0.1973792975061214
159,2009-313,naejang,3,0.2230470100538121
160,2009-321,naejang,0,0.2258767013693132
161,2009-321,naejang,1,0.2437197119820713
162,2009-321,naejang,2,0.1897701830840907
163,2009-321,naejang,3,0.2080139379400515
164,2009-329,naejang,0,0.2086534694124917
165,2009-329,naejang,1,0.2287552751260925
166,2009-329,naejang,2,0.1681223147168763
167,2009-329,naejang,3,0.1913231972325137
168,2009-337,naejang,0,0.2200381550978306
169,2009-337,naejang,1,0.2329611856025379
170,2009-337,naejang,2,0.1844398719441821
171,2009-337,naejang,3,0.2046873162180561
172,2009-345,naejang,0,0.1972981235044352
173,2009-345,naejang,1,0.2228569134597277
174,2009-345,naejang,2,0.1648740815787497
175,2009-345,naejang,3,0.1895255589904621
176,2009-353,naejang,0,0.1733564929150424
177,2009-353,naejang,1,0.1900663711852635
178,2009-353,naejang,2,0.1446019450707007
179,2009-353,naejang,3,0.1609967888672526
180,2009-361,naejang,0,0.1733597782746631
181,2009-361,naejang,1,0.2041716954242736
182,2009-361,naejang,2,0.1523516293885757
183,2009-361,naejang,3,0.1725490714423662
