,date,code,class,avg
0,2010-001,byeonsan,0,0.1170993726915107
1,2010-001,byeonsan,1,0.1317389248440741
2,2010-001,byeonsan,2,0.0977834881845766
3,2010-001,byeonsan,3,0.1184404617535933
4,2010-009,byeonsan,0,0.1717674649200791
5,2010-009,byeonsan,1,0.1945523040108041
6,2010-009,byeonsan,2,0.1537578532505883
7,2010-009,byeonsan,3,0.1761472742478755
8,2010-017,byeonsan,0,0.1821135994029805
9,2010-017,byeonsan,1,0.2106320562034322
10,2010-017,byeonsan,2,0.1629941245201884
11,2010-017,byeonsan,3,0.1896553935312373
12,2010-025,byeonsan,0,0.2028172612206948
13,2010-025,byeonsan,1,0.2267040952247619
14,2010-025,byeonsan,2,0.1865740354569753
15,2010-025,byeonsan,3,0.2073155489614536
16,2010-033,byeonsan,0,0.2103689638979144
17,2010-033,byeonsan,1,0.2372099069857808
18,2010-033,byeonsan,2,0.194510742652904
19,2010-033,byeonsan,3,0.2172867270378117
20,2010-041,byeonsan,0,0.1862909991966886
21,2010-041,byeonsan,1,0.2112099036583406
22,2010-041,byeonsan,2,0.1715941284346754
23,2010-041,byeonsan,3,0.1939551358350187
24,2010-049,byeonsan,0,0.2109328253819344
25,2010-049,byeonsan,1,0.2348785909990109
26,2010-049,byeonsan,2,0.2022836437321243
27,2010-049,byeonsan,3,0.2208108650409045
28,2010-057,byeonsan,0,0.1734696009956838
29,2010-057,byeonsan,1,0.1879384629031953
30,2010-057,byeonsan,2,0.1657281874027499
31,2010-057,byeonsan,3,0.1786218604416461
32,2010-065,byeonsan,0,0.2019887906468674
33,2010-065,byeonsan,1,0.2221372039996049
34,2010-065,byeonsan,2,0.1950387655874762
35,2010-065,byeonsan,3,0.2092159163622461
36,2010-073,byeonsan,0,0.1848359968620253
37,2010-073,byeonsan,1,0.2121612412220775
38,2010-073,byeonsan,2,0.1703308274445015
39,2010-073,byeonsan,3,0.1939496878172184
40,2010-081,byeonsan,0,0.2138966082240505
41,2010-081,byeonsan,1,0.2395108845951586
42,2010-081,byeonsan,2,0.2027308372279975
43,2010-081,byeonsan,3,0.2225027305080056
44,2010-089,byeonsan,0,0.1990344001713107
45,2010-089,byeonsan,1,0.2233890084152313
46,2010-089,byeonsan,2,0.1850381900043831
47,2010-089,byeonsan,3,0.207744884101779
48,2010-097,byeonsan,0,0.2043598814621924
49,2010-097,byeonsan,1,0.2275129964318578
50,2010-097,byeonsan,2,0.1937714886964013
51,2010-097,byeonsan,3,0.2110350282577561
52,2010-105,byeonsan,0,0.2556528369457732
53,2010-105,byeonsan,1,0.2835185233913011
54,2010-105,byeonsan,2,0.2413175652153302
55,2010-105,byeonsan,3,0.2651084275274821
56,2010-113,byeonsan,0,0.2503738482137113
57,2010-113,byeonsan,1,0.2718316118584021
58,2010-113,byeonsan,2,0.247735817588739
59,2010-113,byeonsan,3,0.2600668784289683
60,2010-121,byeonsan,0,0.4593268708322199
61,2010-121,byeonsan,1,0.4503626466457206
62,2010-121,byeonsan,2,0.5122220994669635
63,2010-121,byeonsan,3,0.4784793945497468
64,2010-129,byeonsan,0,0.5279606640864791
65,2010-129,byeonsan,1,0.4928490453139263
66,2010-129,byeonsan,2,0.604878516327828
67,2010-129,byeonsan,3,0.5397469584458078
68,2010-137,byeonsan,0,0.5338838903722511
69,2010-137,byeonsan,1,0.500664361488494
70,2010-137,byeonsan,2,0.6066219877062844
71,2010-137,byeonsan,3,0.550421369484745
72,2010-145,byeonsan,0,0.5541138293365987
73,2010-145,byeonsan,1,0.5117441340509149
74,2010-145,byeonsan,2,0.6386285234440993
75,2010-145,byeonsan,3,0.5647890993791268
76,2010-153,byeonsan,0,0.5242558091792178
77,2010-153,byeonsan,1,0.5022938351022991
78,2010-153,byeonsan,2,0.5975429875000744
79,2010-153,byeonsan,3,0.5463933217310987
80,2010-161,byeonsan,0,0.5384676265513835
81,2010-161,byeonsan,1,0.5023555940208957
82,2010-161,byeonsan,2,0.6186587386280114
83,2010-161,byeonsan,3,0.5529992858924607
84,2010-169,byeonsan,0,0.5293974444366231
85,2010-169,byeonsan,1,0.4958485614013415
86,2010-169,byeonsan,2,0.5904172098189784
87,2010-169,byeonsan,3,0.5404910833368107
88,2010-177,byeonsan,0,0.5503898202296905
89,2010-177,byeonsan,1,0.5292533118779185
90,2010-177,byeonsan,2,0.6276209021298613
91,2010-177,byeonsan,3,0.5712368292401682
92,2010-185,byeonsan,0,0.5374351040404927
93,2010-185,byeonsan,1,0.5148941904479644
94,2010-185,byeonsan,2,0.6052058578522133
95,2010-185,byeonsan,3,0.5596509533266484
96,2010-193,byeonsan,0,0.4233292307278385
97,2010-193,byeonsan,1,0.4044116770190152
98,2010-193,byeonsan,2,0.4759552259284871
99,2010-193,byeonsan,3,0.4286967503133697
100,2010-201,byeonsan,0,0.5430979255583595
101,2010-201,byeonsan,1,0.503826471685188
102,2010-201,byeonsan,2,0.575814669026271
103,2010-201,byeonsan,3,0.5307256153504881
104,2010-209,byeonsan,0,0.5524109084406273
105,2010-209,byeonsan,1,0.5326215113412828
106,2010-209,byeonsan,2,0.6054504032558428
107,2010-209,byeonsan,3,0.5540300378387174
108,2010-217,byeonsan,0,0.4911943789598119
109,2010-217,byeonsan,1,0.4926507933503442
110,2010-217,byeonsan,2,0.5272492115244279
111,2010-217,byeonsan,3,0.5075623322141166
112,2010-225,byeonsan,0,0.544856889698059
113,2010-225,byeonsan,1,0.5400411175334959
114,2010-225,byeonsan,2,0.5955182831938167
115,2010-225,byeonsan,3,0.5574175632005509
116,2010-233,byeonsan,0,0.4287793468836604
117,2010-233,byeonsan,1,0.4430144284491978
118,2010-233,byeonsan,2,0.4668912550710217
119,2010-233,byeonsan,3,0.4529058313170145
120,2010-241,byeonsan,0,0.4405580059025413
121,2010-241,byeonsan,1,0.4377788668485378
122,2010-241,byeonsan,2,0.4541545934322769
123,2010-241,byeonsan,3,0.4417783339913312
124,2010-249,byeonsan,0,0.4589739941021883
125,2010-249,byeonsan,1,0.454187586112384
126,2010-249,byeonsan,2,0.4944060542908103
127,2010-249,byeonsan,3,0.4662831493825689
128,2010-257,byeonsan,0,0.434494831080063
129,2010-257,byeonsan,1,0.4320303365107122
130,2010-257,byeonsan,2,0.4664066836604189
131,2010-257,byeonsan,3,0.4402552895145246
132,2010-265,byeonsan,0,0.4184333039150774
133,2010-265,byeonsan,1,0.4163601446388792
134,2010-265,byeonsan,2,0.4342068552345045
135,2010-265,byeonsan,3,0.4222581396489063
136,2010-273,byeonsan,0,0.4217964577585106
137,2010-273,byeonsan,1,0.4196217345688602
138,2010-273,byeonsan,2,0.4465013750851622
139,2010-273,byeonsan,3,0.4247847276333306
140,2010-281,byeonsan,0,0.4347667431031525
141,2010-281,byeonsan,1,0.4276914285121831
142,2010-281,byeonsan,2,0.4639964168323701
143,2010-281,byeonsan,3,0.4382526605655855
144,2010-289,byeonsan,0,0.3889667703480101
145,2010-289,byeonsan,1,0.3937516056756652
146,2010-289,byeonsan,2,0.407056677539667
