,date,code,class,avg
0,2010-001,mudeung,0,0.131223943187456
1,2010-001,mudeung,1,0.1634394729613864
2,2010-001,mudeung,2,0.1503829728975791
3,2010-001,mudeung,3,0.1654656053609662
4,2010-009,mudeung,0,0.1710625193660283
5,2010-009,mudeung,1,0.1923928593631136
6,2010-009,mudeung,2,0.1685666500939787
7,2010-009,mudeung,3,0.191802177658507
8,2010-017,mudeung,0,0.1707463955408543
9,2010-017,mudeung,1,0.1931861518294427
10,2010-017,mudeung,2,0.1661742150218945
11,2010-017,mudeung,3,0.1908367314705055
12,2010-025,mudeung,0,0.1805674854290157
13,2010-025,mudeung,1,0.2076291229328866
14,2010-025,mudeung,2,0.180787537223403
15,2010-025,mudeung,3,0.2041891648635034
16,2010-033,mudeung,0,0.2004517144809136
17,2010-033,mudeung,1,0.2085140761047035
18,2010-033,mudeung,2,0.185317996581689
19,2010-033,mudeung,3,0.2006113712699707
20,2010-041,mudeung,0,0.1805570745203384
21,2010-041,mudeung,1,0.1995570837971281
22,2010-041,mudeung,2,0.179372684522177
23,2010-041,mudeung,3,0.2017166391975071
24,2010-049,mudeung,0,0.1725584220973214
25,2010-049,mudeung,1,0.1930961710426485
26,2010-049,mudeung,2,0.169485478644477
27,2010-049,mudeung,3,0.1920464582228602
28,2010-057,mudeung,0,0.14966438780028
29,2010-057,mudeung,1,0.1658468572057157
30,2010-057,mudeung,2,0.147177215990044
31,2010-057,mudeung,3,0.1588141609957354
32,2010-065,mudeung,0,0.1966011253808531
33,2010-065,mudeung,1,0.2153043324541894
34,2010-065,mudeung,2,0.1948804196078033
35,2010-065,mudeung,3,0.2114251554688894
36,2010-073,mudeung,0,0.1747678120462848
37,2010-073,mudeung,1,0.206667300796207
38,2010-073,mudeung,2,0.1799379454160519
39,2010-073,mudeung,3,0.2055720362271737
40,2010-081,mudeung,0,0.1984648205311521
41,2010-081,mudeung,1,0.2236245984244197
42,2010-081,mudeung,2,0.1972352154429844
43,2010-081,mudeung,3,0.2192934179640299
44,2010-089,mudeung,0,0.1941842541420509
45,2010-089,mudeung,1,0.2200273561197414
46,2010-089,mudeung,2,0.1962635164283283
47,2010-089,mudeung,3,0.2175248055151334
48,2010-097,mudeung,0,0.1809528737200963
49,2010-097,mudeung,1,0.2095509233856211
50,2010-097,mudeung,2,0.1851868053362061
51,2010-097,mudeung,3,0.2059370391581011
52,2010-105,mudeung,0,0.2338374092867343
53,2010-105,mudeung,1,0.2793075465903123
54,2010-105,mudeung,2,0.2497884554493963
55,2010-105,mudeung,3,0.2816047423996163
56,2010-113,mudeung,0,0.2358625755002664
57,2010-113,mudeung,1,0.2823026166212296
58,2010-113,mudeung,2,0.2565328299136407
59,2010-113,mudeung,3,0.2845568062401461
60,2010-121,mudeung,0,0.3977312346337143
61,2010-121,mudeung,1,0.4382061562216517
62,2010-121,mudeung,2,0.4801251696909684
63,2010-121,mudeung,3,0.4740232895409301
64,2010-129,mudeung,0,0.5255369297284765
65,2010-129,mudeung,1,0.5118393565455489
66,2010-129,mudeung,2,0.587903571973607
67,2010-129,mudeung,3,0.5548087972570046
68,2010-137,mudeung,0,0.5420062388537643
69,2010-137,mudeung,1,0.5236187017856281
70,2010-137,mudeung,2,0.5969840778281431
71,2010-137,mudeung,3,0.5598191908805075
72,2010-145,mudeung,0,0.6386072581889887
73,2010-145,mudeung,1,0.5830627686359698
74,2010-145,mudeung,2,0.6587560997701385
75,2010-145,mudeung,3,0.5931688344531468
76,2010-153,mudeung,0,0.6364791182058042
77,2010-153,mudeung,1,0.5650501699575755
78,2010-153,mudeung,2,0.6273009742999842
79,2010-153,mudeung,3,0.5700419005487443
80,2010-161,mudeung,0,0.5781832339863316
81,2010-161,mudeung,1,0.524826696124177
82,2010-161,mudeung,2,0.5895631301996863
83,2010-161,mudeung,3,0.5326141773741936
84,2010-169,mudeung,0,0.6247329026693177
85,2010-169,mudeung,1,0.5725131878597137
86,2010-169,mudeung,2,0.6430993374502778
87,2010-169,mudeung,3,0.5813996425562573
88,2010-177,mudeung,0,0.4276932468808614
89,2010-177,mudeung,1,0.4244151730168428
90,2010-177,mudeung,2,0.4387081087782473
91,2010-177,mudeung,3,0.4032106262319864
92,2010-185,mudeung,0,0.6454504115116387
93,2010-185,mudeung,1,0.6091943507163765
94,2010-185,mudeung,2,0.6608598171428693
95,2010-185,mudeung,3,0.6291964139136516
96,2010-193,mudeung,0,0.3764525790924357
97,2010-193,mudeung,1,0.4060654399830073
98,2010-193,mudeung,2,0.3848145783618729
99,2010-193,mudeung,3,0.407553664760588
100,2010-201,mudeung,0,0.4281700741471078
101,2010-201,mudeung,1,0.4774072121564651
102,2010-201,mudeung,2,0.4777667432328414
103,2010-201,mudeung,3,0.4783957750215108
104,2010-209,mudeung,0,0.4393556291827393
105,2010-209,mudeung,1,0.4657124493435956
106,2010-209,mudeung,2,0.458363457680054
107,2010-209,mudeung,3,0.4720059137543308
108,2010-217,mudeung,0,0.4429824538574816
109,2010-217,mudeung,1,0.4567490870900085
110,2010-217,mudeung,2,0.4648672378728631
111,2010-217,mudeung,3,0.4686925341210003
112,2010-225,mudeung,0,0.5592359376202081
113,2010-225,mudeung,1,0.4914107488604476
114,2010-225,mudeung,2,0.5110090063887212
115,2010-225,mudeung,3,0.4854737282545636
116,2010-233,mudeung,0,0.5242767758584415
117,2010-233,mudeung,1,0.4912117799648349
118,2010-233,mudeung,2,0.5103428736395701
119,2010-233,mudeung,3,0.5166287910475288
120,2010-241,mudeung,0,0.4255982369630258
121,2010-241,mudeung,1,0.4221483169987014
122,2010-241,mudeung,2,0.4525060920803661
123,2010-241,mudeung,3,0.4333690499565611
124,2010-249,mudeung,0,0.4465268078750696
125,2010-249,mudeung,1,0.4635886993436138
126,2010-249,mudeung,2,0.4602280372223792
127,2010-249,mudeung,3,0.4701721253151668
128,2010-257,mudeung,0,0.517815163202438
129,2010-257,mudeung,1,0.4875204824586838
130,2010-257,mudeung,2,0.5146550844977053
131,2010-257,mudeung,3,0.4881698727452931
132,2010-265,mudeung,0,0.4516458619961357
133,2010-265,mudeung,1,0.4357159378964108
134,2010-265,mudeung,2,0.4598891310032307
135,2010-265,mudeung,3,0.4401508201773382
136,2010-273,mudeung,0,0.4608388078692247
137,2010-273,mudeung,1,0.4388630777643751
138,2010-273,mudeung,2,0.4612996432132716
139,2010-273,mudeung,3,0.4405598961892765
140,2010-281,mudeung,0,0.4883877818415383
141,2010-281,mudeung,1,0.4773224928149934
142,2010-281,mudeung,2,0.5118181684189349
143,2010-281,mudeung,3,0.4883896797626374
144,2010-289,mudeung,0,0.3802832253685498
145,2010-289,mudeung,1,0.3990562238016235
146,2010-289,mudeung,2,0.4116340072416883
147,2010-289,mudeung,3,0.4189598713088761
148,2010-297,mudeung,0,0.3303678012357523
149,2010-297,mudeung,1,0.3632036864003682
150,2010-297,mudeung,2,0.3748155299805686
151,2010-297,mudeung,3,0.38938148070166
152,2010-305,mudeung,0,0.2995727241828178
153,2010-305,mudeung,1,0.3355292854842773
154,2010-305,mudeung,2,0.3308217993594886
155,2010-305,mudeung,3,0.3498806373694886
156,2010-313,mudeung,0,0.248119169943838
157,2010-313,mudeung,1,0.2743291198516109
158,2010-313,mudeung,2,0.2588860367425666
159,2010-313,mudeung,3,0.2775540005260752
160,2010-321,mudeung,0,0.2105497931591228
161,2010-321,mudeung,1,0.2359142304511083
162,2010-321,mudeung,2,0.2061878344419952
163,2010-321,mudeung,3,0.2322667153118428
164,2010-329,mudeung,0,0.2295440244818223
165,2010-329,mudeung,1,0.2534577239773047
166,2010-329,mudeung,2,0.2240119439430454
167,2010-329,mudeung,3,0.2561207989018228
168,2010-337,mudeung,0,0.2370737887816386
169,2010-337,mudeung,1,0.2546046340139967
170,2010-337,mudeung,2,0.2290028368247034
171,2010-337,mudeung,3,0.2536960978385644
172,2010-345,mudeung,0,0.2095711397650629
173,2010-345,mudeung,1,0.2175173888895887
174,2010-345,mudeung,2,0.1985743599519677
175,2010-345,mudeung,3,0.214506609347777
176,2010-353,mudeung,0,0.2227421110792182
177,2010-353,mudeung,1,0.2254571537416134
178,2010-353,mudeung,2,0.2018588477008084
179,2010-353,mudeung,3,0.2186968031475247
180,2010-361,mudeung,0,0.1262502806806091
181,2010-361,mudeung,1,0.1626127006909626
182,2010-361,mudeung,2,0.1442608395463457
183,2010-361,mudeung,3,0.1669463074966277
