,date,code,class,avg
0,2011-001,chiak,0,0.1476347527308374
1,2011-001,chiak,1,0.179244142312841
2,2011-001,chiak,2,0.1443786312864956
3,2011-001,chiak,3,0.16835499535381
4,2011-009,chiak,0,0.149485910159235
5,2011-009,chiak,1,0.1860476698274253
6,2011-009,chiak,2,0.1563904284484379
7,2011-009,chiak,3,0.1821645716493592
8,2011-017,chiak,0,0.1586696165984652
9,2011-017,chiak,1,0.1866063315433947
10,2011-017,chiak,2,0.1593337634745973
11,2011-017,chiak,3,0.1793103457034022
12,2011-025,chiak,0,0.1385036546009723
13,2011-025,chiak,1,0.1761216119676911
14,2011-025,chiak,2,0.1401306354356049
15,2011-025,chiak,3,0.1646970525193165
16,2011-033,chiak,0,0.1570242134696129
17,2011-033,chiak,1,0.1750895775453811
18,2011-033,chiak,2,0.1430253224626035
19,2011-033,chiak,3,0.1662228424260812
20,2011-041,chiak,0,0.1654806188586354
21,2011-041,chiak,1,0.1871859442358964
22,2011-041,chiak,2,0.1576191778330171
23,2011-041,chiak,3,0.1742132159900748
24,2011-049,chiak,0,0.1640107099339157
25,2011-049,chiak,1,0.1847635635349544
26,2011-049,chiak,2,0.1465250113952045
27,2011-049,chiak,3,0.1686202128819375
28,2011-057,chiak,0,0.1549197354673177
29,2011-057,chiak,1,0.1786053402744795
30,2011-057,chiak,2,0.149418055874953
31,2011-057,chiak,3,0.1673146154164921
32,2011-065,chiak,0,0.1506486804406343
33,2011-065,chiak,1,0.1634563826507909
34,2011-065,chiak,2,0.1429627703870267
35,2011-065,chiak,3,0.153296357840199
36,2011-073,chiak,0,0.1579964393157732
37,2011-073,chiak,1,0.1832298431673393
38,2011-073,chiak,2,0.1551620645768047
39,2011-073,chiak,3,0.1731799354052554
40,2011-081,chiak,0,0.1692214234327146
41,2011-081,chiak,1,0.1917558056606947
42,2011-081,chiak,2,0.1667972313414519
43,2011-081,chiak,3,0.1822215933753897
44,2011-089,chiak,0,0.18007092567561
45,2011-089,chiak,1,0.2020162457058765
46,2011-089,chiak,2,0.1788713254214254
47,2011-089,chiak,3,0.1914594524161366
48,2011-097,chiak,0,0.168113789105605
49,2011-097,chiak,1,0.1907944556944459
50,2011-097,chiak,2,0.1673377999588061
51,2011-097,chiak,3,0.1846791859359024
52,2011-105,chiak,0,0.1618350185056052
53,2011-105,chiak,1,0.1850072532756625
54,2011-105,chiak,2,0.1595200726778846
55,2011-105,chiak,3,0.173937621094989
56,2011-113,chiak,0,0.2185882042891458
57,2011-113,chiak,1,0.2513690494469416
58,2011-113,chiak,2,0.2024955205699806
59,2011-113,chiak,3,0.2473799676831404
60,2011-121,chiak,0,0.2714612223908926
61,2011-121,chiak,1,0.3178346910252618
62,2011-121,chiak,2,0.2688435575945517
63,2011-121,chiak,3,0.3210645954517868
64,2011-129,chiak,0,0.3216717234697752
65,2011-129,chiak,1,0.3637760796257859
66,2011-129,chiak,2,0.325751808366725
67,2011-129,chiak,3,0.3840130252796871
68,2011-137,chiak,0,0.5760631451842823
69,2011-137,chiak,1,0.6106374498226537
70,2011-137,chiak,2,0.6884513265832397
71,2011-137,chiak,3,0.6652553498504806
72,2011-145,chiak,0,0.5758034321877856
73,2011-145,chiak,1,0.5959266787296699
74,2011-145,chiak,2,0.6662553521609286
75,2011-145,chiak,3,0.6316294550984666
76,2011-153,chiak,0,0.5765825429071881
77,2011-153,chiak,1,0.5992087026502989
78,2011-153,chiak,2,0.6729690455534618
79,2011-153,chiak,3,0.6401336164573082
80,2011-161,chiak,0,0.6190101566687525
81,2011-161,chiak,1,0.6241767617980667
82,2011-161,chiak,2,0.6943579781199647
83,2011-161,chiak,3,0.6512980885121077
84,2011-169,chiak,0,0.5756634444687976
85,2011-169,chiak,1,0.5841379732279408
86,2011-169,chiak,2,0.6512264635685839
87,2011-169,chiak,3,0.6191957033561314
88,2011-177,chiak,0,0.5508339992938247
89,2011-177,chiak,1,0.5466434926141093
90,2011-177,chiak,2,0.6108219901786864
91,2011-177,chiak,3,0.5665012601724829
92,2011-185,chiak,0,0.5070231397502089
93,2011-185,chiak,1,0.5043636423972224
94,2011-185,chiak,2,0.532159076945671
95,2011-185,chiak,3,0.5085658050186588
96,2011-193,chiak,0,0.597876352764371
97,2011-193,chiak,1,0.6199371542214919
98,2011-193,chiak,2,0.6855278634152927
99,2011-193,chiak,3,0.6511666411578985
100,2011-201,chiak,0,0.5394705031605426
101,2011-201,chiak,1,0.5633931674730065
102,2011-201,chiak,2,0.6250144579456065
103,2011-201,chiak,3,0.5961102278323351
104,2011-209,chiak,0,0.4369046333128102
105,2011-209,chiak,1,0.4671902932600794
106,2011-209,chiak,2,0.4965964060532507
107,2011-209,chiak,3,0.4973453283653476
108,2011-217,chiak,0,0.4084401217998282
109,2011-217,chiak,1,0.4578246636497325
110,2011-217,chiak,2,0.4731875070392105
111,2011-217,chiak,3,0.4400412185401313
112,2011-225,chiak,0,0.3294835076390007
113,2011-225,chiak,1,0.3697796512453979
114,2011-225,chiak,2,0.3446247666108265
115,2011-225,chiak,3,0.3640234950059371
116,2011-233,chiak,0,0.4265530097825715
117,2011-233,chiak,1,0.4432455952355243
118,2011-233,chiak,2,0.4685430648405876
119,2011-233,chiak,3,0.4712560679293399
120,2011-241,chiak,0,0.4789494585958269
121,2011-241,chiak,1,0.4719596026866269
122,2011-241,chiak,2,0.4872975996677974
123,2011-241,chiak,3,0.4786486880275269
124,2011-249,chiak,0,0.4725822824834496
125,2011-249,chiak,1,0.4861762628001428
126,2011-249,chiak,2,0.5280498346888637
127,2011-249,chiak,3,0.5107057141878095
128,2011-257,chiak,0,0.4099041008312833
129,2011-257,chiak,1,0.4111061770309236
130,2011-257,chiak,2,0.4413967542677264
131,2011-257,chiak,3,0.429145970553487
132,2011-265,chiak,0,0.4320004683746607
133,2011-265,chiak,1,0.4437654683719825
134,2011-265,chiak,2,0.4820360889350892
135,2011-265,chiak,3,0.4718353672318401
136,2011-273,chiak,0,0.4142054623798502
137,2011-273,chiak,1,0.4280450289290493
138,2011-273,chiak,2,0.4492018596915534
139,2011-273,chiak,3,0.4470606964760174
140,2011-281,chiak,0,0.2821419860490193
141,2011-281,chiak,1,0.2933994142363145
142,2011-281,chiak,2,0.2542273376393322
143,2011-281,chiak,3,0.2943142248964021
