,date,code,class,avg
0,2011-001,halla,0,0.0260669724398544
1,2011-001,halla,1,0.0681985217788295
2,2011-001,halla,2,0.0972695612836706
3,2011-001,halla,3,0.1099959860052335
4,2011-009,halla,0,0.0475466877183735
5,2011-009,halla,1,0.0874017943839015
6,2011-009,halla,2,0.1306973089486292
7,2011-009,halla,3,0.12576427148252
8,2011-017,halla,0,0.0486878025204557
9,2011-017,halla,1,0.1005729715039536
10,2011-017,halla,2,0.1388547887562193
11,2011-017,halla,3,0.1325090094033105
12,2011-025,halla,0,0.0477225667186063
13,2011-025,halla,1,0.1228466440015952
14,2011-025,halla,2,0.1288085682737342
15,2011-025,halla,3,0.1382835670300727
16,2011-033,halla,0,0.0506303727919213
17,2011-033,halla,1,0.113398806177109
18,2011-033,halla,2,0.1227802904248047
19,2011-033,halla,3,0.1325462874523661
20,2011-041,halla,0,0.0470259096778131
21,2011-041,halla,1,0.1318688112563685
22,2011-041,halla,2,0.1661493749553418
23,2011-041,halla,3,0.1663375048684693
24,2011-049,halla,0,0.0712213558526352
25,2011-049,halla,1,0.135946120888165
26,2011-049,halla,2,0.1559125733822379
27,2011-049,halla,3,0.1744935745053811
28,2011-057,halla,0,0.1522506981565029
29,2011-057,halla,1,0.1837616054540523
30,2011-057,halla,2,0.190697802115187
31,2011-057,halla,3,0.2112164238891819
32,2011-065,halla,0,0.2071319576335755
33,2011-065,halla,1,0.2232804947889643
34,2011-065,halla,2,0.2082731276100322
35,2011-065,halla,3,0.2363830341052775
36,2011-073,halla,0,0.2355380869849977
37,2011-073,halla,1,0.2278560564111751
38,2011-073,halla,2,0.2178193267643196
39,2011-073,halla,3,0.2388089326410098
40,2011-081,halla,0,0.2630851898332441
41,2011-081,halla,1,0.2417525491275723
42,2011-081,halla,2,0.2281444590505817
43,2011-081,halla,3,0.2492475278404171
44,2011-089,halla,0,0.2905559398852683
45,2011-089,halla,1,0.2669137564678879
46,2011-089,halla,2,0.2403745361389986
47,2011-089,halla,3,0.2590509058165293
48,2011-097,halla,0,0.2909895986708558
49,2011-097,halla,1,0.2756892073886767
50,2011-097,halla,2,0.2411679805680265
51,2011-097,halla,3,0.2559694327913429
52,2011-105,halla,0,0.3083164881063201
53,2011-105,halla,1,0.2787406409139524
54,2011-105,halla,2,0.2447658987259441
55,2011-105,halla,3,0.2639846408570365
56,2011-113,halla,0,0.3078816872058265
57,2011-113,halla,1,0.2876669863409196
58,2011-113,halla,2,0.2707894075199621
59,2011-113,halla,3,0.2819734100359981
60,2011-121,halla,0,0.3630626338728066
61,2011-121,halla,1,0.4079887726716494
62,2011-121,halla,2,0.4640780646503765
63,2011-121,halla,3,0.4255875530366895
64,2011-129,halla,0,0.3564753592916423
65,2011-129,halla,1,0.4197439725830479
66,2011-129,halla,2,0.5452858922276309
67,2011-129,halla,3,0.4924432852642362
68,2011-137,halla,0,0.4633577613296395
69,2011-137,halla,1,0.5530689596281355
70,2011-137,halla,2,0.702143212000075
