,date,code,class,avg
0,2012-001,bukhan,0,0.1405501656512773
1,2012-001,bukhan,1,0.1521938422902397
2,2012-001,bukhan,2,0.1409356967357426
3,2012-001,bukhan,3,0.151467503233415
4,2012-009,bukhan,0,0.1653546880771964
5,2012-009,bukhan,1,0.1775734080131536
6,2012-009,bukhan,2,0.1598714372520773
7,2012-009,bukhan,3,0.1694741566048014
8,2012-017,bukhan,0,0.1313062397948702
9,2012-017,bukhan,1,0.1470956319063848
10,2012-017,bukhan,2,0.1332669904401238
11,2012-017,bukhan,3,0.1437067579978858
12,2012-025,bukhan,0,0.1394813646933007
13,2012-025,bukhan,1,0.1497162175338672
14,2012-025,bukhan,2,0.1296303028948243
15,2012-025,bukhan,3,0.1414470369543643
16,2012-033,bukhan,0,0.1321015673847186
17,2012-033,bukhan,1,0.1430299129014167
18,2012-033,bukhan,2,0.1329092343281678
19,2012-033,bukhan,3,0.1428768628598713
20,2012-041,bukhan,0,0.1449767858861022
21,2012-041,bukhan,1,0.1565863250567225
22,2012-041,bukhan,2,0.1389037765817578
23,2012-041,bukhan,3,0.1481770475282562
24,2012-049,bukhan,0,0.1513706111315747
25,2012-049,bukhan,1,0.1611632413186677
26,2012-049,bukhan,2,0.1518083840036681
27,2012-049,bukhan,3,0.1603571807778363
28,2012-057,bukhan,0,0.1828227713504303
29,2012-057,bukhan,1,0.1945310428706202
30,2012-057,bukhan,2,0.1783560198662707
31,2012-057,bukhan,3,0.1878602546255194
32,2012-065,bukhan,0,0.1539550858680467
33,2012-065,bukhan,1,0.1647395659531957
34,2012-065,bukhan,2,0.1566138319548709
35,2012-065,bukhan,3,0.1636615763175944
36,2012-073,bukhan,0,0.1693460439635334
37,2012-073,bukhan,1,0.1782399612133993
38,2012-073,bukhan,2,0.1668261725392754
39,2012-073,bukhan,3,0.1733058518614095
40,2012-081,bukhan,0,0.1788319134174651
41,2012-081,bukhan,1,0.1943708338774475
42,2012-081,bukhan,2,0.1791327682614454
43,2012-081,bukhan,3,0.1876228423704088
44,2012-089,bukhan,0,0.1706908283269616
45,2012-089,bukhan,1,0.1816430804513322
46,2012-089,bukhan,2,0.1681821694310576
47,2012-089,bukhan,3,0.1757562533482312
48,2012-097,bukhan,0,0.1741604854371131
49,2012-097,bukhan,1,0.186662228757685
50,2012-097,bukhan,2,0.1761222083569963
51,2012-097,bukhan,3,0.1829597599819101
52,2012-105,bukhan,0,0.1753843244525515
