,date,code,class,avg
0,2012-001,sobaek,0,0.1307772342940519
1,2012-001,sobaek,1,0.1633416931011427
2,2012-001,sobaek,2,0.1203743454127238
3,2012-001,sobaek,3,0.146928076777294
4,2012-009,sobaek,0,0.125351472921416
5,2012-009,sobaek,1,0.1665561499792328
6,2012-009,sobaek,2,0.1286750727254567
7,2012-009,sobaek,3,0.1530418750318846
8,2012-017,sobaek,0,0.1311076486750727
9,2012-017,sobaek,1,0.1708440861911334
10,2012-017,sobaek,2,0.1262576143126224
11,2012-017,sobaek,3,0.1477963269340146
12,2012-025,sobaek,0,0.1256648316935028
13,2012-025,sobaek,1,0.1635967910691335
14,2012-025,sobaek,2,0.1301953437707514
15,2012-025,sobaek,3,0.1515467659216967
16,2012-033,sobaek,0,0.1257866494385328
17,2012-033,sobaek,1,0.1605173930720811
18,2012-033,sobaek,2,0.1317303095251952
19,2012-033,sobaek,3,0.1473243511731439
20,2012-041,sobaek,0,0.1470146356042055
21,2012-041,sobaek,1,0.1754952263837729
22,2012-041,sobaek,2,0.1418440615492963
23,2012-041,sobaek,3,0.161279553162574
24,2012-049,sobaek,0,0.1342952725196643
25,2012-049,sobaek,1,0.1542947256128686
26,2012-049,sobaek,2,0.1272323577637381
27,2012-049,sobaek,3,0.1366147078618255
28,2012-057,sobaek,0,0.1641155773590589
29,2012-057,sobaek,1,0.1893019234414047
30,2012-057,sobaek,2,0.1610518378495381
31,2012-057,sobaek,3,0.1774116969439506
32,2012-065,sobaek,0,0.1336162498325956
33,2012-065,sobaek,1,0.1752028985239738
34,2012-065,sobaek,2,0.1432851435167522
35,2012-065,sobaek,3,0.1589947181215671
36,2012-073,sobaek,0,0.1458592148963854
37,2012-073,sobaek,1,0.1690709736643371
38,2012-073,sobaek,2,0.1428310764815533
39,2012-073,sobaek,3,0.1552522738562587
40,2012-081,sobaek,0,0.1410880832196432
41,2012-081,sobaek,1,0.15539546405015
42,2012-081,sobaek,2,0.1278055858924945
43,2012-081,sobaek,3,0.1396547185015196
44,2012-089,sobaek,0,0.1555774637049897
45,2012-089,sobaek,1,0.1729975637086471
46,2012-089,sobaek,2,0.1522073470800365
47,2012-089,sobaek,3,0.1626626939567662
48,2012-097,sobaek,0,0.1656188456991817
49,2012-097,sobaek,1,0.1778728847723966
50,2012-097,sobaek,2,0.1576470637662882
51,2012-097,sobaek,3,0.1668523268489779
52,2012-105,sobaek,0,0.1997200129708907
53,2012-105,sobaek,1,0.2179634943270677
54,2012-105,sobaek,2,0.1845037523584554
55,2012-105,sobaek,3,0.1982691951811406
56,2012-113,sobaek,0,0.3001147213386423
57,2012-113,sobaek,1,0.3482696722961016
58,2012-113,sobaek,2,0.2907409506785073
59,2012-113,sobaek,3,0.3126836310961663
60,2012-121,sobaek,0,0.4057296652129394
61,2012-121,sobaek,1,0.5125515177877555
62,2012-121,sobaek,2,0.4682934652817245
63,2012-121,sobaek,3,0.4996987894311194
64,2012-129,sobaek,0,0.485236086032791
65,2012-129,sobaek,1,0.5890432378020588
66,2012-129,sobaek,2,0.5790747426075803
67,2012-129,sobaek,3,0.5926380737742774
68,2012-137,sobaek,0,0.4918402298220077
69,2012-137,sobaek,1,0.578185926325974
70,2012-137,sobaek,2,0.5871326166871559
71,2012-137,sobaek,3,0.5975855116838451
72,2012-145,sobaek,0,0.6417336059087202
73,2012-145,sobaek,1,0.6817477392428719
74,2012-145,sobaek,2,0.7218435126386409
75,2012-145,sobaek,3,0.7104426936414784
76,2012-153,sobaek,0,0.679152607271556
77,2012-153,sobaek,1,0.6544608703543424
78,2012-153,sobaek,2,0.7102993913449449
79,2012-153,sobaek,3,0.69313970858762
80,2012-161,sobaek,0,0.6163178582030457
81,2012-161,sobaek,1,0.634322985323414
82,2012-161,sobaek,2,0.6594487919389384
83,2012-161,sobaek,3,0.6469733265914257
84,2012-169,sobaek,0,0.5608818457563509
85,2012-169,sobaek,1,0.5978233604655288
86,2012-169,sobaek,2,0.6257133363866606
87,2012-169,sobaek,3,0.6264986379509692
88,2012-177,sobaek,0,0.5569990202590679
89,2012-177,sobaek,1,0.5262193498234251
90,2012-177,sobaek,2,0.5639575114674918
91,2012-177,sobaek,3,0.5500493544301126
92,2012-185,sobaek,0,0.5906299672537036
93,2012-185,sobaek,1,0.580292673949661
94,2012-185,sobaek,2,0.6148959421856331
95,2012-185,sobaek,3,0.6107739054508808
96,2012-193,sobaek,0,0.557983158264353
97,2012-193,sobaek,1,0.5407720941798031
98,2012-193,sobaek,2,0.5726532770992692
99,2012-193,sobaek,3,0.5687037597459352
100,2012-201,sobaek,0,0.5332605586220271
101,2012-201,sobaek,1,0.5338409552532647
102,2012-201,sobaek,2,0.5526945276331665
103,2012-201,sobaek,3,0.5458915210126185
104,2012-209,sobaek,0,0.5923281964303511
105,2012-209,sobaek,1,0.5841665882373906
106,2012-209,sobaek,2,0.6183909260141917
107,2012-209,sobaek,3,0.6098063853854093
108,2012-217,sobaek,0,0.6254316746666087
109,2012-217,sobaek,1,0.6072825618737185
110,2012-217,sobaek,2,0.6318973129090543
111,2012-217,sobaek,3,0.636135662963476
112,2012-225,sobaek,0,0.4919798877863913
113,2012-225,sobaek,1,0.5183419763204496
114,2012-225,sobaek,2,0.4961887748850814
115,2012-225,sobaek,3,0.5161349740829296
116,2012-233,sobaek,0,0.4496535151736883
117,2012-233,sobaek,1,0.469143425966752
118,2012-233,sobaek,2,0.4623887410849669
119,2012-233,sobaek,3,0.4925460704066423
120,2012-241,sobaek,0,0.5629096877483438
121,2012-241,sobaek,1,0.5485888704576177
122,2012-241,sobaek,2,0.5577922447953744
123,2012-241,sobaek,3,0.5604515298468604
124,2012-249,sobaek,0,0.5950512361979836
125,2012-249,sobaek,1,0.5904192536205276
126,2012-249,sobaek,2,0.6175021813854533
127,2012-249,sobaek,3,0.6182695794756506
128,2012-257,sobaek,0,0.502274714119903
129,2012-257,sobaek,1,0.5075430525081797
130,2012-257,sobaek,2,0.5239574010778039
131,2012-257,sobaek,3,0.5339088325031546
132,2012-265,sobaek,0,0.4880321381087887
133,2012-265,sobaek,1,0.512662018902383
134,2012-265,sobaek,2,0.5179940094869824
135,2012-265,sobaek,3,0.532072137859284
136,2012-273,sobaek,0,0.4424142800282218
137,2012-273,sobaek,1,0.4751943036895916
138,2012-273,sobaek,2,0.4786154164914049
139,2012-273,sobaek,3,0.4926383493631796
140,2012-281,sobaek,0,0.3240368803906768
141,2012-281,sobaek,1,0.3778781564131679
142,2012-281,sobaek,2,0.3453227750244123
143,2012-281,sobaek,3,0.3770431903436346
144,2012-289,sobaek,0,0.3069108094691287
145,2012-289,sobaek,1,0.3561807613574191
146,2012-289,sobaek,2,0.3073377867793688
147,2012-289,sobaek,3,0.3432416859646018
