,date,code,class,avg
0,2013-001,songni,0,0.1712230472759043
1,2013-001,songni,1,0.1872932857621458
2,2013-001,songni,2,0.1524593854307058
3,2013-001,songni,3,0.1770799899407087
4,2013-009,songni,0,0.1996133668426813
5,2013-009,songni,1,0.2133095094755895
6,2013-009,songni,2,0.177582123026823
7,2013-009,songni,3,0.2068891037882707
8,2013-017,songni,0,0.2061375960927774
9,2013-017,songni,1,0.2282014193572056
10,2013-017,songni,2,0.1887470845511371
11,2013-017,songni,3,0.2186712627147269
12,2013-025,songni,0,0.2424204364072433
13,2013-025,songni,1,0.2563643824112442
14,2013-025,songni,2,0.2234585812961118
15,2013-025,songni,3,0.2475212960714697
16,2013-033,songni,0,0.2168548667922507
17,2013-033,songni,1,0.2404433102720792
18,2013-033,songni,2,0.2027854294350152
19,2013-033,songni,3,0.2305164576500706
20,2013-041,songni,0,0.2147766866447076
21,2013-041,songni,1,0.2285810129409256
22,2013-041,songni,2,0.1966355360137326
23,2013-041,songni,3,0.2199425680950393
24,2013-049,songni,0,0.1893661396024664
25,2013-049,songni,1,0.2072596287519968
26,2013-049,songni,2,0.1757055279037493
27,2013-049,songni,3,0.1973991713265281
28,2013-057,songni,0,0.2066040994867527
29,2013-057,songni,1,0.2192893908256146
30,2013-057,songni,2,0.1931592278386057
31,2013-057,songni,3,0.2120225903480224
32,2013-065,songni,0,0.1757019922145727
33,2013-065,songni,1,0.1883373147154037
34,2013-065,songni,2,0.1655086656842013
35,2013-065,songni,3,0.1816421312409759
36,2013-073,songni,0,0.1814639001298203
37,2013-073,songni,1,0.1938646028946246
38,2013-073,songni,2,0.169888118133538
39,2013-073,songni,3,0.1884361229155515
40,2013-081,songni,0,0.1993850038472524
41,2013-081,songni,1,0.2135799629312827
42,2013-081,songni,2,0.1923351823706396
43,2013-081,songni,3,0.2063072154006666
44,2013-089,songni,0,0.199812770065317
45,2013-089,songni,1,0.2099440656843159
46,2013-089,songni,2,0.188901121068419
47,2013-089,songni,3,0.2044273056012029
48,2013-097,songni,0,0.205854485274178
49,2013-097,songni,1,0.2167156710748575
50,2013-097,songni,2,0.1989353152569084
51,2013-097,songni,3,0.2110527000382192
52,2013-105,songni,0,0.1898068208206691
53,2013-105,songni,1,0.2012814880549741
54,2013-105,songni,2,0.1826754356688724
55,2013-105,songni,3,0.196068107799283
56,2013-113,songni,0,0.2556301099638758
57,2013-113,songni,1,0.2788817424079324
58,2013-113,songni,2,0.2572919667032525
59,2013-113,songni,3,0.2759218099927603
60,2013-121,songni,0,0.4261780364642437
61,2013-121,songni,1,0.4579636589787684
62,2013-121,songni,2,0.4629921519630525
63,2013-121,songni,3,0.4649077969632204
64,2013-129,songni,0,0.5567872726914381
65,2013-129,songni,1,0.5702086738185603
66,2013-129,songni,2,0.6103907339276337
67,2013-129,songni,3,0.5820773633466657
68,2013-137,songni,0,0.5203352399877424
69,2013-137,songni,1,0.5143563726079927
70,2013-137,songni,2,0.5474631060872723
71,2013-137,songni,3,0.5241259485192605
72,2013-145,songni,0,0.5270634902233867
73,2013-145,songni,1,0.520951420292569
74,2013-145,songni,2,0.5614214433314468
75,2013-145,songni,3,0.5325488966693666
76,2013-153,songni,0,0.5684271253807534
77,2013-153,songni,1,0.55623539329768
78,2013-153,songni,2,0.6017379122838746
79,2013-153,songni,3,0.569188729728477
80,2013-161,songni,0,0.5777949590121548
81,2013-161,songni,1,0.574090263058329
82,2013-161,songni,2,0.6222706955567736
83,2013-161,songni,3,0.5845613473721023
84,2013-169,songni,0,0.5230985938159126
85,2013-169,songni,1,0.5282198758133055
86,2013-169,songni,2,0.5496364728823402
87,2013-169,songni,3,0.5306890333849743
88,2013-177,songni,0,0.4166128496864245
89,2013-177,songni,1,0.434478189246129
90,2013-177,songni,2,0.44462301785229
91,2013-177,songni,3,0.4384757810832781
92,2013-185,songni,0,0.4677977407399118
93,2013-185,songni,1,0.4968736991987947
94,2013-185,songni,2,0.4858864889640633
95,2013-185,songni,3,0.5149887026180732
96,2013-193,songni,0,0.455959339901031
97,2013-193,songni,1,0.4637693138847938
98,2013-193,songni,2,0.4739918667119857
99,2013-193,songni,3,0.4657013094816677
100,2013-201,songni,0,0.4993922660777569
101,2013-201,songni,1,0.4935001706548995
102,2013-201,songni,2,0.4944325806887171
103,2013-201,songni,3,0.5024655440388216
104,2013-209,songni,0,0.4755005945038395
105,2013-209,songni,1,0.4782280133892865
106,2013-209,songni,2,0.4906668852621587
107,2013-209,songni,3,0.4851500925470047
108,2013-217,songni,0,0.5301359441057406
109,2013-217,songni,1,0.5261094783839225
110,2013-217,songni,2,0.5484100316633435
111,2013-217,songni,3,0.5334330282168644
112,2013-225,songni,0,0.5633670684141433
113,2013-225,songni,1,0.5649938367264947
114,2013-225,songni,2,0.5885780161020885
