,date,code,class,avg
0,2014-001,gyeongju,0,0.2103642035229672
1,2014-001,gyeongju,1,0.2438310328416772
2,2014-001,gyeongju,2,0.1955857992978112
3,2014-001,gyeongju,3,0.2160540751165525
4,2014-009,gyeongju,0,0.2046474940452454
5,2014-009,gyeongju,1,0.2434319104390475
6,2014-009,gyeongju,2,0.1781645062400328
7,2014-009,gyeongju,3,0.2090439957386397
8,2014-017,gyeongju,0,0.2192141885412647
9,2014-017,gyeongju,1,0.2507840243055095
10,2014-017,gyeongju,2,0.2098804170399804
11,2014-017,gyeongju,3,0.2275632679119101
12,2014-025,gyeongju,0,0.2043248987729284
13,2014-025,gyeongju,1,0.2460969363102359
14,2014-025,gyeongju,2,0.1878435613423972
15,2014-025,gyeongju,3,0.2152842869512585
16,2014-033,gyeongju,0,0.1749999676469845
17,2014-033,gyeongju,1,0.2143514677351825
18,2014-033,gyeongju,2,0.1609787075849348
19,2014-033,gyeongju,3,0.1860836894522461
20,2014-041,gyeongju,0,0.1493710754463668
21,2014-041,gyeongju,1,0.201605575353521
22,2014-041,gyeongju,2,0.1278477931682658
23,2014-041,gyeongju,3,0.16735143309583
24,2014-049,gyeongju,0,0.1810173723728133
25,2014-049,gyeongju,1,0.2270829576326024
26,2014-049,gyeongju,2,0.1591295064152373
27,2014-049,gyeongju,3,0.1909697315183807
28,2014-057,gyeongju,0,0.1933963305121994
29,2014-057,gyeongju,1,0.2307282328456661
30,2014-057,gyeongju,2,0.1736506742060246
31,2014-057,gyeongju,3,0.2041391959915706
32,2014-065,gyeongju,0,0.2050577146169321
33,2014-065,gyeongju,1,0.2533323941692413
34,2014-065,gyeongju,2,0.2008104045299936
35,2014-065,gyeongju,3,0.2281257569888685
36,2014-073,gyeongju,0,0.2025025598304752
37,2014-073,gyeongju,1,0.2409126299078179
38,2014-073,gyeongju,2,0.1880520570206079
39,2014-073,gyeongju,3,0.2142587205079725
40,2014-081,gyeongju,0,0.2266776813103214
41,2014-081,gyeongju,1,0.2663252205516104
42,2014-081,gyeongju,2,0.2173235071182342
43,2014-081,gyeongju,3,0.2445318062139685
44,2014-089,gyeongju,0,0.2824514842088606
45,2014-089,gyeongju,1,0.3090272489203469
46,2014-089,gyeongju,2,0.2820310424784596
47,2014-089,gyeongju,3,0.2972543690744879
48,2014-097,gyeongju,0,0.3040653090708967
49,2014-097,gyeongju,1,0.3239910066027092
50,2014-097,gyeongju,2,0.3216586350548962
51,2014-097,gyeongju,3,0.3220158977022132
52,2014-105,gyeongju,0,0.3838046903594437
53,2014-105,gyeongju,1,0.408019171033486
54,2014-105,gyeongju,2,0.4607858882343881
55,2014-105,gyeongju,3,0.4405880486937428
56,2014-113,gyeongju,0,0.4847902457033845
57,2014-113,gyeongju,1,0.4668859395043029
58,2014-113,gyeongju,2,0.5916477982468327
59,2014-113,gyeongju,3,0.5291772751661031
60,2014-121,gyeongju,0,0.4873227609555248
61,2014-121,gyeongju,1,0.4839925447348369
62,2014-121,gyeongju,2,0.5942825255992357
63,2014-121,gyeongju,3,0.5414146859304025
64,2014-129,gyeongju,0,0.5428028616966872
65,2014-129,gyeongju,1,0.5262718460801843
66,2014-129,gyeongju,2,0.6608066878042939
67,2014-129,gyeongju,3,0.599983442972162
68,2014-137,gyeongju,0,0.5493390647849677
69,2014-137,gyeongju,1,0.5336952338622736
70,2014-137,gyeongju,2,0.6392434960745277
71,2014-137,gyeongju,3,0.606308267295737
72,2014-145,gyeongju,0,0.5353525341003865
73,2014-145,gyeongju,1,0.4939569422316092
74,2014-145,gyeongju,2,0.6261714698004385
75,2014-145,gyeongju,3,0.5706143742688135
76,2014-153,gyeongju,0,0.4505845795977284
77,2014-153,gyeongju,1,0.4399953710391932
78,2014-153,gyeongju,2,0.5667407445073763
79,2014-153,gyeongju,3,0.5073226999193005
80,2014-161,gyeongju,0,0.5859525567992718
81,2014-161,gyeongju,1,0.5485123578713171
82,2014-161,gyeongju,2,0.6611078860929991
83,2014-161,gyeongju,3,0.6090161006047757
84,2014-169,gyeongju,0,0.6012000404379619
85,2014-169,gyeongju,1,0.5312922746489303
