,date,code,class,avg
0,2014-001,wolchul,0,0.1836029202215069
1,2014-001,wolchul,1,0.2447853089592067
2,2014-001,wolchul,2,0.1843083618903907
3,2014-001,wolchul,3,0.1997394482058105
4,2014-009,wolchul,0,0.196929955224917
5,2014-009,wolchul,1,0.2626133019923305
6,2014-009,wolchul,2,0.1964291114033829
7,2014-009,wolchul,3,0.2184708527833176
8,2014-017,wolchul,0,0.1766337364668096
9,2014-017,wolchul,1,0.2294217044166146
10,2014-017,wolchul,2,0.1730068057424784
11,2014-017,wolchul,3,0.1938373271352631
12,2014-025,wolchul,0,0.1828195473136731
13,2014-025,wolchul,1,0.2246104457275635
14,2014-025,wolchul,2,0.1777340204422825
15,2014-025,wolchul,3,0.199161935424694
16,2014-033,wolchul,0,0.1875824708759281
17,2014-033,wolchul,1,0.2340459354643614
18,2014-033,wolchul,2,0.1816672540949323
19,2014-033,wolchul,3,0.2024102594205949
20,2014-041,wolchul,0,0.2065196710481941
21,2014-041,wolchul,1,0.2413913396617867
22,2014-041,wolchul,2,0.1958034070963056
23,2014-041,wolchul,3,0.2196504057471403
24,2014-049,wolchul,0,0.1964799420748552
25,2014-049,wolchul,1,0.254871979292378
26,2014-049,wolchul,2,0.2026141775294077
27,2014-049,wolchul,3,0.2163228752198168
28,2014-057,wolchul,0,0.2284330183171987
29,2014-057,wolchul,1,0.2722129501454243
30,2014-057,wolchul,2,0.2208591779062559
31,2014-057,wolchul,3,0.248461031128362
32,2014-065,wolchul,0,0.1888358861387891
33,2014-065,wolchul,1,0.2297748323419245
34,2014-065,wolchul,2,0.1833667499577203
35,2014-065,wolchul,3,0.2044340075589408
36,2014-073,wolchul,0,0.1997454115025079
37,2014-073,wolchul,1,0.2369286741739564
38,2014-073,wolchul,2,0.1980402569494717
39,2014-073,wolchul,3,0.2176695810336355
40,2014-081,wolchul,0,0.2360619931237293
41,2014-081,wolchul,1,0.2851005330534152
42,2014-081,wolchul,2,0.234828610309778
43,2014-081,wolchul,3,0.2564818787613578
44,2014-089,wolchul,0,0.2460316164356217
45,2014-089,wolchul,1,0.3081004797409621
46,2014-089,wolchul,2,0.270486222547446
47,2014-089,wolchul,3,0.2717003855392236
48,2014-097,wolchul,0,0.3081194637634222
49,2014-097,wolchul,1,0.3884610525310759
50,2014-097,wolchul,2,0.365114012313207
51,2014-097,wolchul,3,0.3428547617005242
52,2014-105,wolchul,0,0.3485968407153669
53,2014-105,wolchul,1,0.4213392420180605
54,2014-105,wolchul,2,0.4091623327315426
55,2014-105,wolchul,3,0.3893982687267319
56,2014-113,wolchul,0,0.5024963453295366
57,2014-113,wolchul,1,0.5373300688716279
58,2014-113,wolchul,2,0.58392885080616
59,2014-113,wolchul,3,0.5269965019233639
60,2014-121,wolchul,0,0.5196587192193953
61,2014-121,wolchul,1,0.559695872079818
62,2014-121,wolchul,2,0.6019710683943587
63,2014-121,wolchul,3,0.5507419107753377
64,2014-129,wolchul,0,0.5432692367573052
65,2014-129,wolchul,1,0.5707331503728915
66,2014-129,wolchul,2,0.6319629118922813
67,2014-129,wolchul,3,0.5651601412150524
68,2014-137,wolchul,0,0.5441542497993604
69,2014-137,wolchul,1,0.5706950777671761
70,2014-137,wolchul,2,0.6155972924759234
71,2014-137,wolchul,3,0.5541141294444432
72,2014-145,wolchul,0,0.5541108781637651
73,2014-145,wolchul,1,0.5642778385371582
74,2014-145,wolchul,2,0.637993277594576
75,2014-145,wolchul,3,0.5662974947481318
76,2014-153,wolchul,0,0.4163007187284347
77,2014-153,wolchul,1,0.424847506980497
78,2014-153,wolchul,2,0.4622170076771126
79,2014-153,wolchul,3,0.43788204833199
80,2014-161,wolchul,0,0.5634379884353407
81,2014-161,wolchul,1,0.5781590567977243
82,2014-161,wolchul,2,0.6386507466570575
83,2014-161,wolchul,3,0.5761535897145857
84,2014-169,wolchul,0,0.4433353813248109
85,2014-169,wolchul,1,0.4710701607588826
86,2014-169,wolchul,2,0.4760042967019209
87,2014-169,wolchul,3,0.4749205324194135
88,2014-177,wolchul,0,0.4291915523624944
89,2014-177,wolchul,1,0.4275269665336236
90,2014-177,wolchul,2,0.421254475628066
91,2014-177,wolchul,3,0.4332312505857549
92,2014-185,wolchul,0,0.4923707304954568
93,2014-185,wolchul,1,0.5310687995806976
94,2014-185,wolchul,2,0.5543702797849411
95,2014-185,wolchul,3,0.5165112718423854
96,2014-193,wolchul,0,0.5596770083305445
97,2014-193,wolchul,1,0.589532360705275
98,2014-193,wolchul,2,0.6360191285397298
99,2014-193,wolchul,3,0.5807727880003022
100,2014-201,wolchul,0,0.5252626874663364
101,2014-201,wolchul,1,0.562131841554253
102,2014-201,wolchul,2,0.5781288904640046
103,2014-201,wolchul,3,0.5560949665927076
104,2014-209,wolchul,0,0.5402360614815174
105,2014-209,wolchul,1,0.5849389977684272
106,2014-209,wolchul,2,0.5956246068190268
107,2014-209,wolchul,3,0.5567057426578631
108,2014-217,wolchul,0,0.4548033586819441
109,2014-217,wolchul,1,0.5283839974598097
110,2014-217,wolchul,2,0.5107790339770494
111,2014-217,wolchul,3,0.4782158259114611
112,2014-225,wolchul,0,0.4216456317705576
113,2014-225,wolchul,1,0.4147960642312989
114,2014-225,wolchul,2,0.4367677402490468
115,2014-225,wolchul,3,0.4301776096670223
116,2014-233,wolchul,0,0.4948476848001926
117,2014-233,wolchul,1,0.5404963925076944
118,2014-233,wolchul,2,0.5630811598466761
119,2014-233,wolchul,3,0.5111431875290205
120,2014-241,wolchul,0,0.4642324476482219
121,2014-241,wolchul,1,0.5041530856064855
122,2014-241,wolchul,2,0.5182116426061143
123,2014-241,wolchul,3,0.48418881768782
124,2014-249,wolchul,0,0.4764790445683713
125,2014-249,wolchul,1,0.5129232726277211
126,2014-249,wolchul,2,0.5311752871235395
127,2014-249,wolchul,3,0.4942906225620548
128,2014-257,wolchul,0,0.4583772093426901
129,2014-257,wolchul,1,0.505456978958401
130,2014-257,wolchul,2,0.5178635470593806
131,2014-257,wolchul,3,0.4807416043373693
132,2014-265,wolchul,0,0.4060410223165396
133,2014-265,wolchul,1,0.4615042939389027
134,2014-265,wolchul,2,0.4562170916551929
135,2014-265,wolchul,3,0.4357180948047112
136,2014-273,wolchul,0,0.3907776109727208
137,2014-273,wolchul,1,0.4461438180076006
138,2014-273,wolchul,2,0.4446483172912669
139,2014-273,wolchul,3,0.410789927743669
140,2014-281,wolchul,0,0.298460050846583
141,2014-281,wolchul,1,0.3670185541991189
142,2014-281,wolchul,2,0.3384428542448305
143,2014-281,wolchul,3,0.3308270133929721
144,2014-289,wolchul,0,0.3742304347008147
145,2014-289,wolchul,1,0.4343415644279425
146,2014-289,wolchul,2,0.4350815147654874
147,2014-289,wolchul,3,0.4036282835136272
148,2014-297,wolchul,0,0.2820099234269678
149,2014-297,wolchul,1,0.3517251351547193
150,2014-297,wolchul,2,0.3128713836582769
151,2014-297,wolchul,3,0.3117095931237174
152,2014-305,wolchul,0,0.2739079985712316
153,2014-305,wolchul,1,0.3420465389571182
154,2014-305,wolchul,2,0.3024282099858805
155,2014-305,wolchul,3,0.2970051732251135
156,2014-313,wolchul,0,0.2325240272580792
157,2014-313,wolchul,1,0.2924886441973301
158,2014-313,wolchul,2,0.2505626896688778
159,2014-313,wolchul,3,0.2597149332482487
160,2014-321,wolchul,0,0.2153588953976596
161,2014-321,wolchul,1,0.275484386558652
162,2014-321,wolchul,2,0.224331529133096
163,2014-321,wolchul,3,0.2352148698362546
164,2014-329,wolchul,0,0.2273304414024994
165,2014-329,wolchul,1,0.2969865508410717
166,2014-329,wolchul,2,0.2368197771729639
167,2014-329,wolchul,3,0.2536200233866953
168,2014-337,wolchul,0,0.1930134658923382
169,2014-337,wolchul,1,0.2558001826953369
170,2014-337,wolchul,2,0.1972878652399815
171,2014-337,wolchul,3,0.2115365254469731
172,2014-345,wolchul,0,0.174669050955541
173,2014-345,wolchul,1,0.2338838756989489
174,2014-345,wolchul,2,0.1753196647100098
175,2014-345,wolchul,3,0.1960264273890619
176,2014-353,wolchul,0,0.1755492066893499
177,2014-353,wolchul,1,0.2341293757391788
178,2014-353,wolchul,2,0.1749942896329559
179,2014-353,wolchul,3,0.1977864182375993
180,2014-361,wolchul,0,0.1724070084574488
181,2014-361,wolchul,1,0.23304189809268
182,2014-361,wolchul,2,0.1721138706169331
183,2014-361,wolchul,3,0.1945449249482753
