,date,code,class,avg
0,2015-001,taean,0,0.1746386854432383
1,2015-001,taean,1,0.2225401714579256
2,2015-001,taean,2,0.1452251468801132
3,2015-001,taean,3,0.1952406240094993
4,2015-009,taean,0,0.1739591481562636
5,2015-009,taean,1,0.1956901001817281
6,2015-009,taean,2,0.1719272969761794
7,2015-009,taean,3,0.1904100067399411
8,2015-017,taean,0,0.1428121259297533
9,2015-017,taean,1,0.2019754293720404
10,2015-017,taean,2,0.1593875640668163
11,2015-017,taean,3,0.1752133932166364
12,2015-025,taean,0,0.181757164267487
13,2015-025,taean,1,0.2049111240351112
14,2015-025,taean,2,0.1818957354696183
15,2015-025,taean,3,0.1981637365237338
16,2015-033,taean,0,0.155211637597243
17,2015-033,taean,1,0.1963589921529373
18,2015-033,taean,2,0.1654968800164049
19,2015-033,taean,3,0.1871537888466291
20,2015-041,taean,0,0.1664501903153679
21,2015-041,taean,1,0.2020801253862815
22,2015-041,taean,2,0.1604059184009413
23,2015-041,taean,3,0.1926819980787303
24,2015-049,taean,0,0.1655753719079549
25,2015-049,taean,1,0.1798239909520455
26,2015-049,taean,2,0.1327680719627526
27,2015-049,taean,3,0.1830788227038785
28,2015-057,taean,0,0.1925925220622196
29,2015-057,taean,1,0.2111915424531596
30,2015-057,taean,2,0.1777048519551151
31,2015-057,taean,3,0.2077461924816304
32,2015-065,taean,0,0.1722787118873974
33,2015-065,taean,1,0.195823580678622
34,2015-065,taean,2,0.1674889415228999
35,2015-065,taean,3,0.1867176599982908
36,2015-073,taean,0,0.1482168972839968
37,2015-073,taean,1,0.197557875781511
38,2015-073,taean,2,0.1638790652705257
39,2015-073,taean,3,0.1881896156688316
40,2015-081,taean,0,0.1686443246921393
41,2015-081,taean,1,0.2056228685172427
42,2015-081,taean,2,0.1373636898524194
43,2015-081,taean,3,0.1819505089456119
44,2015-089,taean,0,0.1705910296532132
45,2015-089,taean,1,0.2154958534149904
46,2015-089,taean,2,0.1820773875712886
47,2015-089,taean,3,0.2231877891498433
48,2015-097,taean,0,0.1905652927988364
49,2015-097,taean,1,0.2217465707372888
50,2015-097,taean,2,0.1729166221697916
51,2015-097,taean,3,0.2114348871649533
52,2015-105,taean,0,0.2119052351488334
53,2015-105,taean,1,0.2349230709694014
54,2015-105,taean,2,0.202922420749096
55,2015-105,taean,3,0.2597872295730594
56,2015-113,taean,0,0.2534367250791176
57,2015-113,taean,1,0.2738757383506089
58,2015-113,taean,2,0.2768447014440154
59,2015-113,taean,3,0.2933296658794443
60,2015-121,taean,0,0.284278345518366
61,2015-121,taean,1,0.3030469618235319
62,2015-121,taean,2,0.3049356305822874
63,2015-121,taean,3,0.3219258743370142
64,2015-129,taean,0,0.3236466448405639
65,2015-129,taean,1,0.3267496479718801
66,2015-129,taean,2,0.3639274234975284
67,2015-129,taean,3,0.4090553712220039
68,2015-137,taean,0,0.3302533678029702
69,2015-137,taean,1,0.3534980530634704
70,2015-137,taean,2,0.3934500732979039
71,2015-137,taean,3,0.4464940529599579
72,2015-145,taean,0,0.4063701978613965
73,2015-145,taean,1,0.3884962386036142
74,2015-145,taean,2,0.4945112873000998
75,2015-145,taean,3,0.465227936610485
76,2015-153,taean,0,0.3020044064853143
77,2015-153,taean,1,0.3210683606897391
78,2015-153,taean,2,0.3305310533426575
79,2015-153,taean,3,0.418409706646861
80,2015-161,taean,0,0.4106480899143766
81,2015-161,taean,1,0.3593591594104887
82,2015-161,taean,2,0.4977593952943668
83,2015-161,taean,3,0.4625020461632357
84,2015-169,taean,0,0.3854330473977627
85,2015-169,taean,1,0.369465932748531
86,2015-169,taean,2,0.4408977626818327
87,2015-169,taean,3,0.4690285019711335
88,2015-177,taean,0,0.3660620079499013
89,2015-177,taean,1,0.3740947024938484
90,2015-177,taean,2,0.4829885233605143
91,2015-177,taean,3,0.4464457170935656
92,2015-185,taean,0,0.3555358715646393
93,2015-185,taean,1,0.3573027149666737
94,2015-185,taean,2,0.3927912819598601
95,2015-185,taean,3,0.3949961350160346
96,2015-193,taean,0,0.3232755682983591
97,2015-193,taean,1,0.3617332412901947
98,2015-193,taean,2,0.2931885385454088
99,2015-193,taean,3,0.3540313490535238
100,2015-201,taean,0,0.3548515099407884
101,2015-201,taean,1,0.3541204278646693
102,2015-201,taean,2,0.3583832385508328
103,2015-201,taean,3,0.4211378210030236
104,2015-209,taean,0,0.3586025447816919
105,2015-209,taean,1,0.4041507565090664
106,2015-209,taean,2,0.3587729399823086
107,2015-209,taean,3,0.447209779399752
108,2015-217,taean,0,0.3840480141941177
109,2015-217,taean,1,0.4085224756023491
110,2015-217,taean,2,0.367256463580618
111,2015-217,taean,3,0.4448516045567925
112,2015-225,taean,0,0.3402660823126588
113,2015-225,taean,1,0.3138334891124281
114,2015-225,taean,2,0.3513349375154552
115,2015-225,taean,3,0.3495273589137729
116,2015-233,taean,0,0.3701213048099817
117,2015-233,taean,1,0.3980981070551498
118,2015-233,taean,2,0.3883765574992946
119,2015-233,taean,3,0.4471461868561754
120,2015-241,taean,0,0.3727889040067198
121,2015-241,taean,1,0.4023656512413656
122,2015-241,taean,2,0.386539244492489
123,2015-241,taean,3,0.4278894514710982
124,2015-249,taean,0,0.3496477464204768
125,2015-249,taean,1,0.3761762116760906
126,2015-249,taean,2,0.3724203755073861
127,2015-249,taean,3,0.4370116438826454
128,2015-257,taean,0,0.3311415914488412
129,2015-257,taean,1,0.3599085038143536
130,2015-257,taean,2,0.3652279562038824
131,2015-257,taean,3,0.3707129441154329
132,2015-265,taean,0,0.2996211173467712
133,2015-265,taean,1,0.3293833956692246
134,2015-265,taean,2,0.3142025482371564
135,2015-265,taean,3,0.3404955207659783
136,2015-273,taean,0,0.3336269099936766
137,2015-273,taean,1,0.3481415974427408
138,2015-273,taean,2,0.3145603933055717
139,2015-273,taean,3,0.3663815700843291
140,2015-281,taean,0,0.2939459070109974
141,2015-281,taean,1,0.3202689881069411
142,2015-281,taean,2,0.2922981583098196
143,2015-281,taean,3,0.3106341468967909
144,2015-289,taean,0,0.2403530348794479
145,2015-289,taean,1,0.2779325431438683
146,2015-289,taean,2,0.2283158061206754
147,2015-289,taean,3,0.2739565642509551
148,2015-297,taean,0,0.2527314038607822
149,2015-297,taean,1,0.2913685586006393
150,2015-297,taean,2,0.2723723185112343
151,2015-297,taean,3,0.2849421063930777
152,2015-305,taean,0,0.2379393582944874
153,2015-305,taean,1,0.2875371335005998
154,2015-305,taean,2,0.2509480476731724
155,2015-305,taean,3,0.2836604076194879
156,2015-313,taean,0,0.1958083974236755
157,2015-313,taean,1,0.2302548953718787
158,2015-313,taean,2,0.2400688905630217
159,2015-313,taean,3,0.2090075540918231
160,2015-321,taean,0,0.179639109544865
161,2015-321,taean,1,0.189829034791046
162,2015-321,taean,2,0.1658066212112143
163,2015-321,taean,3,0.2116420031519413
164,2015-329,taean,0,0.2082643966427665
165,2015-329,taean,1,0.2199502228134994
166,2015-329,taean,2,0.1745094103724658
167,2015-329,taean,3,0.2135995386946157
168,2015-337,taean,0,0.1837584153413672
169,2015-337,taean,1,0.2132382726907012
170,2015-337,taean,2,0.1703197439129349
171,2015-337,taean,3,0.2116778733003092
172,2015-345,taean,0,0.2143963763876434
173,2015-345,taean,1,0.2387129595681309
174,2015-345,taean,2,0.1824769890127139
175,2015-345,taean,3,0.2615618084845967
176,2015-353,taean,0,0.1834968901400645
177,2015-353,taean,1,0.2175053338170298
178,2015-353,taean,2,0.1764911879098631
179,2015-353,taean,3,0.2042785747479642
180,2015-361,taean,0,0.1891050142100776
181,2015-361,taean,1,0.2085264929113435
182,2015-361,taean,2,0.1772873049115327
183,2015-361,taean,3,0.2250945952429985
