,date,code,class,avg
0,2016-001,dadohae,0,0.23177974687219
1,2016-001,dadohae,1,0.2506017610451123
2,2016-001,dadohae,2,0.2821015964666425
3,2016-001,dadohae,3,0.2527407259417421
4,2016-009,dadohae,0,0.1771643821814389
5,2016-009,dadohae,1,0.1876453042174657
6,2016-009,dadohae,2,0.2331299346867689
7,2016-009,dadohae,3,0.1988780162291551
8,2016-017,dadohae,0,0.198514113431341
9,2016-017,dadohae,1,0.2164804487336723
10,2016-017,dadohae,2,0.246923584606791
11,2016-017,dadohae,3,0.220184387171748
12,2016-025,dadohae,0,0.2095165500050006
13,2016-025,dadohae,1,0.2269703027567124
14,2016-025,dadohae,2,0.2677429469338762
15,2016-025,dadohae,3,0.2244369067286119
16,2016-033,dadohae,0,0.256253116107534
17,2016-033,dadohae,1,0.2528441542296636
18,2016-033,dadohae,2,0.2881877977887092
19,2016-033,dadohae,3,0.2560543702035978
20,2016-041,dadohae,0,0.2254000638830395
21,2016-041,dadohae,1,0.239497398674318
22,2016-041,dadohae,2,0.2718402658420933
23,2016-041,dadohae,3,0.243390929590334
24,2016-049,dadohae,0,0.2498077900707803
25,2016-049,dadohae,1,0.2593457538447403
26,2016-049,dadohae,2,0.2931328399103393
27,2016-049,dadohae,3,0.2534622881892972
28,2016-057,dadohae,0,0.2457316333220863
29,2016-057,dadohae,1,0.2557607602407268
30,2016-057,dadohae,2,0.284294582146552
31,2016-057,dadohae,3,0.2509427217985504
32,2016-065,dadohae,0,0.2668034168565298
33,2016-065,dadohae,1,0.2739036161340655
34,2016-065,dadohae,2,0.3142313503208895
35,2016-065,dadohae,3,0.2766595922094091
36,2016-073,dadohae,0,0.2520146919072354
37,2016-073,dadohae,1,0.2610179419825886
38,2016-073,dadohae,2,0.2871099025499647
39,2016-073,dadohae,3,0.2640816671318118
40,2016-081,dadohae,0,0.2466429210664907
41,2016-081,dadohae,1,0.266491557013343
42,2016-081,dadohae,2,0.2951580114191944
43,2016-081,dadohae,3,0.2654548099165707
44,2016-089,dadohae,0,0.2737862956442052
45,2016-089,dadohae,1,0.2861528352826715
46,2016-089,dadohae,2,0.3326277373838967
47,2016-089,dadohae,3,0.296710875441053
48,2016-097,dadohae,0,0.2696112469730791
49,2016-097,dadohae,1,0.2834248219535178
50,2016-097,dadohae,2,0.3233995855744394
51,2016-097,dadohae,3,0.2904019038227907
52,2016-105,dadohae,0,0.3650523407171928
53,2016-105,dadohae,1,0.3774704485491676
54,2016-105,dadohae,2,0.4366700237004423
55,2016-105,dadohae,3,0.3967859175976318
56,2016-113,dadohae,0,0.4156294453267313
57,2016-113,dadohae,1,0.4210281927911989
58,2016-113,dadohae,2,0.491928660583981
59,2016-113,dadohae,3,0.4491922516431573
60,2016-121,dadohae,0,0.4397449045688834
61,2016-121,dadohae,1,0.4545936455124358
62,2016-121,dadohae,2,0.5042969166568515
63,2016-121,dadohae,3,0.4872792617377309
64,2016-129,dadohae,0,0.4464006273243325
65,2016-129,dadohae,1,0.4710590704766875
66,2016-129,dadohae,2,0.5317521880172903
67,2016-129,dadohae,3,0.4881401037925115
68,2016-137,dadohae,0,0.450960679647528
69,2016-137,dadohae,1,0.4940236609202303
70,2016-137,dadohae,2,0.5701525955610585
71,2016-137,dadohae,3,0.5274294308162085
72,2016-145,dadohae,0,0.4935720838171382
73,2016-145,dadohae,1,0.4927854708987865
74,2016-145,dadohae,2,0.5620943747429268
75,2016-145,dadohae,3,0.5328260733545426
76,2016-153,dadohae,0,0.499271445234183
77,2016-153,dadohae,1,0.4952849704295839
78,2016-153,dadohae,2,0.5739560101657307
79,2016-153,dadohae,3,0.5131341032132832
80,2016-161,dadohae,0,0.4154295986886
81,2016-161,dadohae,1,0.3868554563011642
82,2016-161,dadohae,2,0.4334519294071862
83,2016-161,dadohae,3,0.4303447662291961
84,2016-169,dadohae,0,0.3807125832978904
85,2016-169,dadohae,1,0.3475506276398881
86,2016-169,dadohae,2,0.4045647986193905
87,2016-169,dadohae,3,0.3830966881626468
88,2016-177,dadohae,0,0.4754116685259757
89,2016-177,dadohae,1,0.4818342433542708
90,2016-177,dadohae,2,0.5512756771266459
91,2016-177,dadohae,3,0.5231910091131058
92,2016-185,dadohae,0,0.4661631249085267
93,2016-185,dadohae,1,0.490180491451649
94,2016-185,dadohae,2,0.5378911670938924
95,2016-185,dadohae,3,0.5089143899675482
96,2016-193,dadohae,0,0.4486204161911183
97,2016-193,dadohae,1,0.4624672892220436
98,2016-193,dadohae,2,0.5300369320312409
99,2016-193,dadohae,3,0.4959220172988078
100,2016-201,dadohae,0,0.5148663185302165
101,2016-201,dadohae,1,0.5268414522160363
102,2016-201,dadohae,2,0.5878871263687685
103,2016-201,dadohae,3,0.5442746407539046
104,2016-209,dadohae,0,0.4844713346328489
105,2016-209,dadohae,1,0.493587877975308
106,2016-209,dadohae,2,0.5383104589398108
107,2016-209,dadohae,3,0.5096583705529599
108,2016-217,dadohae,0,0.5294600715262142
109,2016-217,dadohae,1,0.5427711996927573
110,2016-217,dadohae,2,0.6122306505917645
111,2016-217,dadohae,3,0.5664396608197739
112,2016-225,dadohae,0,0.4487867432783202
113,2016-225,dadohae,1,0.4485537832753825
