,date,code,class,avg
0,2016-001,gyeryong,0,0.170588899354305
1,2016-001,gyeryong,1,0.1768818143171922
2,2016-001,gyeryong,2,0.152501364583388
3,2016-001,gyeryong,3,0.1732300102848383
4,2016-009,gyeryong,0,0.1909157587973772
5,2016-009,gyeryong,1,0.2014487800229954
6,2016-009,gyeryong,2,0.176778014880457
7,2016-009,gyeryong,3,0.2042256963473561
8,2016-017,gyeryong,0,0.1640267351365512
9,2016-017,gyeryong,1,0.171523691460337
10,2016-017,gyeryong,2,0.1506776878933818
11,2016-017,gyeryong,3,0.1718111103075421
12,2016-025,gyeryong,0,0.1687383730907947
13,2016-025,gyeryong,1,0.1779089232299177
14,2016-025,gyeryong,2,0.1580515312267515
15,2016-025,gyeryong,3,0.1823110501249166
16,2016-033,gyeryong,0,0.1567735228966262
17,2016-033,gyeryong,1,0.1647329496757962
18,2016-033,gyeryong,2,0.143315539856929
19,2016-033,gyeryong,3,0.1631220343717367
20,2016-041,gyeryong,0,0.1678389966708889
21,2016-041,gyeryong,1,0.1786950452363775
22,2016-041,gyeryong,2,0.1585488164602796
23,2016-041,gyeryong,3,0.1759544280229272
24,2016-049,gyeryong,0,0.1539764626665413
25,2016-049,gyeryong,1,0.1666291715249532
26,2016-049,gyeryong,2,0.1482688583491608
27,2016-049,gyeryong,3,0.1685243673383051
28,2016-057,gyeryong,0,0.1788998438725809
29,2016-057,gyeryong,1,0.1866810500437097
30,2016-057,gyeryong,2,0.171674565004532
31,2016-057,gyeryong,3,0.1923281716988679
32,2016-065,gyeryong,0,0.1632728504481017
33,2016-065,gyeryong,1,0.1695378686636635
34,2016-065,gyeryong,2,0.1534292610595475
35,2016-065,gyeryong,3,0.1677174286474591
36,2016-073,gyeryong,0,0.1795217161473103
37,2016-073,gyeryong,1,0.1895896101540641
38,2016-073,gyeryong,2,0.1735414405227608
39,2016-073,gyeryong,3,0.1890795814129196
40,2016-081,gyeryong,0,0.1631921166891415
41,2016-081,gyeryong,1,0.1696104337461631
42,2016-081,gyeryong,2,0.1557544458900281
43,2016-081,gyeryong,3,0.1703131401133491
44,2016-089,gyeryong,0,0.174945753501327
45,2016-089,gyeryong,1,0.1865473196438131
46,2016-089,gyeryong,2,0.1694733412969084
47,2016-089,gyeryong,3,0.1893868194027593
48,2016-097,gyeryong,0,0.2674894158678496
49,2016-097,gyeryong,1,0.2879950214090949
50,2016-097,gyeryong,2,0.2676692958924729
51,2016-097,gyeryong,3,0.290314070130195
52,2016-105,gyeryong,0,0.3496436851128411
53,2016-105,gyeryong,1,0.3677407235540891
54,2016-105,gyeryong,2,0.3561150779014481
55,2016-105,gyeryong,3,0.3716677797933344
56,2016-113,gyeryong,0,0.4989668361619287
57,2016-113,gyeryong,1,0.5176823124869303
58,2016-113,gyeryong,2,0.5229399341753941
59,2016-113,gyeryong,3,0.5263566589875727
60,2016-121,gyeryong,0,0.5495766273071366
61,2016-121,gyeryong,1,0.559301392362558
62,2016-121,gyeryong,2,0.5797457552374035
63,2016-121,gyeryong,3,0.5780561281949944
64,2016-129,gyeryong,0,0.6093790749462252
65,2016-129,gyeryong,1,0.6123266611942475
66,2016-129,gyeryong,2,0.6351036658740405
67,2016-129,gyeryong,3,0.6152435168831727
68,2016-137,gyeryong,0,0.6350636843252361
69,2016-137,gyeryong,1,0.6447585203129491
70,2016-137,gyeryong,2,0.6685657294018443
71,2016-137,gyeryong,3,0.6593570805235067
72,2016-145,gyeryong,0,0.6047308278005598
73,2016-145,gyeryong,1,0.6103760719470745
74,2016-145,gyeryong,2,0.6317993209770318
75,2016-145,gyeryong,3,0.6167549414245471
76,2016-153,gyeryong,0,0.6200124558313107
77,2016-153,gyeryong,1,0.6293204902050314
78,2016-153,gyeryong,2,0.6483667495146304
