,date,code,class,avg
0,2016-001,odae,0,0.1595545663084133
1,2016-001,odae,1,0.1881198926263953
2,2016-001,odae,2,0.1528900359388478
3,2016-001,odae,3,0.1657749359863405
4,2016-009,odae,0,0.1524023057679957
5,2016-009,odae,1,0.191274139472981
6,2016-009,odae,2,0.1547026229100613
7,2016-009,odae,3,0.1611466310160568
8,2016-017,odae,0,0.1479710558348095
9,2016-017,odae,1,0.1804058557143134
10,2016-017,odae,2,0.145895099751933
11,2016-017,odae,3,0.1581064067738127
12,2016-025,odae,0,0.1371290834650628
13,2016-025,odae,1,0.1920622580752088
14,2016-025,odae,2,0.1579638943617589
15,2016-025,odae,3,0.1690349056857196
16,2016-033,odae,0,0.1314574840795735
17,2016-033,odae,1,0.1983397720645096
18,2016-033,odae,2,0.1653735895721118
19,2016-033,odae,3,0.1758131477222419
20,2016-041,odae,0,0.1384526999456276
21,2016-041,odae,1,0.1765642713425756
22,2016-041,odae,2,0.1496350942911997
23,2016-041,odae,3,0.1595140611135428
24,2016-049,odae,0,0.125091441964697
25,2016-049,odae,1,0.1847347337389309
26,2016-049,odae,2,0.1522951601665053
27,2016-049,odae,3,0.1640041527224314
28,2016-057,odae,0,0.1673391201969888
29,2016-057,odae,1,0.1945414703760427
30,2016-057,odae,2,0.1687391241063603
31,2016-057,odae,3,0.1749212227848847
32,2016-065,odae,0,0.1513048849841596
33,2016-065,odae,1,0.1866143693224206
34,2016-065,odae,2,0.1684396215188564
35,2016-065,odae,3,0.1783459030307515
36,2016-073,odae,0,0.1798149048565825
37,2016-073,odae,1,0.2158546878780312
38,2016-073,odae,2,0.1927184970868483
39,2016-073,odae,3,0.2010917151671904
40,2016-081,odae,0,0.1741857471780173
41,2016-081,odae,1,0.2128855202268854
42,2016-081,odae,2,0.1893784045467494
43,2016-081,odae,3,0.1972867206097604
44,2016-089,odae,0,0.173712796041101
45,2016-089,odae,1,0.1947022120794367
46,2016-089,odae,2,0.1723436405119295
47,2016-089,odae,3,0.1792994874765385
48,2016-097,odae,0,0.1989416098001438
49,2016-097,odae,1,0.2233463372271991
50,2016-097,odae,2,0.1947332671295401
51,2016-097,odae,3,0.2021216580339656
52,2016-105,odae,0,0.2409878965168446
53,2016-105,odae,1,0.2730183078530748
54,2016-105,odae,2,0.2338296488359583
55,2016-105,odae,3,0.2389981343283606
56,2016-113,odae,0,0.2402095029711028
57,2016-113,odae,1,0.3059785546189537
58,2016-113,odae,2,0.2639195418441152
59,2016-113,odae,3,0.2618512034293102
60,2016-121,odae,0,0.4157947088348911
61,2016-121,odae,1,0.4771105333771644
62,2016-121,odae,2,0.4677675277620253
63,2016-121,odae,3,0.4539893947642932
64,2016-129,odae,0,0.4878313713644749
65,2016-129,odae,1,0.4897709249176811
66,2016-129,odae,2,0.5462236202314862
67,2016-129,odae,3,0.5248989545849221
68,2016-137,odae,0,0.5859324526770124
69,2016-137,odae,1,0.5736584698992298
70,2016-137,odae,2,0.6435444853956576
71,2016-137,odae,3,0.6318305676370903
72,2016-145,odae,0,0.5753865252930208
73,2016-145,odae,1,0.557356458395918
74,2016-145,odae,2,0.6286572228115243
75,2016-145,odae,3,0.616185472666681
76,2016-153,odae,0,0.5465558756849781
77,2016-153,odae,1,0.5265850973723094
78,2016-153,odae,2,0.5930898784731705
79,2016-153,odae,3,0.5794831966366327
