,date,code,class,avg
0,2016-001,worak,0,0.1774405145007108
1,2016-001,worak,1,0.1762985996060682
2,2016-001,worak,2,0.1584422642600317
3,2016-001,worak,3,0.1768647792891584
4,2016-009,worak,0,0.1796625590003537
5,2016-009,worak,1,0.1793215715780359
6,2016-009,worak,2,0.1566394062880614
7,2016-009,worak,3,0.1779645887648981
8,2016-017,worak,0,0.1581656896427631
9,2016-017,worak,1,0.1616765116386369
10,2016-017,worak,2,0.1400620461626423
11,2016-017,worak,3,0.1616178457206799
12,2016-025,worak,0,0.1764984452004845
13,2016-025,worak,1,0.1788250310185021
14,2016-025,worak,2,0.1597537986507367
15,2016-025,worak,3,0.1784468461718426
16,2016-033,worak,0,0.1523851409780181
17,2016-033,worak,1,0.1532829988320952
18,2016-033,worak,2,0.134585277456992
19,2016-033,worak,3,0.1544920197632185
20,2016-041,worak,0,0.1774793907421401
21,2016-041,worak,1,0.1778102172460451
22,2016-041,worak,2,0.159820320430604
23,2016-041,worak,3,0.1769208435599817
24,2016-049,worak,0,0.1720697567474148
25,2016-049,worak,1,0.1768187826249688
26,2016-049,worak,2,0.1589099663101488
27,2016-049,worak,3,0.1808019068512391
28,2016-057,worak,0,0.173205969810025
29,2016-057,worak,1,0.176085870294463
30,2016-057,worak,2,0.1603846586070635
31,2016-057,worak,3,0.1762106576640397
32,2016-065,worak,0,0.1527647922836029
33,2016-065,worak,1,0.1575681628162906
34,2016-065,worak,2,0.1429825599629267
35,2016-065,worak,3,0.158002471560072
36,2016-073,worak,0,0.1926264032872046
37,2016-073,worak,1,0.197150491338287
38,2016-073,worak,2,0.1821420132384668
39,2016-073,worak,3,0.1978898061705691
40,2016-081,worak,0,0.1934918983710995
41,2016-081,worak,1,0.199164247499777
42,2016-081,worak,2,0.1854010983499432
43,2016-081,worak,3,0.2004500730661806
44,2016-089,worak,0,0.1837683676570138
45,2016-089,worak,1,0.1890198627241518
46,2016-089,worak,2,0.1738712195709847
47,2016-089,worak,3,0.1881828133682955
48,2016-097,worak,0,0.2201020980932682
49,2016-097,worak,1,0.2256654796911683
50,2016-097,worak,2,0.2068659998387802
51,2016-097,worak,3,0.2257701812132529
52,2016-105,worak,0,0.2934420474124832
53,2016-105,worak,1,0.2949138934603437
54,2016-105,worak,2,0.2767471865473063
55,2016-105,worak,3,0.2960446555708538
