,date,code,class,avg
0,2021-001,gaya,0,0.2579421110503114
1,2021-001,gaya,1,0.2875483237747357
2,2021-001,gaya,2,0.2181439857114409
3,2021-001,gaya,3,0.263063136086365
4,2021-009,gaya,0,0.2160808316847698
5,2021-009,gaya,1,0.2558018105849004
6,2021-009,gaya,2,0.185301483778737
7,2021-009,gaya,3,0.2275119462064822
8,2021-017,gaya,0,0.2462014016988472
9,2021-017,gaya,1,0.2766038023417106
10,2021-017,gaya,2,0.2100432253708364
11,2021-017,gaya,3,0.2494551274760578
12,2021-025,gaya,0,0.2192583475061657
13,2021-025,gaya,1,0.2693849259824885
14,2021-025,gaya,2,0.1935215467011964
15,2021-025,gaya,3,0.2389607100544178
16,2021-033,gaya,0,0.2346278174517156
17,2021-033,gaya,1,0.2691260928091568
18,2021-033,gaya,2,0.2008957463207094
19,2021-033,gaya,3,0.237032753042964
20,2021-041,gaya,0,0.2063293193217659
21,2021-041,gaya,1,0.2536291028271342
22,2021-041,gaya,2,0.1891334101337146
23,2021-041,gaya,3,0.2274715123189175
24,2021-049,gaya,0,0.2820396323291986
25,2021-049,gaya,1,0.3127689882786912
26,2021-049,gaya,2,0.2535626348697274
27,2021-049,gaya,3,0.2923444362838983
28,2021-057,gaya,0,0.2609275906902891
29,2021-057,gaya,1,0.294188401469133
30,2021-057,gaya,2,0.2406205539477976
31,2021-057,gaya,3,0.2731094252651185
32,2021-065,gaya,0,0.2389229491534535
33,2021-065,gaya,1,0.275586827635713
34,2021-065,gaya,2,0.2255176997234864
35,2021-065,gaya,3,0.2554292909342616
36,2021-073,gaya,0,0.2204543607737371
37,2021-073,gaya,1,0.2570917761604978
38,2021-073,gaya,2,0.2060532171978695
39,2021-073,gaya,3,0.2343624275399917
40,2021-081,gaya,0,0.2189337664691835
41,2021-081,gaya,1,0.2552137702979962
42,2021-081,gaya,2,0.2022777710273934
43,2021-081,gaya,3,0.2312255475057552
44,2021-089,gaya,0,0.258378223175137
45,2021-089,gaya,1,0.2979843898419409
46,2021-089,gaya,2,0.2440275902284815
47,2021-089,gaya,3,0.2764907828040393
48,2021-097,gaya,0,0.2615091272012707
49,2021-097,gaya,1,0.3077996059386399
50,2021-097,gaya,2,0.2433822719887873
51,2021-097,gaya,3,0.2715006790255809
52,2021-105,gaya,0,0.3542578579561112
53,2021-105,gaya,1,0.4132483365796997
54,2021-105,gaya,2,0.3631225892156522
55,2021-105,gaya,3,0.3855030727545102
56,2021-113,gaya,0,0.3828935469176768
57,2021-113,gaya,1,0.4354717904432132
58,2021-113,gaya,2,0.3898837211418003
59,2021-113,gaya,3,0.4102306079882588
60,2021-121,gaya,0,0.4140471670665994
61,2021-121,gaya,1,0.4751749568398727
62,2021-121,gaya,2,0.4450977552062902
63,2021-121,gaya,3,0.4592392964635381
64,2021-129,gaya,0,0.540556106269969
65,2021-129,gaya,1,0.5476650221322505
66,2021-129,gaya,2,0.6046677627750774
67,2021-129,gaya,3,0.570283586344616
68,2021-137,gaya,0,0.55778779434406
69,2021-137,gaya,1,0.5305117451100274
70,2021-137,gaya,2,0.6067470398263602
71,2021-137,gaya,3,0.5703022560237314
72,2021-145,gaya,0,0.6269261667752529
73,2021-145,gaya,1,0.6054333454235429
74,2021-145,gaya,2,0.7014328563296535
75,2021-145,gaya,3,0.6520945140401955
76,2021-153,gaya,0,0.6068609238826465
77,2021-153,gaya,1,0.5765323557634116
78,2021-153,gaya,2,0.6803988246099738
79,2021-153,gaya,3,0.6273995831515056
80,2021-161,gaya,0,0.6264355734659688
81,2021-161,gaya,1,0.5730290037827742
82,2021-161,gaya,2,0.6825882640146836
83,2021-161,gaya,3,0.6254072541802347
84,2021-169,gaya,0,0.6223500021206868
85,2021-169,gaya,1,0.5694808740744429
86,2021-169,gaya,2,0.6653941140026233
87,2021-169,gaya,3,0.607193509250529
