,date,code,class,avg
0,2003-001,gyeryong,0,0.1632484218798228
1,2003-001,gyeryong,1,0.1717463892919181
2,2003-001,gyeryong,2,0.1483170054608908
3,2003-001,gyeryong,3,0.1724793699754841
4,2003-009,gyeryong,0,0.1920665086628058
5,2003-009,gyeryong,1,0.2026989509553241
6,2003-009,gyeryong,2,0.1827878589584007
7,2003-009,gyeryong,3,0.2130475314246912
8,2003-017,gyeryong,0,0.1596672446109766
9,2003-017,gyeryong,1,0.171243414434754
10,2003-017,gyeryong,2,0.1495558499505047
11,2003-017,gyeryong,3,0.1684046534829911
12,2003-025,gyeryong,0,0.1625813877648866
13,2003-025,gyeryong,1,0.1742913476396799
14,2003-025,gyeryong,2,0.1514783120867242
15,2003-025,gyeryong,3,0.1796704676750095
16,2003-033,gyeryong,0,0.1909389884139671
17,2003-033,gyeryong,1,0.2039973341722656
18,2003-033,gyeryong,2,0.1795302957799645
19,2003-033,gyeryong,3,0.2037349122043858
20,2003-041,gyeryong,0,0.168616446609614
21,2003-041,gyeryong,1,0.1818603215403271
22,2003-041,gyeryong,2,0.1619184041183094
23,2003-041,gyeryong,3,0.190323949390974
24,2003-049,gyeryong,0,0.1473627847135013
25,2003-049,gyeryong,1,0.1571028659435791
26,2003-049,gyeryong,2,0.1403740929038467
27,2003-049,gyeryong,3,0.1590774552041826
28,2003-057,gyeryong,0,0.1773054310435271
29,2003-057,gyeryong,1,0.185688653827913
30,2003-057,gyeryong,2,0.1699820954120806
31,2003-057,gyeryong,3,0.1930585661568847
32,2003-065,gyeryong,0,0.1719780455129192
33,2003-065,gyeryong,1,0.1805619917380638
34,2003-065,gyeryong,2,0.1726588871714161
35,2003-065,gyeryong,3,0.1820424775866484
36,2003-073,gyeryong,0,0.1894693273778068
37,2003-073,gyeryong,1,0.199491487036414
38,2003-073,gyeryong,2,0.1854170723786496
39,2003-073,gyeryong,3,0.203471848889938
40,2003-081,gyeryong,0,0.1755457106962576
41,2003-081,gyeryong,1,0.1844915135805203
42,2003-081,gyeryong,2,0.1703897414992463
43,2003-081,gyeryong,3,0.1829477236442102
44,2003-089,gyeryong,0,0.2204223929791436
45,2003-089,gyeryong,1,0.2357549302890748
46,2003-089,gyeryong,2,0.2178171732712105
47,2003-089,gyeryong,3,0.2395133125930861
48,2003-097,gyeryong,0,0.2069204074345557
49,2003-097,gyeryong,1,0.2222097386194398
50,2003-097,gyeryong,2,0.2056187531497813
51,2003-097,gyeryong,3,0.2221721214533863
52,2003-105,gyeryong,0,0.3775907181447995
53,2003-105,gyeryong,1,0.3927021360068607
54,2003-105,gyeryong,2,0.3852849200848214
55,2003-105,gyeryong,3,0.4059380333197893
56,2003-113,gyeryong,0,0.4151027261385914
57,2003-113,gyeryong,1,0.45030342090278
58,2003-113,gyeryong,2,0.4386864723388295
