,date,code,class,avg
0,2008-001,mudeung,0,0.1426965837548801
1,2008-001,mudeung,1,0.1868469087946175
2,2008-001,mudeung,2,0.1562782183614893
3,2008-001,mudeung,3,0.180474060142375
4,2008-009,mudeung,0,0.185359754204718
5,2008-009,mudeung,1,0.2090338612495876
6,2008-009,mudeung,2,0.1839648134800197
7,2008-009,mudeung,3,0.2047917357573526
8,2008-017,mudeung,0,0.1964599911907586
9,2008-017,mudeung,1,0.2217769196366403
10,2008-017,mudeung,2,0.1916363214815726
11,2008-017,mudeung,3,0.2159252411038001
12,2008-025,mudeung,0,0.1840016418644593
13,2008-025,mudeung,1,0.2198213566468768
14,2008-025,mudeung,2,0.1913134344505566
15,2008-025,mudeung,3,0.222839671496636
16,2008-033,mudeung,0,0.1788417838219495
17,2008-033,mudeung,1,0.2093803360372235
18,2008-033,mudeung,2,0.1814698907220574
19,2008-033,mudeung,3,0.2083558950896472
20,2008-041,mudeung,0,0.1763229331237096
21,2008-041,mudeung,1,0.2092005872996978
22,2008-041,mudeung,2,0.1814207531999013
23,2008-041,mudeung,3,0.2082604839672788
24,2008-049,mudeung,0,0.1866553758445224
25,2008-049,mudeung,1,0.2051935199291313
26,2008-049,mudeung,2,0.1830671448129007
27,2008-049,mudeung,3,0.201235912899134
28,2008-057,mudeung,0,0.1837482565397153
29,2008-057,mudeung,1,0.2070474486916974
30,2008-057,mudeung,2,0.1841437349154293
31,2008-057,mudeung,3,0.2042410484669543
32,2008-065,mudeung,0,0.2045312776597234
33,2008-065,mudeung,1,0.2191044603861716
34,2008-065,mudeung,2,0.2022245085785154
35,2008-065,mudeung,3,0.2146399618542547
36,2008-073,mudeung,0,0.1883045617205832
37,2008-073,mudeung,1,0.2055580419736696
38,2008-073,mudeung,2,0.1868813360260819
39,2008-073,mudeung,3,0.2020162039206648
40,2008-081,mudeung,0,0.1947262676360925
41,2008-081,mudeung,1,0.2156108312120359
42,2008-081,mudeung,2,0.1957950555038914
43,2008-081,mudeung,3,0.2124131892062909
44,2008-089,mudeung,0,0.1962994036266634
45,2008-089,mudeung,1,0.2188398467815454
46,2008-089,mudeung,2,0.1993474635636498
47,2008-089,mudeung,3,0.2173324216763421
48,2008-097,mudeung,0,0.2538416875663417
49,2008-097,mudeung,1,0.2979226215860905
50,2008-097,mudeung,2,0.2820260321269375
51,2008-097,mudeung,3,0.3025947162007045
52,2008-105,mudeung,0,0.3226869466200412
53,2008-105,mudeung,1,0.3642227445951996
54,2008-105,mudeung,2,0.3655425269706661
55,2008-105,mudeung,3,0.3857597263823287
56,2008-113,mudeung,0,0.4796338350278711
57,2008-113,mudeung,1,0.480884131965167
58,2008-113,mudeung,2,0.5312014693761324
59,2008-113,mudeung,3,0.5096724334392767
60,2008-121,mudeung,0,0.5627664447474113
61,2008-121,mudeung,1,0.5392893252559675
62,2008-121,mudeung,2,0.6090110551337451
63,2008-121,mudeung,3,0.5682211352168404
64,2008-129,mudeung,0,0.5824258397787518
65,2008-129,mudeung,1,0.5517342117425403
66,2008-129,mudeung,2,0.6087220706472042
67,2008-129,mudeung,3,0.5755980778131471
68,2008-137,mudeung,0,0.6265761987734348
69,2008-137,mudeung,1,0.5684771181307929
70,2008-137,mudeung,2,0.6491436307360777
71,2008-137,mudeung,3,0.5867193180402093
72,2008-145,mudeung,0,0.5577453539373926
73,2008-145,mudeung,1,0.5027611600330686
74,2008-145,mudeung,2,0.5618396032663816
75,2008-145,mudeung,3,0.5129389185194483
76,2008-153,mudeung,0,0.6908947215043647
77,2008-153,mudeung,1,0.638331395770378
78,2008-153,mudeung,2,0.7055786992670153
79,2008-153,mudeung,3,0.6503170686011045
80,2008-161,mudeung,0,0.644851661552928
81,2008-161,mudeung,1,0.5666267579216661
82,2008-161,mudeung,2,0.632360044019663
83,2008-161,mudeung,3,0.5719336101462674
84,2008-169,mudeung,0,0.2434674139554618
85,2008-169,mudeung,1,0.2676080899084835
86,2008-169,mudeung,2,0.2487434144365612
87,2008-169,mudeung,3,0.2572924875695136
88,2008-177,mudeung,0,0.6055085299374653
89,2008-177,mudeung,1,0.5838520865623527
90,2008-177,mudeung,2,0.6321279586041783
