,date,code,class,avg
0,2009-001,gaya,0,0.2505743891078907
1,2009-001,gaya,1,0.2852250968082516
2,2009-001,gaya,2,0.2079362584053936
3,2009-001,gaya,3,0.24843380177635
4,2009-009,gaya,0,0.2153229302923006
5,2009-009,gaya,1,0.2648178812230477
6,2009-009,gaya,2,0.1880972013269827
7,2009-009,gaya,3,0.2344069396770411
8,2009-017,gaya,0,0.2145053435617331
9,2009-017,gaya,1,0.2493068648367552
10,2009-017,gaya,2,0.179831535967875
11,2009-017,gaya,3,0.2167226996436894
12,2009-025,gaya,0,0.1831558030902339
13,2009-025,gaya,1,0.2330581573390655
14,2009-025,gaya,2,0.1699918871848617
15,2009-025,gaya,3,0.2035005542349377
16,2009-033,gaya,0,0.2155287465777278
17,2009-033,gaya,1,0.2500463413252065
18,2009-033,gaya,2,0.1897219034485426
19,2009-033,gaya,3,0.2240382945580255
20,2009-041,gaya,0,0.2125640425523541
21,2009-041,gaya,1,0.2518367835838542
22,2009-041,gaya,2,0.1892928834478082
23,2009-041,gaya,3,0.224525786307429
24,2009-049,gaya,0,0.2167562805360854
25,2009-049,gaya,1,0.2684428141650281
26,2009-049,gaya,2,0.1909304115481334
27,2009-049,gaya,3,0.2328343648024898
28,2009-057,gaya,0,0.2010148523855701
29,2009-057,gaya,1,0.2427934337149374
30,2009-057,gaya,2,0.1871232366627302
31,2009-057,gaya,3,0.2157267697945234
32,2009-065,gaya,0,0.2136011137560885
33,2009-065,gaya,1,0.2569102438579121
34,2009-065,gaya,2,0.1940408666142381
35,2009-065,gaya,3,0.2272430274749076
36,2009-073,gaya,0,0.2012974056782971
37,2009-073,gaya,1,0.2494114003523311
38,2009-073,gaya,2,0.1891236963757453
39,2009-073,gaya,3,0.223477554690495
40,2009-081,gaya,0,0.2034288993740745
41,2009-081,gaya,1,0.2356902724235473
42,2009-081,gaya,2,0.1857899512378519
43,2009-081,gaya,3,0.211625695412281
44,2009-089,gaya,0,0.2097826928733983
45,2009-089,gaya,1,0.2526156191838977
46,2009-089,gaya,2,0.2001305556506616
47,2009-089,gaya,3,0.2262061142764608
48,2009-097,gaya,0,0.2576560717278819
49,2009-097,gaya,1,0.3112106033187503
50,2009-097,gaya,2,0.2547009934049563
51,2009-097,gaya,3,0.2769326082878771
52,2009-105,gaya,0,0.2370468506267228
53,2009-105,gaya,1,0.2979066919672477
54,2009-105,gaya,2,0.2429098013038099
55,2009-105,gaya,3,0.2651114597451369
56,2009-113,gaya,0,0.31536746330445
57,2009-113,gaya,1,0.3693009183752807
58,2009-113,gaya,2,0.3283130301005055
59,2009-113,gaya,3,0.3440484235944445
60,2009-121,gaya,0,0.3905123747378318
61,2009-121,gaya,1,0.416995264750196
62,2009-121,gaya,2,0.4023025016690508
63,2009-121,gaya,3,0.4160444510594702
64,2009-129,gaya,0,0.529729468708052
65,2009-129,gaya,1,0.5708608263401338
66,2009-129,gaya,2,0.6624326233368605
67,2009-129,gaya,3,0.612465348088887
68,2009-137,gaya,0,0.5727425277981746
69,2009-137,gaya,1,0.551347974416915
70,2009-137,gaya,2,0.6406666148886593
71,2009-137,gaya,3,0.5962398335306623
72,2009-145,gaya,0,0.6049337368338258
73,2009-145,gaya,1,0.5513547545384205
74,2009-145,gaya,2,0.6375271507298992
75,2009-145,gaya,3,0.5912452641444673
76,2009-153,gaya,0,0.5868091301386776
77,2009-153,gaya,1,0.5211479150044588
78,2009-153,gaya,2,0.5884938619990554
79,2009-153,gaya,3,0.5566677203815482
80,2009-161,gaya,0,0.6505066852845115
81,2009-161,gaya,1,0.6074116138271214
82,2009-161,gaya,2,0.7143805685982418
83,2009-161,gaya,3,0.6609422735893088
84,2009-169,gaya,0,0.631982646379513
85,2009-169,gaya,1,0.6078738113436268
86,2009-169,gaya,2,0.7084504581582135
87,2009-169,gaya,3,0.6551952038388821
88,2009-177,gaya,0,0.6431914847350202
89,2009-177,gaya,1,0.6133567926038376
90,2009-177,gaya,2,0.681459129003605
91,2009-177,gaya,3,0.6478486132461988
92,2009-185,gaya,0,0.234390740826044
93,2009-185,gaya,1,0.2398151138549219
94,2009-185,gaya,2,0.3031269872708535
95,2009-185,gaya,3,0.2642638699348716
96,2009-193,gaya,0,0.2079252122584599
97,2009-193,gaya,1,0.1872338881954037
98,2009-193,gaya,2,0.1692834066667416
99,2009-193,gaya,3,0.1762687876560238
100,2009-201,gaya,0,0.3208477745768904
101,2009-201,gaya,1,0.4007332196938634
102,2009-201,gaya,2,0.3691135855154173
103,2009-201,gaya,3,0.3737268337721989
104,2009-209,gaya,0,0.170773702663734
105,2009-209,gaya,1,0.1791833797662344
106,2009-209,gaya,2,0.2109504408124936
107,2009-209,gaya,3,0.1966152885868242
108,2009-217,gaya,0,0.5043078785938273
109,2009-217,gaya,1,0.4951397695318476
110,2009-217,gaya,2,0.5443440829751369
111,2009-217,gaya,3,0.5117568728111859
112,2009-225,gaya,0,0.5193936296979423
113,2009-225,gaya,1,0.4786256162172578
114,2009-225,gaya,2,0.5199432836097869
115,2009-225,gaya,3,0.4982200258185033
116,2009-233,gaya,0,0.4662843848638117
117,2009-233,gaya,1,0.4515917043453315
