,date,code,class,avg
0,2010-001,dadohae,0,0.2367030719753903
1,2010-001,dadohae,1,0.2397948635632033
2,2010-001,dadohae,2,0.2745168037361853
3,2010-001,dadohae,3,0.2416815860637882
4,2010-009,dadohae,0,0.2262940488492453
5,2010-009,dadohae,1,0.236431895539396
6,2010-009,dadohae,2,0.2481141545136735
7,2010-009,dadohae,3,0.2328755425873725
8,2010-017,dadohae,0,0.2228029574978909
9,2010-017,dadohae,1,0.2262639597477054
10,2010-017,dadohae,2,0.2567743582891043
11,2010-017,dadohae,3,0.2245764602513774
12,2010-025,dadohae,0,0.2041922285662699
13,2010-025,dadohae,1,0.2111697194203921
14,2010-025,dadohae,2,0.2378828429555047
15,2010-025,dadohae,3,0.2072287436408387
16,2010-033,dadohae,0,0.2341033587168475
17,2010-033,dadohae,1,0.2404354658161748
18,2010-033,dadohae,2,0.2674235030687694
19,2010-033,dadohae,3,0.2436613754736048
20,2010-041,dadohae,0,0.2113315347108068
21,2010-041,dadohae,1,0.215493102477194
22,2010-041,dadohae,2,0.2596634782582969
23,2010-041,dadohae,3,0.2209318921880741
24,2010-049,dadohae,0,0.1647301304852622
25,2010-049,dadohae,1,0.1705563562960744
26,2010-049,dadohae,2,0.2131883237296895
27,2010-049,dadohae,3,0.1838672398759057
28,2010-057,dadohae,0,0.1879786871617612
29,2010-057,dadohae,1,0.2009357282314832
30,2010-057,dadohae,2,0.2240199424853133
31,2010-057,dadohae,3,0.2034987885807498
32,2010-065,dadohae,0,0.2163429298077694
33,2010-065,dadohae,1,0.2295168461028449
34,2010-065,dadohae,2,0.2667728755944853
35,2010-065,dadohae,3,0.2403164196493845
36,2010-073,dadohae,0,0.2259130986046739
37,2010-073,dadohae,1,0.2398911318052233
38,2010-073,dadohae,2,0.2833212574428563
39,2010-073,dadohae,3,0.246272648844588
40,2010-081,dadohae,0,0.2760778875886815
41,2010-081,dadohae,1,0.2828054068429413
42,2010-081,dadohae,2,0.3208699989067579
43,2010-081,dadohae,3,0.2857438117465756
44,2010-089,dadohae,0,0.2291936072427407
45,2010-089,dadohae,1,0.2468052981063102
46,2010-089,dadohae,2,0.267025049197227
47,2010-089,dadohae,3,0.2464875449461065
48,2010-097,dadohae,0,0.2663457501242156
49,2010-097,dadohae,1,0.2766105456278195
50,2010-097,dadohae,2,0.3118322435277341
51,2010-097,dadohae,3,0.2730587339056784
52,2010-105,dadohae,0,0.3010681248314179
53,2010-105,dadohae,1,0.320153635369785
54,2010-105,dadohae,2,0.371965843600498
55,2010-105,dadohae,3,0.3292356972997716
56,2010-113,dadohae,0,0.3329625957322458
57,2010-113,dadohae,1,0.3489905197801472
58,2010-113,dadohae,2,0.3907336923776016
59,2010-113,dadohae,3,0.3639073721616331
60,2010-121,dadohae,0,0.3867421386376012
61,2010-121,dadohae,1,0.4076988646815477
62,2010-121,dadohae,2,0.4738364792861481
63,2010-121,dadohae,3,0.435121092160878
64,2010-129,dadohae,0,0.4070535495923285
65,2010-129,dadohae,1,0.4090185188011843
66,2010-129,dadohae,2,0.5140067271190476
67,2010-129,dadohae,3,0.4477384238793404
68,2010-137,dadohae,0,0.4638483398920303
69,2010-137,dadohae,1,0.4606210280084949
70,2010-137,dadohae,2,0.5531657557979148
71,2010-137,dadohae,3,0.5077713843776613
72,2010-145,dadohae,0,0.4730817529850135
73,2010-145,dadohae,1,0.4712963944619814
74,2010-145,dadohae,2,0.5574572274084296
75,2010-145,dadohae,3,0.5105963153801724
76,2010-153,dadohae,0,0.4503324553183253
77,2010-153,dadohae,1,0.4737106052288288
78,2010-153,dadohae,2,0.5720920430900124
79,2010-153,dadohae,3,0.5254555079408435
80,2010-161,dadohae,0,0.4983209896602015
81,2010-161,dadohae,1,0.4890627497914278
82,2010-161,dadohae,2,0.5562218079121242
83,2010-161,dadohae,3,0.5125027097242961
84,2010-169,dadohae,0,0.2956260054924558
85,2010-169,dadohae,1,0.3288903980001839
86,2010-169,dadohae,2,0.4025240588808935
87,2010-169,dadohae,3,0.3684779361233687
88,2010-177,dadohae,0,0.3057698650754382
89,2010-177,dadohae,1,0.3152692247805407
90,2010-177,dadohae,2,0.350198005581313
91,2010-177,dadohae,3,0.3479205545712587
92,2010-185,dadohae,0,0.4279199328293073
93,2010-185,dadohae,1,0.4088586464548636
94,2010-185,dadohae,2,0.4570977798001411
