,date,code,class,avg
0,2010-001,deogyu,0,0.1423530212065184
1,2010-001,deogyu,1,0.1774355822676894
2,2010-001,deogyu,2,0.1310572346829805
3,2010-001,deogyu,3,0.1609885759544348
4,2010-009,deogyu,0,0.1538297621844203
5,2010-009,deogyu,1,0.1848860926963457
6,2010-009,deogyu,2,0.1445212465288559
7,2010-009,deogyu,3,0.1666978141253369
8,2010-017,deogyu,0,0.1595663454577507
9,2010-017,deogyu,1,0.1904536551673149
10,2010-017,deogyu,2,0.1526013970250232
11,2010-017,deogyu,3,0.1731918897040848
12,2010-025,deogyu,0,0.1599407279019933
13,2010-025,deogyu,1,0.1965852986396775
14,2010-025,deogyu,2,0.1537955740029782
15,2010-025,deogyu,3,0.1755454994696949
16,2010-033,deogyu,0,0.1670698651369002
17,2010-033,deogyu,1,0.1901878217600972
18,2010-033,deogyu,2,0.1622357239217571
19,2010-033,deogyu,3,0.1771349268424953
20,2010-041,deogyu,0,0.1590387276302294
21,2010-041,deogyu,1,0.1903552679184424
22,2010-041,deogyu,2,0.1548550694290343
23,2010-041,deogyu,3,0.1761982201015498
24,2010-049,deogyu,0,0.192458380888714
25,2010-049,deogyu,1,0.2153998559848943
26,2010-049,deogyu,2,0.1846311051787998
27,2010-049,deogyu,3,0.1999048700167696
28,2010-057,deogyu,0,0.1813186703654324
29,2010-057,deogyu,1,0.2037043250137449
30,2010-057,deogyu,2,0.1827217860569706
31,2010-057,deogyu,3,0.1952311419961524
32,2010-065,deogyu,0,0.1895573809902742
33,2010-065,deogyu,1,0.2185201267312073
34,2010-065,deogyu,2,0.185792086756382
35,2010-065,deogyu,3,0.2024465019698
36,2010-073,deogyu,0,0.1727691168992873
37,2010-073,deogyu,1,0.2058481007040152
38,2010-073,deogyu,2,0.1786032173494314
39,2010-073,deogyu,3,0.1929349868193728
40,2010-081,deogyu,0,0.1691303347753603
41,2010-081,deogyu,1,0.1922018223364089
42,2010-081,deogyu,2,0.173068417725367
43,2010-081,deogyu,3,0.18493477155416
44,2010-089,deogyu,0,0.180307121695052
45,2010-089,deogyu,1,0.2076655029733329
46,2010-089,deogyu,2,0.1813965241727494
47,2010-089,deogyu,3,0.1945621438625115
48,2010-097,deogyu,0,0.1916849687335814
49,2010-097,deogyu,1,0.2155612388754937
50,2010-097,deogyu,2,0.1950968592095777
51,2010-097,deogyu,3,0.2067609422254766
52,2010-105,deogyu,0,0.2072059793060226
53,2010-105,deogyu,1,0.2344009254516922
54,2010-105,deogyu,2,0.204803197854069
55,2010-105,deogyu,3,0.2196204384031349
56,2010-113,deogyu,0,0.1903255445558829
57,2010-113,deogyu,1,0.2067335526261873
58,2010-113,deogyu,2,0.1795275627044364
59,2010-113,deogyu,3,0.193541533795643
60,2010-121,deogyu,0,0.3486104912306194
61,2010-121,deogyu,1,0.3899225093655927
62,2010-121,deogyu,2,0.3211835438253972
63,2010-121,deogyu,3,0.3627519802222912
64,2010-129,deogyu,0,0.4486457992107796
65,2010-129,deogyu,1,0.5094002948404143
66,2010-129,deogyu,2,0.47753489771279
67,2010-129,deogyu,3,0.4954030819588016
68,2010-137,deogyu,0,0.4913253221220936
69,2010-137,deogyu,1,0.5731178257138383
70,2010-137,deogyu,2,0.5568172798026326
71,2010-137,deogyu,3,0.5609918507291279
72,2010-145,deogyu,0,0.6672313077863709
73,2010-145,deogyu,1,0.6651954965191553
74,2010-145,deogyu,2,0.7603286339739677
75,2010-145,deogyu,3,0.7057349433740715
76,2010-153,deogyu,0,0.6591860067156836
77,2010-153,deogyu,1,0.6646344648923339
78,2010-153,deogyu,2,0.7464702319296066
79,2010-153,deogyu,3,0.6996985279405378
80,2010-161,deogyu,0,0.6153009518514859
81,2010-161,deogyu,1,0.5991008062203395
82,2010-161,deogyu,2,0.7028404059269074
83,2010-161,deogyu,3,0.6462621392094309
84,2010-169,deogyu,0,0.6003253423357497
85,2010-169,deogyu,1,0.599697914640072
86,2010-169,deogyu,2,0.6568347675650313
87,2010-169,deogyu,3,0.6235848423344821
88,2010-177,deogyu,0,0.5670713799718912
89,2010-177,deogyu,1,0.5706897193483381
90,2010-177,deogyu,2,0.6388496308416468
91,2010-177,deogyu,3,0.5830368543086426
92,2010-185,deogyu,0,0.6840763114039217
93,2010-185,deogyu,1,0.6740727626547078
94,2010-185,deogyu,2,0.7710849044608465
95,2010-185,deogyu,3,0.721418448059191
96,2010-193,deogyu,0,0.4584255839287781
97,2010-193,deogyu,1,0.5133774001994335
