,date,code,class,avg
0,2010-001,gyeongju,0,0.1730120573596769
1,2010-001,gyeongju,1,0.2171587605663222
2,2010-001,gyeongju,2,0.1531598299907702
3,2010-001,gyeongju,3,0.1812745472010385
4,2010-009,gyeongju,0,0.1825295030783654
5,2010-009,gyeongju,1,0.2328772920558882
6,2010-009,gyeongju,2,0.1680734330233338
7,2010-009,gyeongju,3,0.194264877598734
8,2010-017,gyeongju,0,0.1834182025066868
9,2010-017,gyeongju,1,0.2237582528814795
10,2010-017,gyeongju,2,0.167298571934382
11,2010-017,gyeongju,3,0.1952217405257031
12,2010-025,gyeongju,0,0.1955874045956214
13,2010-025,gyeongju,1,0.2460953619049176
14,2010-025,gyeongju,2,0.1822128552351129
15,2010-025,gyeongju,3,0.212075648827445
16,2010-033,gyeongju,0,0.1732376413508849
17,2010-033,gyeongju,1,0.2253196255240141
18,2010-033,gyeongju,2,0.1575963869499757
19,2010-033,gyeongju,3,0.1874603360010638
20,2010-041,gyeongju,0,0.1730442478910978
21,2010-041,gyeongju,1,0.234759828096266
22,2010-041,gyeongju,2,0.1674816743901181
23,2010-041,gyeongju,3,0.2019752426782021
24,2010-049,gyeongju,0,0.170793887409244
25,2010-049,gyeongju,1,0.2277434873599338
26,2010-049,gyeongju,2,0.1865900238881503
27,2010-049,gyeongju,3,0.2067970287479696
28,2010-057,gyeongju,0,0.1890780927790984
29,2010-057,gyeongju,1,0.2334922587675305
30,2010-057,gyeongju,2,0.1742923379539154
31,2010-057,gyeongju,3,0.2079219700686806
32,2010-065,gyeongju,0,0.1658964914971659
33,2010-065,gyeongju,1,0.206626574395864
34,2010-065,gyeongju,2,0.1718244046185937
35,2010-065,gyeongju,3,0.1894432263302112
36,2010-073,gyeongju,0,0.2013416010231231
37,2010-073,gyeongju,1,0.2527661307585382
38,2010-073,gyeongju,2,0.1921029661767265
39,2010-073,gyeongju,3,0.2251306850748734
40,2010-081,gyeongju,0,0.1801585192325956
41,2010-081,gyeongju,1,0.2294254588148095
42,2010-081,gyeongju,2,0.1762515025268908
43,2010-081,gyeongju,3,0.205786422131865
44,2010-089,gyeongju,0,0.2016629729564225
45,2010-089,gyeongju,1,0.2543826460251728
46,2010-089,gyeongju,2,0.1920083929565692
47,2010-089,gyeongju,3,0.2225535622903367
48,2010-097,gyeongju,0,0.2039363853444311
49,2010-097,gyeongju,1,0.2572650057790357
50,2010-097,gyeongju,2,0.2046642311102918
51,2010-097,gyeongju,3,0.2317226281853824
52,2010-105,gyeongju,0,0.2046221718174237
53,2010-105,gyeongju,1,0.2585289842643651
54,2010-105,gyeongju,2,0.2149237457287987
55,2010-105,gyeongju,3,0.2403586692183736
56,2010-113,gyeongju,0,0.2351734224865679
57,2010-113,gyeongju,1,0.2713505246690251
58,2010-113,gyeongju,2,0.2571490713920514
59,2010-113,gyeongju,3,0.2614637689667878
60,2010-121,gyeongju,0,0.4178966560193137
61,2010-121,gyeongju,1,0.4575107339115549
62,2010-121,gyeongju,2,0.5949454862341589
63,2010-121,gyeongju,3,0.5302123506111506
64,2010-129,gyeongju,0,0.4562431826598879
65,2010-129,gyeongju,1,0.5097116548196056
66,2010-129,gyeongju,2,0.6447619788523494
67,2010-129,gyeongju,3,0.5863238605176374
68,2010-137,gyeongju,0,0.4744216923188989
69,2010-137,gyeongju,1,0.5247460352253761
70,2010-137,gyeongju,2,0.6192503556721055
71,2010-137,gyeongju,3,0.5982412260632086
72,2010-145,gyeongju,0,0.4996371694108911
73,2010-145,gyeongju,1,0.5232387450384851
74,2010-145,gyeongju,2,0.7066034331994994
75,2010-145,gyeongju,3,0.6086958677531628
76,2010-153,gyeongju,0,0.5015560834110574
77,2010-153,gyeongju,1,0.5366537770411198
78,2010-153,gyeongju,2,0.6941930804996161
79,2010-153,gyeongju,3,0.6138538173503967
80,2010-161,gyeongju,0,0.5274155588752342
81,2010-161,gyeongju,1,0.5649923020125339
82,2010-161,gyeongju,2,0.7302368516266162
83,2010-161,gyeongju,3,0.6546745510895546
84,2010-169,gyeongju,0,0.5397395699259475
85,2010-169,gyeongju,1,0.5867952017929906
86,2010-169,gyeongju,2,0.7402368026022971
87,2010-169,gyeongju,3,0.6690917361589345
88,2010-177,gyeongju,0,0.5522643215312796
89,2010-177,gyeongju,1,0.572970008198742
90,2010-177,gyeongju,2,0.6981551593188425
91,2010-177,gyeongju,3,0.6405640196622193
92,2010-185,gyeongju,0,0.3722904630273254
93,2010-185,gyeongju,1,0.4242442338525687
94,2010-185,gyeongju,2,0.4552231378118775
95,2010-185,gyeongju,3,0.4315189818365763
96,2010-193,gyeongju,0,0.4939995789317826
97,2010-193,gyeongju,1,0.4644287110647703
98,2010-193,gyeongju,2,0.5693863514061179
99,2010-193,gyeongju,3,0.5006436542987635
100,2010-201,gyeongju,0,0.5332576234100048
101,2010-201,gyeongju,1,0.5596026574729412
102,2010-201,gyeongju,2,0.6667823815052624
103,2010-201,gyeongju,3,0.6070282128228546
104,2010-209,gyeongju,0,0.552910735238442
105,2010-209,gyeongju,1,0.554735463982819
106,2010-209,gyeongju,2,0.6855375499544941
107,2010-209,gyeongju,3,0.6237478716471013
108,2010-217,gyeongju,0,0.4934727752110328
109,2010-217,gyeongju,1,0.5064077676563129
110,2010-217,gyeongju,2,0.6105623567571277
111,2010-217,gyeongju,3,0.5463638795909602
112,2010-225,gyeongju,0,0.5096596343507126
113,2010-225,gyeongju,1,0.5245262132402205
114,2010-225,gyeongju,2,0.6242326762725718
115,2010-225,gyeongju,3,0.5599341455412312
116,2010-233,gyeongju,0,0.5318548905515124
117,2010-233,gyeongju,1,0.5448560513143401
118,2010-233,gyeongju,2,0.6459161094504875
119,2010-233,gyeongju,3,0.5991800929397056
120,2010-241,gyeongju,0,0.5282247250494481
121,2010-241,gyeongju,1,0.5279311362143198
122,2010-241,gyeongju,2,0.6501582844945695
123,2010-241,gyeongju,3,0.5792216402957332
124,2010-249,gyeongju,0,0.5083385842551874
125,2010-249,gyeongju,1,0.5346236945936362
126,2010-249,gyeongju,2,0.6312441277912683
127,2010-249,gyeongju,3,0.5853167165942444
128,2010-257,gyeongju,0,0.4699572202759194
129,2010-257,gyeongju,1,0.4790204666398812
130,2010-257,gyeongju,2,0.5724295064147563
131,2010-257,gyeongju,3,0.52193578246327
132,2010-265,gyeongju,0,0.4240888770962798
133,2010-265,gyeongju,1,0.43763981169368
134,2010-265,gyeongju,2,0.516148495498915
135,2010-265,gyeongju,3,0.472730648716435
136,2010-273,gyeongju,0,0.4274235127691315
137,2010-273,gyeongju,1,0.4341075987564303
138,2010-273,gyeongju,2,0.4926460496094463
139,2010-273,gyeongju,3,0.4679612846505748
140,2010-281,gyeongju,0,0.4097359307685596
141,2010-281,gyeongju,1,0.453129893929707
142,2010-281,gyeongju,2,0.567426017177692
143,2010-281,gyeongju,3,0.5139279317013737
144,2010-289,gyeongju,0,0.3770279560715739
145,2010-289,gyeongju,1,0.4211038426087763
146,2010-289,gyeongju,2,0.4646757262228081
147,2010-289,gyeongju,3,0.4347615845896217
148,2010-297,gyeongju,0,0.3759693491825833
149,2010-297,gyeongju,1,0.4224333561341225
150,2010-297,gyeongju,2,0.4808811505581244
151,2010-297,gyeongju,3,0.4415143109357883
152,2010-305,gyeongju,0,0.3034472210132848
153,2010-305,gyeongju,1,0.3386495165101646
154,2010-305,gyeongju,2,0.3654031799046124
155,2010-305,gyeongju,3,0.3377358310729095
156,2010-313,gyeongju,0,0.2457860343482055
157,2010-313,gyeongju,1,0.301895997499678
158,2010-313,gyeongju,2,0.2701308987010782
159,2010-313,gyeongju,3,0.2792331541842467
160,2010-321,gyeongju,0,0.2163700645441822
161,2010-321,gyeongju,1,0.2662421484572159
162,2010-321,gyeongju,2,0.2246290834640622
163,2010-321,gyeongju,3,0.2360828661134636
164,2010-329,gyeongju,0,0.194770950979473
165,2010-329,gyeongju,1,0.2537790072597262
166,2010-329,gyeongju,2,0.1889613779008937
167,2010-329,gyeongju,3,0.2147985246591906
168,2010-337,gyeongju,0,0.1997622194559873
169,2010-337,gyeongju,1,0.2493250603983082
170,2010-337,gyeongju,2,0.1815534569507131
171,2010-337,gyeongju,3,0.2109210745834082
172,2010-345,gyeongju,0,0.2118078245713856
173,2010-345,gyeongju,1,0.2821198488667418
174,2010-345,gyeongju,2,0.2249540606310721
175,2010-345,gyeongju,3,0.2553592354731429
176,2010-353,gyeongju,0,0.2040597303002932
