,date,code,class,avg
0,2010-001,halla,0,0.0461803404698764
1,2010-001,halla,1,0.1300643994148005
2,2010-001,halla,2,0.1465304031858004
3,2010-001,halla,3,0.1577321993574718
4,2010-009,halla,0,0.0731485060538557
5,2010-009,halla,1,0.148315463388776
6,2010-009,halla,2,0.1497010301374573
7,2010-009,halla,3,0.1672874887381872
8,2010-017,halla,0,0.1181722094138256
9,2010-017,halla,1,0.1722087972577769
10,2010-017,halla,2,0.1647478351845722
11,2010-017,halla,3,0.1885119213962528
12,2010-025,halla,0,0.1262611724711296
13,2010-025,halla,1,0.1608219275123815
14,2010-025,halla,2,0.1563020481793324
15,2010-025,halla,3,0.1629356984139967
16,2010-033,halla,0,0.1326147106539215
17,2010-033,halla,1,0.1409790787630171
18,2010-033,halla,2,0.1471583213963232
19,2010-033,halla,3,0.1662262156201243
20,2010-041,halla,0,0.1009899518406859
21,2010-041,halla,1,0.1452186512943504
22,2010-041,halla,2,0.1418300615644543
23,2010-041,halla,3,0.1677663457414756
24,2010-049,halla,0,0.1388594586136775
25,2010-049,halla,1,0.1649323291759109
26,2010-049,halla,2,0.1598509980355005
27,2010-049,halla,3,0.1820686576377811
28,2010-057,halla,0,0.2924423686945416
29,2010-057,halla,1,0.2276659234454357
30,2010-057,halla,2,0.159843225810897
31,2010-057,halla,3,0.1941780173097826
32,2010-065,halla,0,0.284794951598265
33,2010-065,halla,1,0.2588472659396893
34,2010-065,halla,2,0.2172056716017021
35,2010-065,halla,3,0.23814326712028
36,2010-073,halla,0,0.2659553415089642
37,2010-073,halla,1,0.2351197039422773
38,2010-073,halla,2,0.1986591968731126
39,2010-073,halla,3,0.2156495718707697
40,2010-081,halla,0,0.2368257658413078
41,2010-081,halla,1,0.2143542999810329
42,2010-081,halla,2,0.2073774572399604
43,2010-081,halla,3,0.2140449361910783
44,2010-089,halla,0,0.2724068920504051
45,2010-089,halla,1,0.2494160895810565
46,2010-089,halla,2,0.2175422496717537
47,2010-089,halla,3,0.2341630807565428
48,2010-097,halla,0,0.3073673543019158
49,2010-097,halla,1,0.2850883652373949
50,2010-097,halla,2,0.231645252953767
51,2010-097,halla,3,0.2426101626810636
52,2010-105,halla,0,0.3240396382506301
53,2010-105,halla,1,0.31525491565665
54,2010-105,halla,2,0.2724320379195379
55,2010-105,halla,3,0.2957533939142101
56,2010-113,halla,0,0.307138972254366
57,2010-113,halla,1,0.2884432257442843
58,2010-113,halla,2,0.2557856855683149
59,2010-113,halla,3,0.2671196332280451
60,2010-121,halla,0,0.3441772266276932
61,2010-121,halla,1,0.3734582242800068
62,2010-121,halla,2,0.4559121989819551
63,2010-121,halla,3,0.4040176999520361
64,2010-129,halla,0,0.3253338854579239
65,2010-129,halla,1,0.3485604555740805
66,2010-129,halla,2,0.4215651590997625
67,2010-129,halla,3,0.3746433588642893
68,2010-137,halla,0,0.3805193375011952
69,2010-137,halla,1,0.4557363982926924
70,2010-137,halla,2,0.6126815100882594
71,2010-137,halla,3,0.5389313300290004
72,2010-145,halla,0,0.4687556917815116
73,2010-145,halla,1,0.5511354558849224
74,2010-145,halla,2,0.7066620809924226
75,2010-145,halla,3,0.6459274184180824
76,2010-153,halla,0,0.2436921206672544
77,2010-153,halla,1,0.2634374992831905
78,2010-153,halla,2,0.3334517374522082
79,2010-153,halla,3,0.3240666562342612
80,2010-161,halla,0,0.4534915609480804
81,2010-161,halla,1,0.6044780650853173
82,2010-161,halla,2,0.7573242917951959
83,2010-161,halla,3,0.6674820273101507
84,2010-169,halla,0,0.4114748291618063
85,2010-169,halla,1,0.5025002653050343
86,2010-169,halla,2,0.60712531691533
87,2010-169,halla,3,0.4856221345858021
88,2010-177,halla,0,0.6464193893289565
89,2010-177,halla,1,0.6579724993988173
90,2010-177,halla,2,0.7742219876590075
91,2010-177,halla,3,0.7183343265291845
92,2010-185,halla,0,0.4893253192550772
93,2010-185,halla,1,0.5364581368124316
94,2010-185,halla,2,0.6073602632590286
95,2010-185,halla,3,0.5733740377256905
96,2010-193,halla,0,0.6245969422026252
97,2010-193,halla,1,0.4710588691516466
98,2010-193,halla,2,0.4595930470769341
99,2010-193,halla,3,0.4831571438686349
100,2010-201,halla,0,0.5577649521364803
101,2010-201,halla,1,0.5680179315570356
102,2010-201,halla,2,0.6653222448651586
103,2010-201,halla,3,0.6155298286959608
104,2010-209,halla,0,0.6010660500691932
105,2010-209,halla,1,0.5980519436385584
106,2010-209,halla,2,0.6324510397228224
107,2010-209,halla,3,0.60134276363332
108,2010-217,halla,0,0.5337177833623412
109,2010-217,halla,1,0.4928701141160002
110,2010-217,halla,2,0.5403648658447682
111,2010-217,halla,3,0.4730556838004536
112,2010-225,halla,0,0.6398530145606939
113,2010-225,halla,1,0.58299139850945
114,2010-225,halla,2,0.5561527832117771
115,2010-225,halla,3,0.6277505909647128
116,2010-233,halla,0,0.6524918886309921
117,2010-233,halla,1,0.5507743124804227
118,2010-233,halla,2,0.60596293509935
119,2010-233,halla,3,0.6053533062155189
120,2010-241,halla,0,0.5512458762189577
121,2010-241,halla,1,0.5442275991693706
122,2010-241,halla,2,0.5237867050396823
123,2010-241,halla,3,0.4821287996490377
124,2010-249,halla,0,0.5963518038310057
125,2010-249,halla,1,0.5436842699704426
126,2010-249,halla,2,0.5837909861826767
127,2010-249,halla,3,0.564411822381002
128,2010-257,halla,0,0.5930902030556954
129,2010-257,halla,1,0.5349983886898394
130,2010-257,halla,2,0.5759189999552465
131,2010-257,halla,3,0.5684491615675684
132,2010-265,halla,0,0.5411771696015004
133,2010-265,halla,1,0.4404131027391325
134,2010-265,halla,2,0.4370849670293612
135,2010-265,halla,3,0.437454369349933
136,2010-273,halla,0,0.4480054268692531
137,2010-273,halla,1,0.4329727676454488
138,2010-273,halla,2,0.4445899989169329
139,2010-273,halla,3,0.4282729638554902
140,2010-281,halla,0,0.4927931660706809
141,2010-281,halla,1,0.4547570704063924
142,2010-281,halla,2,0.5040152702375554
143,2010-281,halla,3,0.5035335359570358
144,2010-289,halla,0,0.3937128866097248
145,2010-289,halla,1,0.3582601958866581
146,2010-289,halla,2,0.3897038621687093
147,2010-289,halla,3,0.3798527671582951
148,2010-297,halla,0,0.3684051594903397
149,2010-297,halla,1,0.3028796142588206
150,2010-297,halla,2,0.3009675342622602
151,2010-297,halla,3,0.3459944570556755
152,2010-305,halla,0,0.3516105177887351
153,2010-305,halla,1,0.309605698996504
154,2010-305,halla,2,0.311424204821567
155,2010-305,halla,3,0.3276761061392695
156,2010-313,halla,0,0.2974744473647497
157,2010-313,halla,1,0.2333054559071889
158,2010-313,halla,2,0.2044745987324958
159,2010-313,halla,3,0.2271264916054267
160,2010-321,halla,0,0.3367919827250232
161,2010-321,halla,1,0.2839873528540231
162,2010-321,halla,2,0.2484195703404438
163,2010-321,halla,3,0.2759816728920089
164,2010-329,halla,0,0.3262981490182911
165,2010-329,halla,1,0.2652229138579486
166,2010-329,halla,2,0.2318060072306653
167,2010-329,halla,3,0.2671153304263804
168,2010-337,halla,0,0.3230289789329305
169,2010-337,halla,1,0.2764247413669906
170,2010-337,halla,2,0.2471668735517107
171,2010-337,halla,3,0.2902491606715829
172,2010-345,halla,0,0.3234205123504088
173,2010-345,halla,1,0.2606036787155204
174,2010-345,halla,2,0.2256105186453907
175,2010-345,halla,3,0.2589989317342782
176,2010-353,halla,0,0.2989867291093269
177,2010-353,halla,1,0.2603791318328098
178,2010-353,halla,2,0.2204480806961705
179,2010-353,halla,3,0.2516836233978662
180,2010-361,halla,0,0.0548203005161391
181,2010-361,halla,1,0.1491115677587365
182,2010-361,halla,2,0.1760702354699498
183,2010-361,halla,3,0.1770814063976319
