,date,code,class,avg
0,2010-001,taean,0,0.1850724733742719
1,2010-001,taean,1,0.2080778634894515
2,2010-001,taean,2,0.1504050062291987
3,2010-001,taean,3,0.205008901955225
4,2010-009,taean,0,0.1768927630281391
5,2010-009,taean,1,0.1853733013480912
6,2010-009,taean,2,0.1740772100039012
7,2010-009,taean,3,0.2004497667482372
8,2010-017,taean,0,0.1669766137367716
9,2010-017,taean,1,0.2020993192418741
10,2010-017,taean,2,0.164344672893562
11,2010-017,taean,3,0.193582374283524
12,2010-025,taean,0,0.1629660642598157
13,2010-025,taean,1,0.2145517263536759
14,2010-025,taean,2,0.166024902576069
15,2010-025,taean,3,0.1947096305408972
16,2010-033,taean,0,0.1864136545648891
17,2010-033,taean,1,0.2252415855287114
18,2010-033,taean,2,0.1709136904383395
19,2010-033,taean,3,0.2157492070188126
20,2010-041,taean,0,0.1869101856933153
21,2010-041,taean,1,0.2046161453069019
22,2010-041,taean,2,0.1755749634744439
23,2010-041,taean,3,0.1896906403703011
24,2010-049,taean,0,0.1752492138506529
25,2010-049,taean,1,0.2139781835972163
26,2010-049,taean,2,0.1809035124936957
27,2010-049,taean,3,0.2215611950131719
28,2010-057,taean,0,0.1406680075189992
29,2010-057,taean,1,0.1539978591082796
30,2010-057,taean,2,0.1417503479938911
31,2010-057,taean,3,0.1742153046745777
32,2010-065,taean,0,0.2023751076781965
33,2010-065,taean,1,0.2185565421949323
34,2010-065,taean,2,0.1795189590334071
35,2010-065,taean,3,0.2097859235000964
36,2010-073,taean,0,0.1583420321095757
37,2010-073,taean,1,0.2030925033689978
38,2010-073,taean,2,0.1622081198490549
39,2010-073,taean,3,0.2014468906223161
40,2010-081,taean,0,0.1795375256047765
41,2010-081,taean,1,0.2163544302568771
42,2010-081,taean,2,0.1815105584564244
43,2010-081,taean,3,0.2005074605747454
44,2010-089,taean,0,0.1973443011637438
45,2010-089,taean,1,0.2157453410528819
46,2010-089,taean,2,0.1815470261720226
47,2010-089,taean,3,0.2214800272785162
48,2010-097,taean,0,0.1944978215329511
49,2010-097,taean,1,0.2237562326284489
50,2010-097,taean,2,0.1930449440100981
51,2010-097,taean,3,0.2227358904317741
52,2010-105,taean,0,0.1675494090006983
53,2010-105,taean,1,0.2190940080874897
54,2010-105,taean,2,0.1711206380045848
55,2010-105,taean,3,0.2351926332697999
56,2010-113,taean,0,0.2075983371978185
57,2010-113,taean,1,0.2155003789637491
58,2010-113,taean,2,0.1798392112774325
59,2010-113,taean,3,0.2221498800540694
60,2010-121,taean,0,0.2333369956478592
61,2010-121,taean,1,0.2607706842021618
62,2010-121,taean,2,0.2315217392227792
63,2010-121,taean,3,0.2954046485751653
64,2010-129,taean,0,0.2543839120842052
65,2010-129,taean,1,0.2915737298245358
66,2010-129,taean,2,0.28702215905147
67,2010-129,taean,3,0.3222097645892153
68,2010-137,taean,0,0.3176818762633743
69,2010-137,taean,1,0.3084534843814304
70,2010-137,taean,2,0.3595905557289241
71,2010-137,taean,3,0.3550176255312868
72,2010-145,taean,0,0.3522183197291544
73,2010-145,taean,1,0.3451044910183304
74,2010-145,taean,2,0.3998504629451702
75,2010-145,taean,3,0.3655701348364671
76,2010-153,taean,0,0.3268905651631648
77,2010-153,taean,1,0.3342695262326355
78,2010-153,taean,2,0.3596056824196686
79,2010-153,taean,3,0.406682745798711
80,2010-161,taean,0,0.3408271423402755
81,2010-161,taean,1,0.3652619478778593
82,2010-161,taean,2,0.3304219113215869
83,2010-161,taean,3,0.3612114332543771
84,2010-169,taean,0,0.3342668462444114
85,2010-169,taean,1,0.3290769796204574
86,2010-169,taean,2,0.2822681320407706
87,2010-169,taean,3,0.3349314702799664
88,2010-177,taean,0,0.3680586118023777
89,2010-177,taean,1,0.388003594580126
90,2010-177,taean,2,0.4226724764473459
91,2010-177,taean,3,0.4316171462416687
92,2010-185,taean,0,0.3778654265384908
93,2010-185,taean,1,0.3812531098259975
94,2010-185,taean,2,0.4391622220388459
95,2010-185,taean,3,0.413751803725346
96,2010-193,taean,0,0.3970653150399144
97,2010-193,taean,1,0.3942642189302881
98,2010-193,taean,2,0.4094044312836978
99,2010-193,taean,3,0.4156067827158582
100,2010-201,taean,0,0.3775246670852879
101,2010-201,taean,1,0.3931721256079308
102,2010-201,taean,2,0.4029996252741262
103,2010-201,taean,3,0.4629382882389966
104,2010-209,taean,0,0.3582152645602749
105,2010-209,taean,1,0.4151662192913671
106,2010-209,taean,2,0.3919383157312477
107,2010-209,taean,3,0.4517930158445953
108,2010-217,taean,0,0.3951481636634074
109,2010-217,taean,1,0.3960708950510041
110,2010-217,taean,2,0.4234743693720356
111,2010-217,taean,3,0.4507138768751527
112,2010-225,taean,0,0.3835423671271428
113,2010-225,taean,1,0.362549510023781
114,2010-225,taean,2,0.4307383815879618
115,2010-225,taean,3,0.4100736019456509
116,2010-233,taean,0,0.4110089483157539
117,2010-233,taean,1,0.4043682906866657
118,2010-233,taean,2,0.4126069458582651
119,2010-233,taean,3,0.4592378652188183
120,2010-241,taean,0,0.3148875538326887
121,2010-241,taean,1,0.3735406408424082
122,2010-241,taean,2,0.3713058363687138
123,2010-241,taean,3,0.375154587133171
124,2010-249,taean,0,0.3248461829136232
125,2010-249,taean,1,0.3442303365404917
126,2010-249,taean,2,0.3217709015328976
127,2010-249,taean,3,0.358326532777321
128,2010-257,taean,0,0.3104898494302109
129,2010-257,taean,1,0.3638439076187418
130,2010-257,taean,2,0.3434277744074618
131,2010-257,taean,3,0.3666448340944193
132,2010-265,taean,0,0.3087450767627608
133,2010-265,taean,1,0.3345539769827995
134,2010-265,taean,2,0.3087669729122141
135,2010-265,taean,3,0.3347089685647218
136,2010-273,taean,0,0.2927652504416922
137,2010-273,taean,1,0.3204404020871514
138,2010-273,taean,2,0.3044502173626964
139,2010-273,taean,3,0.3165992795996526
140,2010-281,taean,0,0.2962430527500052
141,2010-281,taean,1,0.3248361015630086
142,2010-281,taean,2,0.2986406975567127
143,2010-281,taean,3,0.3548649091683342
144,2010-289,taean,0,0.2662801624883294
145,2010-289,taean,1,0.2995307476116901
146,2010-289,taean,2,0.2652452084062476
147,2010-289,taean,3,0.2948034139068728
148,2010-297,taean,0,0.2467050279762146
149,2010-297,taean,1,0.2768889018966123
150,2010-297,taean,2,0.270178108729026
151,2010-297,taean,3,0.2896868099604985
