,date,code,class,avg
0,2011-001,juwang,0,0.1953918966133498
1,2011-001,juwang,1,0.1989151209107813
2,2011-001,juwang,2,0.161619046567503
3,2011-001,juwang,3,0.1833354102652304
4,2011-009,juwang,0,0.2013173663256402
5,2011-009,juwang,1,0.2048569027478774
6,2011-009,juwang,2,0.1640050746380932
7,2011-009,juwang,3,0.1920111359266528
8,2011-017,juwang,0,0.1750918984751698
9,2011-017,juwang,1,0.178709038807861
10,2011-017,juwang,2,0.1498074422947098
11,2011-017,juwang,3,0.1664592148380668
12,2011-025,juwang,0,0.2003824162885981
13,2011-025,juwang,1,0.2107791932424512
14,2011-025,juwang,2,0.1658725429916746
15,2011-025,juwang,3,0.1925049383161894
16,2011-033,juwang,0,0.1876671996326982
17,2011-033,juwang,1,0.1965748157442254
18,2011-033,juwang,2,0.1550590664317899
19,2011-033,juwang,3,0.1830711464296573
20,2011-041,juwang,0,0.2004981904777838
21,2011-041,juwang,1,0.215059616977049
22,2011-041,juwang,2,0.1811640725184595
23,2011-041,juwang,3,0.1993119795539475
24,2011-049,juwang,0,0.2115485325980134
25,2011-049,juwang,1,0.2253626746497221
26,2011-049,juwang,2,0.1809549645180253
27,2011-049,juwang,3,0.2088239853709697
28,2011-057,juwang,0,0.2271332126987707
29,2011-057,juwang,1,0.2339891430559922
30,2011-057,juwang,2,0.1977502602189202
31,2011-057,juwang,3,0.2220737140128354
32,2011-065,juwang,0,0.2413062223878561
33,2011-065,juwang,1,0.2514542001822957
34,2011-065,juwang,2,0.2195249667211737
35,2011-065,juwang,3,0.2377857597181755
36,2011-073,juwang,0,0.1980964351768769
37,2011-073,juwang,1,0.2136551734054976
38,2011-073,juwang,2,0.1783352171949047
39,2011-073,juwang,3,0.1961687831373622
40,2011-081,juwang,0,0.1979074806897694
41,2011-081,juwang,1,0.2125522824948859
42,2011-081,juwang,2,0.1827657487036819
43,2011-081,juwang,3,0.1987857741458241
44,2011-089,juwang,0,0.2168083358240215
45,2011-089,juwang,1,0.2315226975723045
46,2011-089,juwang,2,0.1999356568088155
47,2011-089,juwang,3,0.2168260931438977
48,2011-097,juwang,0,0.2074042646578615
49,2011-097,juwang,1,0.2221202435690079
50,2011-097,juwang,2,0.1951416164005305
51,2011-097,juwang,3,0.210237272190695
52,2011-105,juwang,0,0.2124626386846869
53,2011-105,juwang,1,0.2270558989432486
54,2011-105,juwang,2,0.1984523401115185
55,2011-105,juwang,3,0.2132357260813938
56,2011-113,juwang,0,0.2803433011348859
57,2011-113,juwang,1,0.2849083718402481
58,2011-113,juwang,2,0.259873019327779
59,2011-113,juwang,3,0.2759804022261052
60,2011-121,juwang,0,0.4346988100148514
61,2011-121,juwang,1,0.4290295498864721
62,2011-121,juwang,2,0.4324413343204599
63,2011-121,juwang,3,0.4335730395288952
64,2011-129,juwang,0,0.5595874785956739
65,2011-129,juwang,1,0.5638052485954353
66,2011-129,juwang,2,0.606132483232685
67,2011-129,juwang,3,0.5871537726649411
68,2011-137,juwang,0,0.4885430748008701
69,2011-137,juwang,1,0.5103877987701745
70,2011-137,juwang,2,0.5533912515794315
71,2011-137,juwang,3,0.5377643770890578
72,2011-145,juwang,0,0.5724198587001736
73,2011-145,juwang,1,0.5794055687921484
74,2011-145,juwang,2,0.6311237868298264
75,2011-145,juwang,3,0.6061249169307856
76,2011-153,juwang,0,0.5928386608258173
77,2011-153,juwang,1,0.5971749938786741
78,2011-153,juwang,2,0.6493191598672117
79,2011-153,juwang,3,0.6230749337595514
80,2011-161,juwang,0,0.6627516492602449
81,2011-161,juwang,1,0.6758966875944001
82,2011-161,juwang,2,0.7477318230246665
83,2011-161,juwang,3,0.7112549314787608
84,2011-169,juwang,0,0.5909377179515227
85,2011-169,juwang,1,0.6023916858573001
86,2011-169,juwang,2,0.6579656216972711
87,2011-169,juwang,3,0.6279492482809279
88,2011-177,juwang,0,0.6537285777614773
89,2011-177,juwang,1,0.6658148971272182
90,2011-177,juwang,2,0.7257975323149933
91,2011-177,juwang,3,0.694612075746825
92,2011-185,juwang,0,0.4630912580505898
93,2011-185,juwang,1,0.5027288843768968
94,2011-185,juwang,2,0.5099196524546347
95,2011-185,juwang,3,0.4978341158428004
96,2011-193,juwang,0,0.6171354038641016
97,2011-193,juwang,1,0.6156384828644378
98,2011-193,juwang,2,0.6393395251957387
99,2011-193,juwang,3,0.6397726814203977
100,2011-201,juwang,0,0.6085728908324374
101,2011-201,juwang,1,0.6177051325134433
102,2011-201,juwang,2,0.6748369962154303
103,2011-201,juwang,3,0.6465840354039691
104,2011-209,juwang,0,0.4384829725723413
105,2011-209,juwang,1,0.4659422714788606
106,2011-209,juwang,2,0.4782806153284558
107,2011-209,juwang,3,0.4764182093889205
108,2011-217,juwang,0,0.5237726619570903
109,2011-217,juwang,1,0.5226319507278767
110,2011-217,juwang,2,0.5272571031866902
111,2011-217,juwang,3,0.5343249141024459
112,2011-225,juwang,0,0.2674790392139979
113,2011-225,juwang,1,0.2810236404723201
114,2011-225,juwang,2,0.2968343756337523
115,2011-225,juwang,3,0.2845003312282604
116,2011-233,juwang,0,0.53141775625454
117,2011-233,juwang,1,0.5338707225819518
118,2011-233,juwang,2,0.5424796697585419
119,2011-233,juwang,3,0.5495672224747347
120,2011-241,juwang,0,0.6042765677783875
121,2011-241,juwang,1,0.6064999198272224
122,2011-241,juwang,2,0.6461042630248595
123,2011-241,juwang,3,0.6281337360067702
