,date,code,class,avg
0,2012-001,taebaek,0,0.1240861947168585
1,2012-001,taebaek,1,0.1289743641623197
2,2012-001,taebaek,2,0.1175178324420744
3,2012-001,taebaek,3,0.1267178214141355
4,2012-009,taebaek,0,0.1154950825345514
5,2012-009,taebaek,1,0.1270274874936398
6,2012-009,taebaek,2,0.1102773796006531
7,2012-009,taebaek,3,0.1238729153535865
8,2012-017,taebaek,0,0.0976212111028047
9,2012-017,taebaek,1,0.1110541452180726
10,2012-017,taebaek,2,0.1044743922711178
11,2012-017,taebaek,3,0.1072991082843048
12,2012-025,taebaek,0,0.1063296832911079
13,2012-025,taebaek,1,0.1171866311672793
14,2012-025,taebaek,2,0.1063113068730934
15,2012-025,taebaek,3,0.1178510747321811
16,2012-033,taebaek,0,0.106969468737509
17,2012-033,taebaek,1,0.1207996362026593
18,2012-033,taebaek,2,0.1072437806218338
19,2012-033,taebaek,3,0.1158912075865896
20,2012-041,taebaek,0,0.1114671817924937
21,2012-041,taebaek,1,0.13451533222107
22,2012-041,taebaek,2,0.1249754286801163
23,2012-041,taebaek,3,0.135437381960893
24,2012-049,taebaek,0,0.1345827534975883
25,2012-049,taebaek,1,0.1375568439318855
26,2012-049,taebaek,2,0.1265004483332489
27,2012-049,taebaek,3,0.1362411267162501
28,2012-057,taebaek,0,0.1192746388006308
29,2012-057,taebaek,1,0.137658088381424
30,2012-057,taebaek,2,0.1245294138070673
31,2012-057,taebaek,3,0.1277499319913003
32,2012-065,taebaek,0,0.1173768940203126
33,2012-065,taebaek,1,0.1228389226749094
34,2012-065,taebaek,2,0.1136803186332043
35,2012-065,taebaek,3,0.1166517233259772
36,2012-073,taebaek,0,0.1069083363821698
37,2012-073,taebaek,1,0.1220829602628002
38,2012-073,taebaek,2,0.1107292285052743
39,2012-073,taebaek,3,0.117115829675064
40,2012-081,taebaek,0,0.1197910393350299
41,2012-081,taebaek,1,0.129276828808133
42,2012-081,taebaek,2,0.1229000109669815
43,2012-081,taebaek,3,0.1257437064886736
44,2012-089,taebaek,0,0.1631335678037588
45,2012-089,taebaek,1,0.1639000011122577
46,2012-089,taebaek,2,0.1586971416827189
47,2012-089,taebaek,3,0.1610261878590729
48,2012-097,taebaek,0,0.1590479303377901
49,2012-097,taebaek,1,0.1696342287288001
50,2012-097,taebaek,2,0.1681932317693231
51,2012-097,taebaek,3,0.1671565854923334
52,2012-105,taebaek,0,0.1841683161836344
53,2012-105,taebaek,1,0.1847134442814505
54,2012-105,taebaek,2,0.1826697643130251
55,2012-105,taebaek,3,0.1901536730082639
56,2012-113,taebaek,0,0.2458941146140258
57,2012-113,taebaek,1,0.250141604562107
58,2012-113,taebaek,2,0.2341824590687177
59,2012-113,taebaek,3,0.2500274546097772
60,2012-121,taebaek,0,0.2647749681402012
61,2012-121,taebaek,1,0.2785840162863248
62,2012-121,taebaek,2,0.254379127585317
63,2012-121,taebaek,3,0.2516259669334289
64,2012-129,taebaek,0,0.4528989308211428
65,2012-129,taebaek,1,0.5063913506654887
66,2012-129,taebaek,2,0.501812750649168
67,2012-129,taebaek,3,0.4541250863479364
68,2012-137,taebaek,0,0.5222482066876102
69,2012-137,taebaek,1,0.5274596727407375
70,2012-137,taebaek,2,0.5559443882318855
71,2012-137,taebaek,3,0.5149119818619703
72,2012-145,taebaek,0,0.669115050624247
73,2012-145,taebaek,1,0.6587916900646348
74,2012-145,taebaek,2,0.7181629288010243
75,2012-145,taebaek,3,0.6737876625754716
76,2012-153,taebaek,0,0.733372247413927
77,2012-153,taebaek,1,0.6559417186829133
78,2012-153,taebaek,2,0.707812560639328
79,2012-153,taebaek,3,0.7028309459301093
80,2012-161,taebaek,0,0.6504163715062825
81,2012-161,taebaek,1,0.6130486291138465
82,2012-161,taebaek,2,0.670315581486192
83,2012-161,taebaek,3,0.651189802459694
84,2012-169,taebaek,0,0.6219937872839553
85,2012-169,taebaek,1,0.6036884994375035
86,2012-169,taebaek,2,0.6495101640880039
87,2012-169,taebaek,3,0.656379799602241
88,2012-177,taebaek,0,0.5516018407160664
89,2012-177,taebaek,1,0.5160091797848703
90,2012-177,taebaek,2,0.5619061570670619
91,2012-177,taebaek,3,0.5475095655407848
92,2012-185,taebaek,0,0.614538733165386
93,2012-185,taebaek,1,0.5657234689437025
94,2012-185,taebaek,2,0.618825118761285
95,2012-185,taebaek,3,0.6041441309561133
96,2012-193,taebaek,0,0.5611960103260571
97,2012-193,taebaek,1,0.5222946461914938
98,2012-193,taebaek,2,0.5652934915263875
99,2012-193,taebaek,3,0.5500291015767368
100,2012-201,taebaek,0,0.5758464525500314
101,2012-201,taebaek,1,0.5235938208246989
102,2012-201,taebaek,2,0.5655175355283181
103,2012-201,taebaek,3,0.5671130276160633
104,2012-209,taebaek,0,0.5762903155121801
105,2012-209,taebaek,1,0.563874134547727
106,2012-209,taebaek,2,0.6113258062396143
107,2012-209,taebaek,3,0.5493232048205358
108,2012-217,taebaek,0,0.6291960613432279
109,2012-217,taebaek,1,0.5259605514715543
110,2012-217,taebaek,2,0.555240752426525
111,2012-217,taebaek,3,0.530718495853898
112,2012-225,taebaek,0,0.3406282792778451
113,2012-225,taebaek,1,0.3841063882199042
114,2012-225,taebaek,2,0.4132588968055168
115,2012-225,taebaek,3,0.4846497561264655
116,2012-233,taebaek,0,0.390684506505183
117,2012-233,taebaek,1,0.4318720591281729
118,2012-233,taebaek,2,0.4092629819857695
119,2012-233,taebaek,3,0.3903172504824229
120,2012-241,taebaek,0,0.5987119919864125
121,2012-241,taebaek,1,0.5629205960787572
122,2012-241,taebaek,2,0.5937655208750041
123,2012-241,taebaek,3,0.5851946842121497
124,2012-249,taebaek,0,0.5955816194415892
125,2012-249,taebaek,1,0.5487026826146458
126,2012-249,taebaek,2,0.5858034086832948
127,2012-249,taebaek,3,0.5722081058068778
128,2012-257,taebaek,0,0.5047095908354229
129,2012-257,taebaek,1,0.4572318160371209
130,2012-257,taebaek,2,0.4865642351535201
131,2012-257,taebaek,3,0.4816481525862854
132,2012-265,taebaek,0,0.5079438954508
133,2012-265,taebaek,1,0.4668714046967036
134,2012-265,taebaek,2,0.489187933342565
135,2012-265,taebaek,3,0.4790981920574426
136,2012-273,taebaek,0,0.4476229908139543
137,2012-273,taebaek,1,0.4443170409453635
138,2012-273,taebaek,2,0.4670830734048646
139,2012-273,taebaek,3,0.4314152282597853
140,2012-281,taebaek,0,0.3132189848448129
141,2012-281,taebaek,1,0.3212301553125899
142,2012-281,taebaek,2,0.3029598953396395
143,2012-281,taebaek,3,0.2785890927559594
144,2012-289,taebaek,0,0.2724576770719915
145,2012-289,taebaek,1,0.2920984499065255
146,2012-289,taebaek,2,0.2670165830818703
147,2012-289,taebaek,3,0.2496383562432424
148,2012-297,taebaek,0,0.2221966570697712
149,2012-297,taebaek,1,0.2194150991606489
150,2012-297,taebaek,2,0.1950444888616207
151,2012-297,taebaek,3,0.1994306895369328
152,2012-305,taebaek,0,0.1967465342467385
153,2012-305,taebaek,1,0.1903318794992695
154,2012-305,taebaek,2,0.1796115445337012
155,2012-305,taebaek,3,0.1790870428426223
156,2012-313,taebaek,0,0.2000648823989883
157,2012-313,taebaek,1,0.1791279613866875
158,2012-313,taebaek,2,0.1682862671388666
159,2012-313,taebaek,3,0.1763495245932942
160,2012-321,taebaek,0,0.1982862264914858
161,2012-321,taebaek,1,0.1852659985737945
162,2012-321,taebaek,2,0.1744696481007957
163,2012-321,taebaek,3,0.192179341251878
164,2012-329,taebaek,0,0.1752285430088778
165,2012-329,taebaek,1,0.1647296435657885
166,2012-329,taebaek,2,0.1556631345371115
167,2012-329,taebaek,3,0.1648561548918677
168,2012-337,taebaek,0,0.1430760210424193
169,2012-337,taebaek,1,0.1549607499549
