,date,code,class,avg
0,2015-001,odae,0,0.1370597027934245
1,2015-001,odae,1,0.1729978466733617
2,2015-001,odae,2,0.139225423973391
3,2015-001,odae,3,0.1521026787542381
4,2015-009,odae,0,0.1411346257009585
5,2015-009,odae,1,0.1776231879382023
6,2015-009,odae,2,0.1346573728162582
7,2015-009,odae,3,0.1434299454784316
8,2015-017,odae,0,0.0996997839521857
9,2015-017,odae,1,0.1585716252662572
10,2015-017,odae,2,0.1269324033950071
11,2015-017,odae,3,0.140402362553808
12,2015-025,odae,0,0.0946306491355618
13,2015-025,odae,1,0.1884196049738309
14,2015-025,odae,2,0.146418058440797
15,2015-025,odae,3,0.1539900555504748
16,2015-033,odae,0,0.0903707558680028
17,2015-033,odae,1,0.1863216246987875
18,2015-033,odae,2,0.1525583869615941
19,2015-033,odae,3,0.1690465594845337
20,2015-041,odae,0,0.0876408557726841
21,2015-041,odae,1,0.1865331330013675
22,2015-041,odae,2,0.1498006518373061
23,2015-041,odae,3,0.1569170238862388
24,2015-049,odae,0,0.0755766060051559
25,2015-049,odae,1,0.1641583393980794
26,2015-049,odae,2,0.1311681385547602
27,2015-049,odae,3,0.1425682638557613
28,2015-057,odae,0,0.1108569510017985
29,2015-057,odae,1,0.179408239295936
30,2015-057,odae,2,0.1462951707314548
31,2015-057,odae,3,0.1545613300691526
32,2015-065,odae,0,0.1348495626930127
33,2015-065,odae,1,0.1672701180357693
34,2015-065,odae,2,0.1353050650314648
35,2015-065,odae,3,0.1430367416270427
36,2015-073,odae,0,0.1611013837075774
37,2015-073,odae,1,0.191981663944312
38,2015-073,odae,2,0.1649193710252706
39,2015-073,odae,3,0.1725658388968746
40,2015-081,odae,0,0.1674040359142009
41,2015-081,odae,1,0.191435209218947
42,2015-081,odae,2,0.1634760849218071
43,2015-081,odae,3,0.1700678733737882
44,2015-089,odae,0,0.184294077751264
45,2015-089,odae,1,0.2091437939650241
46,2015-089,odae,2,0.1835482750925562
47,2015-089,odae,3,0.1900979803650163
48,2015-097,odae,0,0.1906123849690069
49,2015-097,odae,1,0.2126576676882413
50,2015-097,odae,2,0.1899959600809269
51,2015-097,odae,3,0.1984842284053842
52,2015-105,odae,0,0.212391559822424
53,2015-105,odae,1,0.2528779210120066
54,2015-105,odae,2,0.2058816987243121
55,2015-105,odae,3,0.2130609378940283
56,2015-113,odae,0,0.2146893465661641
57,2015-113,odae,1,0.2511447241305025
58,2015-113,odae,2,0.2162750081840679
59,2015-113,odae,3,0.2194523736042369
60,2015-121,odae,0,0.3490522341959381
61,2015-121,odae,1,0.4432859555624756
62,2015-121,odae,2,0.4095569976932455
63,2015-121,odae,3,0.3927210486694552
64,2015-129,odae,0,0.5449801091377522
65,2015-129,odae,1,0.5381236685575033
66,2015-129,odae,2,0.5846483583670599
67,2015-129,odae,3,0.5646582837459443
68,2015-137,odae,0,0.5859157035665733
69,2015-137,odae,1,0.591671554025485
70,2015-137,odae,2,0.6694730459355728
71,2015-137,odae,3,0.647229772499031
72,2015-145,odae,0,0.6270100002182234
73,2015-145,odae,1,0.6305552263451146
74,2015-145,odae,2,0.699779043588483
75,2015-145,odae,3,0.6799822168595155
76,2015-153,odae,0,0.611274266644004
