,date,code,class,avg
0,2016-001,wolchul,0,0.2227843818176627
1,2016-001,wolchul,1,0.2765934072787067
2,2016-001,wolchul,2,0.2217847023693966
3,2016-001,wolchul,3,0.2377137062575467
4,2016-009,wolchul,0,0.1938793667398868
5,2016-009,wolchul,1,0.2631899869435958
6,2016-009,wolchul,2,0.2047376586844553
7,2016-009,wolchul,3,0.2094363915124525
8,2016-017,wolchul,0,0.0795356415563142
9,2016-017,wolchul,1,0.1147115678469818
10,2016-017,wolchul,2,0.0883488497599559
11,2016-017,wolchul,3,0.0933068872783109
12,2016-025,wolchul,0,0.2034207782369324
13,2016-025,wolchul,1,0.2424918759293361
14,2016-025,wolchul,2,0.2030621712750276
15,2016-025,wolchul,3,0.2223303488854052
16,2016-033,wolchul,0,0.2052987045467779
17,2016-033,wolchul,1,0.2581797670350039
18,2016-033,wolchul,2,0.2045998682007613
19,2016-033,wolchul,3,0.2242881318999953
20,2016-041,wolchul,0,0.1952768165521968
21,2016-041,wolchul,1,0.2404313472867946
22,2016-041,wolchul,2,0.1839155704537134
23,2016-041,wolchul,3,0.2165513584716066
24,2016-049,wolchul,0,0.2240741806330807
25,2016-049,wolchul,1,0.2626732837741
26,2016-049,wolchul,2,0.2255925018430507
27,2016-049,wolchul,3,0.2395229933416457
28,2016-057,wolchul,0,0.2079307972173008
29,2016-057,wolchul,1,0.2361260649518742
30,2016-057,wolchul,2,0.1958530329653998
31,2016-057,wolchul,3,0.2212722369240532
32,2016-065,wolchul,0,0.2167267078516577
33,2016-065,wolchul,1,0.2521526650523643
34,2016-065,wolchul,2,0.2167325372062329
35,2016-065,wolchul,3,0.229229013537339
36,2016-073,wolchul,0,0.1967624741866967
37,2016-073,wolchul,1,0.2512836421528845
38,2016-073,wolchul,2,0.1977921852102489
39,2016-073,wolchul,3,0.2152255185140593
40,2016-081,wolchul,0,0.2041613616797523
41,2016-081,wolchul,1,0.2404336533891616
42,2016-081,wolchul,2,0.2013540422866618
43,2016-081,wolchul,3,0.2265947800395361
44,2016-089,wolchul,0,0.2477710867219772
45,2016-089,wolchul,1,0.2925784171063809
46,2016-089,wolchul,2,0.2444785160179641
47,2016-089,wolchul,3,0.2649932021120724
48,2016-097,wolchul,0,0.2942948739671362
49,2016-097,wolchul,1,0.3486890349099779
50,2016-097,wolchul,2,0.3103392091565843
51,2016-097,wolchul,3,0.3156567557248504
52,2016-105,wolchul,0,0.2990522298773606
53,2016-105,wolchul,1,0.3743844118113204
54,2016-105,wolchul,2,0.33138724170636
55,2016-105,wolchul,3,0.3349438000015313
56,2016-113,wolchul,0,0.4773409516869126
57,2016-113,wolchul,1,0.5234105104333042
58,2016-113,wolchul,2,0.5539372073924631
59,2016-113,wolchul,3,0.5078886205432175
60,2016-121,wolchul,0,0.4399788905625346
61,2016-121,wolchul,1,0.521069318420296
62,2016-121,wolchul,2,0.5078005676317291
63,2016-121,wolchul,3,0.4679502283513893
64,2016-129,wolchul,0,0.525646883604396
65,2016-129,wolchul,1,0.5614640058620785
66,2016-129,wolchul,2,0.6113662447512066
67,2016-129,wolchul,3,0.542403890411915
68,2016-137,wolchul,0,0.5465047684868882
69,2016-137,wolchul,1,0.5583303680074264
70,2016-137,wolchul,2,0.6190697661158856
71,2016-137,wolchul,3,0.5668013108968828
72,2016-145,wolchul,0,0.5340482888472872
73,2016-145,wolchul,1,0.5578758184221696
74,2016-145,wolchul,2,0.6391395890291279
75,2016-145,wolchul,3,0.541992078630144
76,2016-153,wolchul,0,0.4808290979283023
77,2016-153,wolchul,1,0.5008062002035384
78,2016-153,wolchul,2,0.5450696806678729
79,2016-153,wolchul,3,0.4928339950489531
80,2016-161,wolchul,0,0.4960363311239584
81,2016-161,wolchul,1,0.508348779012823
82,2016-161,wolchul,2,0.5611068469296151
83,2016-161,wolchul,3,0.5032516788344501
84,2016-169,wolchul,0,0.4977338552389917
85,2016-169,wolchul,1,0.5185038221101202
86,2016-169,wolchul,2,0.5636616744242843
87,2016-169,wolchul,3,0.5139077121301491
88,2016-177,wolchul,0,0.5037415463395858
89,2016-177,wolchul,1,0.5264409092576087
90,2016-177,wolchul,2,0.5740354554694
91,2016-177,wolchul,3,0.5221766078145558
92,2016-185,wolchul,0,0.6061540449844703
93,2016-185,wolchul,1,0.6192883767453512
94,2016-185,wolchul,2,0.6637741596125539
95,2016-185,wolchul,3,0.6221518627085265
96,2016-193,wolchul,0,0.5249128695191021
97,2016-193,wolchul,1,0.5577084002859568
98,2016-193,wolchul,2,0.5720732987146167
99,2016-193,wolchul,3,0.5456111723985226
100,2016-201,wolchul,0,0.5991091255372556
101,2016-201,wolchul,1,0.6342344071698959
102,2016-201,wolchul,2,0.6744543340033734
103,2016-201,wolchul,3,0.6147164357911181
104,2016-209,wolchul,0,0.4840574078647928
105,2016-209,wolchul,1,0.5259888430641683
106,2016-209,wolchul,2,0.530834142621713
107,2016-209,wolchul,3,0.5125961168510214
108,2016-217,wolchul,0,0.4796252655158206
109,2016-217,wolchul,1,0.514851676627141
110,2016-217,wolchul,2,0.5315008858566694
111,2016-217,wolchul,3,0.502750979229627
112,2016-225,wolchul,0,0.4679828253385503
113,2016-225,wolchul,1,0.5009512254191811
114,2016-225,wolchul,2,0.5195139662903847
115,2016-225,wolchul,3,0.4838138434543383
116,2016-233,wolchul,0,0.5278410360121558
117,2016-233,wolchul,1,0.5219017708719768
118,2016-233,wolchul,2,0.5677374693192341
119,2016-233,wolchul,3,0.5343868263011393
120,2016-241,wolchul,0,0.4295788702284486
121,2016-241,wolchul,1,0.450660568736847
122,2016-241,wolchul,2,0.4729654286106437
123,2016-241,wolchul,3,0.4389138144440012
124,2016-249,wolchul,0,0.5177761210534594
125,2016-249,wolchul,1,0.5526353385905405
126,2016-249,wolchul,2,0.5611154587441948
127,2016-249,wolchul,3,0.5296526689841807
128,2016-257,wolchul,0,0.4785297959789203
129,2016-257,wolchul,1,0.5256991140557563
130,2016-257,wolchul,2,0.5354135606217569
131,2016-257,wolchul,3,0.501740309329816
132,2016-265,wolchul,0,0.4853355402047218
133,2016-265,wolchul,1,0.5326993304851668
134,2016-265,wolchul,2,0.5273001558060046
135,2016-265,wolchul,3,0.4982520413632901
136,2016-273,wolchul,0,0.3785619349045981
137,2016-273,wolchul,1,0.435560655955882
138,2016-273,wolchul,2,0.4311036787733698
139,2016-273,wolchul,3,0.3996104937167466
140,2016-281,wolchul,0,0.3562937832791494
141,2016-281,wolchul,1,0.3794147593571899
142,2016-281,wolchul,2,0.3681094752804763
143,2016-281,wolchul,3,0.3803637246215872
144,2016-289,wolchul,0,0.3012679458243756
145,2016-289,wolchul,1,0.3621222356834352
146,2016-289,wolchul,2,0.3267137108980187
147,2016-289,wolchul,3,0.3207120969012153
148,2016-297,wolchul,0,0.3211858409240796
149,2016-297,wolchul,1,0.3800085966297181
150,2016-297,wolchul,2,0.348300333523704
151,2016-297,wolchul,3,0.3450457189880619
152,2016-305,wolchul,0,0.2581018020906442
153,2016-305,wolchul,1,0.3247138282653104
154,2016-305,wolchul,2,0.2784619690424768
155,2016-305,wolchul,3,0.2789522703018485
156,2016-313,wolchul,0,0.219752139822041
157,2016-313,wolchul,1,0.2884215847960876
158,2016-313,wolchul,2,0.2203713373354987
159,2016-313,wolchul,3,0.2472510486319727
160,2016-321,wolchul,0,0.2456187979617301
161,2016-321,wolchul,1,0.3047664306653672
162,2016-321,wolchul,2,0.2517511964572035
163,2016-321,wolchul,3,0.2680582952905297
164,2016-329,wolchul,0,0.2019367497674047
165,2016-329,wolchul,1,0.2755889503340749
166,2016-329,wolchul,2,0.2006998024718323
167,2016-329,wolchul,3,0.2295417262259273
168,2016-337,wolchul,0,0.2325477964258224
169,2016-337,wolchul,1,0.3081264070042958
170,2016-337,wolchul,2,0.2463168032983859
171,2016-337,wolchul,3,0.2511188516104005
172,2016-345,wolchul,0,0.1842169433043787
173,2016-345,wolchul,1,0.2560277489276483
174,2016-345,wolchul,2,0.184685388857499
175,2016-345,wolchul,3,0.2084876175774727
176,2016-353,wolchul,0,0.1824227986649159
177,2016-353,wolchul,1,0.248831409530655
178,2016-353,wolchul,2,0.1783035547192718
179,2016-353,wolchul,3,0.1993424649743952
180,2016-361,wolchul,0,0.19244415255218
181,2016-361,wolchul,1,0.2626277992838733
