,date,code,class,avg
0,2017-001,bukhan,0,0.1670874819681936
1,2017-001,bukhan,1,0.1832221073293855
2,2017-001,bukhan,2,0.1668575415841025
3,2017-001,bukhan,3,0.1802606346114371
4,2017-009,bukhan,0,0.1675125193602961
5,2017-009,bukhan,1,0.1854900237553965
6,2017-009,bukhan,2,0.1616138675120009
7,2017-009,bukhan,3,0.1743800823316993
8,2017-017,bukhan,0,0.1495493952110396
9,2017-017,bukhan,1,0.1669386680331948
10,2017-017,bukhan,2,0.1521816381392083
11,2017-017,bukhan,3,0.162528485571604
12,2017-025,bukhan,0,0.1640849872842655
13,2017-025,bukhan,1,0.1818565985147062
14,2017-025,bukhan,2,0.156419437095507
15,2017-025,bukhan,3,0.1696239319336021
16,2017-033,bukhan,0,0.1589515458016383
17,2017-033,bukhan,1,0.1799412662319079
18,2017-033,bukhan,2,0.1616132881535275
19,2017-033,bukhan,3,0.1737509180615516
20,2017-041,bukhan,0,0.1795574401914391
21,2017-041,bukhan,1,0.1974285765023221
22,2017-041,bukhan,2,0.1742465140662184
23,2017-041,bukhan,3,0.1883487783172414
24,2017-049,bukhan,0,0.1712869622391772
25,2017-049,bukhan,1,0.1827815299659426
26,2017-049,bukhan,2,0.1636136593336425
27,2017-049,bukhan,3,0.1768609410315588
28,2017-057,bukhan,0,0.1700334055266367
29,2017-057,bukhan,1,0.1882935189379129
30,2017-057,bukhan,2,0.166132132966522
31,2017-057,bukhan,3,0.1771479600522729
32,2017-065,bukhan,0,0.1678499886272896
33,2017-065,bukhan,1,0.1788789834601559
34,2017-065,bukhan,2,0.1665532594201715
35,2017-065,bukhan,3,0.1763233158994057
36,2017-073,bukhan,0,0.1707533251319752
37,2017-073,bukhan,1,0.1853345151554805
38,2017-073,bukhan,2,0.166807799911472
39,2017-073,bukhan,3,0.1759216170827621
40,2017-081,bukhan,0,0.1726153295063543
41,2017-081,bukhan,1,0.1887720447910643
42,2017-081,bukhan,2,0.1736869438638355
43,2017-081,bukhan,3,0.182181537159238
44,2017-089,bukhan,0,0.2007144558381078
45,2017-089,bukhan,1,0.2158007886000119
46,2017-089,bukhan,2,0.204963652991814
47,2017-089,bukhan,3,0.2118717990854152
48,2017-097,bukhan,0,0.1903340843282339
49,2017-097,bukhan,1,0.211998095659294
50,2017-097,bukhan,2,0.2098441809610464
51,2017-097,bukhan,3,0.2138982882211335
52,2017-105,bukhan,0,0.3694246817047155
53,2017-105,bukhan,1,0.3950466941683675
54,2017-105,bukhan,2,0.4144638986983335
55,2017-105,bukhan,3,0.4112935681213777
56,2017-113,bukhan,0,0.4654381277670465
57,2017-113,bukhan,1,0.4697052600596353
58,2017-113,bukhan,2,0.5089094004195578
59,2017-113,bukhan,3,0.4919098093642159
60,2017-121,bukhan,0,0.3987197145781939
61,2017-121,bukhan,1,0.4211999803918421
62,2017-121,bukhan,2,0.4445091329845371
63,2017-121,bukhan,3,0.437654169500133
64,2017-129,bukhan,0,0.4762411800821728
65,2017-129,bukhan,1,0.4781035641717925
66,2017-129,bukhan,2,0.5225398308922982
67,2017-129,bukhan,3,0.5033851368757857
68,2017-137,bukhan,0,0.5020391699561568
69,2017-137,bukhan,1,0.5121305837791308
70,2017-137,bukhan,2,0.5420134653112579
71,2017-137,bukhan,3,0.5270582807667196
72,2017-145,bukhan,0,0.4915705966634238
73,2017-145,bukhan,1,0.4930000658388373
74,2017-145,bukhan,2,0.5332323414746646
75,2017-145,bukhan,3,0.5054118423855111
76,2017-153,bukhan,0,0.500215731199244
77,2017-153,bukhan,1,0.5063535696178773
78,2017-153,bukhan,2,0.5408073485859365
79,2017-153,bukhan,3,0.522789197668438
80,2017-161,bukhan,0,0.5064058292375923
81,2017-161,bukhan,1,0.5068707512433296
82,2017-161,bukhan,2,0.5369131307831511
83,2017-161,bukhan,3,0.5271255157126233
84,2017-169,bukhan,0,0.4745078438844764
85,2017-169,bukhan,1,0.4832167652826627
86,2017-169,bukhan,2,0.513410112338478
87,2017-169,bukhan,3,0.4975260109778985
88,2017-177,bukhan,0,0.346964261950457
89,2017-177,bukhan,1,0.3566966876117988
90,2017-177,bukhan,2,0.357521608673764
91,2017-177,bukhan,3,0.3549555712019187
92,2017-185,bukhan,0,0.3330185164548327
93,2017-185,bukhan,1,0.3462133628700237
94,2017-185,bukhan,2,0.4141813362701155
95,2017-185,bukhan,3,0.3795676860676319
96,2017-193,bukhan,0,0.4920056595279524
97,2017-193,bukhan,1,0.5011487694623085
98,2017-193,bukhan,2,0.5321290568976977
99,2017-193,bukhan,3,0.5188519218464406
100,2017-201,bukhan,0,0.3518769866029769
101,2017-201,bukhan,1,0.3597165691322775
102,2017-201,bukhan,2,0.4046393854513668
103,2017-201,bukhan,3,0.3794312869428854
104,2017-209,bukhan,0,0.4156849289492774
105,2017-209,bukhan,1,0.431373629486006
106,2017-209,bukhan,2,0.4448631201736851
107,2017-209,bukhan,3,0.4450787044036731
108,2017-217,bukhan,0,0.3769143093985621
109,2017-217,bukhan,1,0.3889870927237141
110,2017-217,bukhan,2,0.4335198234685332
111,2017-217,bukhan,3,0.4135807316630478
112,2017-225,bukhan,0,0.3206488329420315
113,2017-225,bukhan,1,0.3163395813759976
114,2017-225,bukhan,2,0.3610589092531536
115,2017-225,bukhan,3,0.329269967472783
116,2017-233,bukhan,0,0.3942408824649767
117,2017-233,bukhan,1,0.409986399701727
118,2017-233,bukhan,2,0.4171244138017421
119,2017-233,bukhan,3,0.4128165804386247
120,2017-241,bukhan,0,0.3865699015383342
121,2017-241,bukhan,1,0.4010455769070308
122,2017-241,bukhan,2,0.4196680541751794
123,2017-241,bukhan,3,0.4118114511494615
124,2017-249,bukhan,0,0.4341998410018337
125,2017-249,bukhan,1,0.4430143488237505
126,2017-249,bukhan,2,0.4565887802758496
127,2017-249,bukhan,3,0.450159071388174
128,2017-257,bukhan,0,0.3907398056926865
129,2017-257,bukhan,1,0.4069940880903092
130,2017-257,bukhan,2,0.4243878962900516
131,2017-257,bukhan,3,0.4173053466765579
132,2017-265,bukhan,0,0.3935881356440953
133,2017-265,bukhan,1,0.4131892231791207
134,2017-265,bukhan,2,0.4223143993720227
135,2017-265,bukhan,3,0.4191581060784413
136,2017-273,bukhan,0,0.3660942378936777
137,2017-273,bukhan,1,0.3906938441037346
138,2017-273,bukhan,2,0.4063736545267179
139,2017-273,bukhan,3,0.4022696118308601
140,2017-281,bukhan,0,0.3365697891720648
141,2017-281,bukhan,1,0.3591866059001732
142,2017-281,bukhan,2,0.3622719634337133
143,2017-281,bukhan,3,0.3585339916392383
144,2017-289,bukhan,0,0.2994394644232833
145,2017-289,bukhan,1,0.3249536472844989
146,2017-289,bukhan,2,0.3303408399492627
147,2017-289,bukhan,3,0.3326923823021561
148,2017-297,bukhan,0,0.2653279578304283
149,2017-297,bukhan,1,0.2976209724475231
150,2017-297,bukhan,2,0.2830924761067023
151,2017-297,bukhan,3,0.2910633486033545
152,2017-305,bukhan,0,0.1884359747356559
153,2017-305,bukhan,1,0.2108434604964739
154,2017-305,bukhan,2,0.1945185934189605
155,2017-305,bukhan,3,0.2076318844331022
156,2017-313,bukhan,0,0.1852312239151391
157,2017-313,bukhan,1,0.2068521412622928
158,2017-313,bukhan,2,0.1778425736574066
159,2017-313,bukhan,3,0.1907041277938196
160,2017-321,bukhan,0,0.1774168899622116
161,2017-321,bukhan,1,0.1987806239170593
162,2017-321,bukhan,2,0.17921168566598
163,2017-321,bukhan,3,0.1917942421061073
164,2017-329,bukhan,0,0.2036405904743978
165,2017-329,bukhan,1,0.2244841755123415
166,2017-329,bukhan,2,0.1937412025072143
167,2017-329,bukhan,3,0.2108666126905544
168,2017-337,bukhan,0,0.1756217188942652
169,2017-337,bukhan,1,0.1933214354591674
170,2017-337,bukhan,2,0.1755699180842384
171,2017-337,bukhan,3,0.1892682199278165
172,2017-345,bukhan,0,0.1854305450192643
173,2017-345,bukhan,1,0.2074348777301704
174,2017-345,bukhan,2,0.177904724390354
175,2017-345,bukhan,3,0.1944593529843328
176,2017-353,bukhan,0,0.1546434603516629
177,2017-353,bukhan,1,0.180853397298869
178,2017-353,bukhan,2,0.1593748375407785
179,2017-353,bukhan,3,0.1712661037735557
180,2017-361,bukhan,0,0.1844296787190367
181,2017-361,bukhan,1,0.1986418746290389
182,2017-361,bukhan,2,0.1757068590317172
183,2017-361,bukhan,3,0.1896899566444719
