,date,code,class,avg
0,2018-001,chiak,0,0.1721967571843915
1,2018-001,chiak,1,0.1999367288813457
2,2018-001,chiak,2,0.1532249069250289
3,2018-001,chiak,3,0.1864560796450442
4,2018-009,chiak,0,0.1523968474465825
5,2018-009,chiak,1,0.1852479192186055
6,2018-009,chiak,2,0.1462856150726108
7,2018-009,chiak,3,0.1724750045698352
8,2018-017,chiak,0,0.1529263043744145
9,2018-017,chiak,1,0.1696679299584347
10,2018-017,chiak,2,0.1321158026918907
11,2018-017,chiak,3,0.1541743884276576
12,2018-025,chiak,0,0.1742803349738033
13,2018-025,chiak,1,0.1948905524200015
14,2018-025,chiak,2,0.1598577094869078
15,2018-025,chiak,3,0.1810036613815723
16,2018-033,chiak,0,0.1454184371468892
17,2018-033,chiak,1,0.1750945710070765
18,2018-033,chiak,2,0.1449346832277765
19,2018-033,chiak,3,0.1653361117692297
20,2018-041,chiak,0,0.1904225771675322
21,2018-041,chiak,1,0.2078327775203557
22,2018-041,chiak,2,0.1770038731498538
23,2018-041,chiak,3,0.1987462592285988
24,2018-049,chiak,0,0.157612819844316
25,2018-049,chiak,1,0.1747020530418242
26,2018-049,chiak,2,0.138517465564572
27,2018-049,chiak,3,0.1577186277901867
28,2018-057,chiak,0,0.1537125505857207
29,2018-057,chiak,1,0.1802307039436084
30,2018-057,chiak,2,0.1438874946690001
31,2018-057,chiak,3,0.1716479454011364
32,2018-065,chiak,0,0.2104991909212524
33,2018-065,chiak,1,0.2222893939371515
34,2018-065,chiak,2,0.1977730251835663
35,2018-065,chiak,3,0.2159561450782618
36,2018-073,chiak,0,0.1758756879185721
37,2018-073,chiak,1,0.1980009904156195
38,2018-073,chiak,2,0.1696564427769558
39,2018-073,chiak,3,0.1855259289693815
40,2018-081,chiak,0,0.1814076976306288
41,2018-081,chiak,1,0.199590873496695
42,2018-081,chiak,2,0.1765693511742971
43,2018-081,chiak,3,0.1895363297209552
44,2018-089,chiak,0,0.2010427892189948
45,2018-089,chiak,1,0.2220610954558136
46,2018-089,chiak,2,0.1935687229188195
47,2018-089,chiak,3,0.2088409552869219
48,2018-097,chiak,0,0.2205489391003718
49,2018-097,chiak,1,0.2420715107480933
50,2018-097,chiak,2,0.2085540563797445
51,2018-097,chiak,3,0.227986896090841
52,2018-105,chiak,0,0.2160432867455213
53,2018-105,chiak,1,0.2497254119725497
54,2018-105,chiak,2,0.2183476716057941
55,2018-105,chiak,3,0.2485957540789364
56,2018-113,chiak,0,0.3130766594269628
57,2018-113,chiak,1,0.3530099788679816
58,2018-113,chiak,2,0.3088617211001229
59,2018-113,chiak,3,0.3629422021456688
60,2018-121,chiak,0,0.3824907924282094
61,2018-121,chiak,1,0.4448465407585538
62,2018-121,chiak,2,0.4164726098324888
63,2018-121,chiak,3,0.4721124786451648
64,2018-129,chiak,0,0.5393418144025849
65,2018-129,chiak,1,0.5742976715814309
66,2018-129,chiak,2,0.6230764735010182
67,2018-129,chiak,3,0.6110132636978244
68,2018-137,chiak,0,0.587482065071365
69,2018-137,chiak,1,0.5813602277468242
70,2018-137,chiak,2,0.6237130747411649
71,2018-137,chiak,3,0.6090871649018957
72,2018-145,chiak,0,0.569089716925012
73,2018-145,chiak,1,0.5769403523610419
74,2018-145,chiak,2,0.6334140919758549
75,2018-145,chiak,3,0.6094135148025592
76,2018-153,chiak,0,0.5380720614713326
77,2018-153,chiak,1,0.5380439624764529
78,2018-153,chiak,2,0.5836380650558485
79,2018-153,chiak,3,0.5631778092138968
80,2018-161,chiak,0,0.5625216649996482
81,2018-161,chiak,1,0.5464139128698768
82,2018-161,chiak,2,0.5977850805356199
83,2018-161,chiak,3,0.5709222904170098
84,2018-169,chiak,0,0.6225224541828311
85,2018-169,chiak,1,0.602483249232096
86,2018-169,chiak,2,0.6534450498630717
87,2018-169,chiak,3,0.6271246071361614
88,2018-177,chiak,0,0.5056250796098178
89,2018-177,chiak,1,0.508994853895125
90,2018-177,chiak,2,0.5306393764575768
91,2018-177,chiak,3,0.5084297392826581
92,2018-185,chiak,0,0.5929738955264694
93,2018-185,chiak,1,0.586856558649595
94,2018-185,chiak,2,0.6303028853852913
95,2018-185,chiak,3,0.6133495643645297
96,2018-193,chiak,0,0.6507335605293875
97,2018-193,chiak,1,0.6360242570974735
98,2018-193,chiak,2,0.689878086858742
99,2018-193,chiak,3,0.6658892311206611
100,2018-201,chiak,0,0.5672079927172001
101,2018-201,chiak,1,0.6026138404099222
102,2018-201,chiak,2,0.6665053786879885
103,2018-201,chiak,3,0.6476120273630445
104,2018-209,chiak,0,0.6092698452011357
105,2018-209,chiak,1,0.6133573609527682
106,2018-209,chiak,2,0.6501190638501437
107,2018-209,chiak,3,0.6232587528561
108,2018-217,chiak,0,0.5518092290263962
109,2018-217,chiak,1,0.5743050288159502
110,2018-217,chiak,2,0.6069432503967468
111,2018-217,chiak,3,0.6033265904149689
112,2018-225,chiak,0,0.5778497860343176
113,2018-225,chiak,1,0.6065800580061897
114,2018-225,chiak,2,0.6561740069466848
115,2018-225,chiak,3,0.643681976789254
116,2018-233,chiak,0,0.5313976103695276
117,2018-233,chiak,1,0.5341275602336412
118,2018-233,chiak,2,0.5697007727243312
119,2018-233,chiak,3,0.575331960779428
120,2018-241,chiak,0,0.5348970371318468
121,2018-241,chiak,1,0.550746533173666
122,2018-241,chiak,2,0.5795473216783333
123,2018-241,chiak,3,0.5733049511623928
124,2018-249,chiak,0,0.4333725857212294
125,2018-249,chiak,1,0.4502949156523059
126,2018-249,chiak,2,0.4471967805493534
127,2018-249,chiak,3,0.4490258026172063
128,2018-257,chiak,0,0.5212931072261128
129,2018-257,chiak,1,0.5298251756861753
130,2018-257,chiak,2,0.5479305161197656
