,date,code,class,avg
0,2018-001,hallyeo,0,0.2581645362124787
1,2018-001,hallyeo,1,0.2967144099021122
2,2018-001,hallyeo,2,0.2522514243315697
3,2018-001,hallyeo,3,0.279674535775632
4,2018-009,hallyeo,0,0.2496797285945737
5,2018-009,hallyeo,1,0.2877158397899789
6,2018-009,hallyeo,2,0.2420182742144937
7,2018-009,hallyeo,3,0.2685111114619492
8,2018-017,hallyeo,0,0.2375094935026014
9,2018-017,hallyeo,1,0.2767786433478935
10,2018-017,hallyeo,2,0.2301637173422761
11,2018-017,hallyeo,3,0.2579733166574937
12,2018-025,hallyeo,0,0.2472948756420064
13,2018-025,hallyeo,1,0.286941505691363
14,2018-025,hallyeo,2,0.2360051267603959
15,2018-025,hallyeo,3,0.2648054916996812
16,2018-033,hallyeo,0,0.2220792638297369
17,2018-033,hallyeo,1,0.2745856978197189
18,2018-033,hallyeo,2,0.2268437893263308
19,2018-033,hallyeo,3,0.252616763683525
20,2018-041,hallyeo,0,0.2226615618991205
21,2018-041,hallyeo,1,0.2590571646077436
22,2018-041,hallyeo,2,0.2211381998548681
23,2018-041,hallyeo,3,0.2441510411341388
24,2018-049,hallyeo,0,0.2098041555853109
25,2018-049,hallyeo,1,0.2317604095031319
26,2018-049,hallyeo,2,0.2111794853068498
27,2018-049,hallyeo,3,0.2224338504476045
28,2018-057,hallyeo,0,0.2450838789334494
29,2018-057,hallyeo,1,0.2822143046980646
30,2018-057,hallyeo,2,0.2388259046602593
31,2018-057,hallyeo,3,0.2648166318993696
32,2018-065,hallyeo,0,0.2441410372896946
33,2018-065,hallyeo,1,0.2828350722845476
34,2018-065,hallyeo,2,0.2484309437124501
35,2018-065,hallyeo,3,0.2687863396394861
36,2018-073,hallyeo,0,0.2522191896471298
37,2018-073,hallyeo,1,0.2910343955356591
38,2018-073,hallyeo,2,0.2473133439903446
39,2018-073,hallyeo,3,0.2738342388532405
40,2018-081,hallyeo,0,0.2382221736125074
41,2018-081,hallyeo,1,0.2738713174987503
42,2018-081,hallyeo,2,0.2414311117929322
43,2018-081,hallyeo,3,0.2639277861533782
44,2018-089,hallyeo,0,0.2860583581883035
45,2018-089,hallyeo,1,0.3140053494644361
46,2018-089,hallyeo,2,0.2883520857956729
47,2018-089,hallyeo,3,0.3007832448250686
48,2018-097,hallyeo,0,0.3639493427601704
49,2018-097,hallyeo,1,0.3914067949979691
50,2018-097,hallyeo,2,0.402235188344389
51,2018-097,hallyeo,3,0.3962443736042823
52,2018-105,hallyeo,0,0.4326192809447435
53,2018-105,hallyeo,1,0.4447135632914247
54,2018-105,hallyeo,2,0.4878599618762708
55,2018-105,hallyeo,3,0.4797279853005818
56,2018-113,hallyeo,0,0.4567627238667668
57,2018-113,hallyeo,1,0.4208905093286388
58,2018-113,hallyeo,2,0.481932096571246
59,2018-113,hallyeo,3,0.4716765886660153
60,2018-121,hallyeo,0,0.5022457109107089
61,2018-121,hallyeo,1,0.4973078096568944
62,2018-121,hallyeo,2,0.5539358611692118
63,2018-121,hallyeo,3,0.5376074675929784
64,2018-129,hallyeo,0,0.507609926948783
65,2018-129,hallyeo,1,0.4969024109056454
66,2018-129,hallyeo,2,0.5621554252778374
67,2018-129,hallyeo,3,0.5321165943450209
68,2018-137,hallyeo,0,0.5210072596650414
69,2018-137,hallyeo,1,0.5031225163457712
70,2018-137,hallyeo,2,0.5757267910099986
71,2018-137,hallyeo,3,0.5594452021703448
72,2018-145,hallyeo,0,0.5583037977475538
73,2018-145,hallyeo,1,0.5161663861940421
74,2018-145,hallyeo,2,0.5981561470853733
75,2018-145,hallyeo,3,0.5545471527819886
76,2018-153,hallyeo,0,0.503086407846394
77,2018-153,hallyeo,1,0.486515963934977
78,2018-153,hallyeo,2,0.5656474984974336
79,2018-153,hallyeo,3,0.5318102374532077
80,2018-161,hallyeo,0,0.4892485929026685
81,2018-161,hallyeo,1,0.4787947938183381
82,2018-161,hallyeo,2,0.5641156318542802
83,2018-161,hallyeo,3,0.5160561932356597
84,2018-169,hallyeo,0,0.4655921437243021
85,2018-169,hallyeo,1,0.4011493506856661
86,2018-169,hallyeo,2,0.5070735402349897
87,2018-169,hallyeo,3,0.4603489052248244
88,2018-177,hallyeo,0,0.295795423274795
89,2018-177,hallyeo,1,0.2928608753732564
90,2018-177,hallyeo,2,0.3623840827177931
91,2018-177,hallyeo,3,0.3384959584097897
92,2018-185,hallyeo,0,0.5747549324448079
93,2018-185,hallyeo,1,0.5229495230593314
94,2018-185,hallyeo,2,0.5832578962677926
95,2018-185,hallyeo,3,0.5627265910992114
96,2018-193,hallyeo,0,0.598364603506883
97,2018-193,hallyeo,1,0.5605868332512265
98,2018-193,hallyeo,2,0.61682827981413
99,2018-193,hallyeo,3,0.598408426964026
100,2018-201,hallyeo,0,0.5941310588304859
101,2018-201,hallyeo,1,0.5739148798788747
102,2018-201,hallyeo,2,0.6402020967765828
