,date,code,class,avg
0,2018-001,worak,0,0.2060842046017751
1,2018-001,worak,1,0.2048718777845748
2,2018-001,worak,2,0.1781175763561436
3,2018-001,worak,3,0.2076277306234571
4,2018-009,worak,0,0.1751425573128714
5,2018-009,worak,1,0.1790579977201611
6,2018-009,worak,2,0.1493634941027188
7,2018-009,worak,3,0.1796790376143419
8,2018-017,worak,0,0.1586375000631838
9,2018-017,worak,1,0.1631437505778967
10,2018-017,worak,2,0.1394497164777734
11,2018-017,worak,3,0.1634530104041346
12,2018-025,worak,0,0.1816729593867493
13,2018-025,worak,1,0.1866055800632112
14,2018-025,worak,2,0.165412166633393
15,2018-025,worak,3,0.1858006565365992
16,2018-033,worak,0,0.1688839380516046
17,2018-033,worak,1,0.17357297744394
18,2018-033,worak,2,0.1493406461311562
19,2018-033,worak,3,0.1735344803630533
20,2018-041,worak,0,0.1709831663584487
21,2018-041,worak,1,0.1744215524392312
22,2018-041,worak,2,0.1495439132435019
23,2018-041,worak,3,0.1739455958882445
24,2018-049,worak,0,0.169225002623007
25,2018-049,worak,1,0.173211582576526
26,2018-049,worak,2,0.1506333448722346
27,2018-049,worak,3,0.1736295699236051
28,2018-057,worak,0,0.1853839877975631
29,2018-057,worak,1,0.1912168712939347
30,2018-057,worak,2,0.1762773761305248
31,2018-057,worak,3,0.1921322681394935
32,2018-065,worak,0,0.1767054789098427
33,2018-065,worak,1,0.1808801370036919
34,2018-065,worak,2,0.1655425366326327
35,2018-065,worak,3,0.1818088871861132
36,2018-073,worak,0,0.1938478647618399
37,2018-073,worak,1,0.1985470833836892
38,2018-073,worak,2,0.1791016237953084
39,2018-073,worak,3,0.1985379939487748
40,2018-081,worak,0,0.1872454827151618
41,2018-081,worak,1,0.1929299898149103
42,2018-081,worak,2,0.1764275851075172
43,2018-081,worak,3,0.1938082861768205
44,2018-089,worak,0,0.2091707687302876
45,2018-089,worak,1,0.2167922403874297
46,2018-089,worak,2,0.1979973180171433
47,2018-089,worak,3,0.2170442647932777
48,2018-097,worak,0,0.2411720665853576
49,2018-097,worak,1,0.2494640133177988
50,2018-097,worak,2,0.2267402451837418
51,2018-097,worak,3,0.2511588689487751
52,2018-105,worak,0,0.3222787712389173
53,2018-105,worak,1,0.3363887822925812
54,2018-105,worak,2,0.3063541155735614
55,2018-105,worak,3,0.3413925823486179
56,2018-113,worak,0,0.3669298661401461
57,2018-113,worak,1,0.3775010569023967
58,2018-113,worak,2,0.3554934977186239
59,2018-113,worak,3,0.3821033112808738
60,2018-121,worak,0,0.4608078216785723
61,2018-121,worak,1,0.4856952937650028
62,2018-121,worak,2,0.4821874646725865
63,2018-121,worak,3,0.4934641752806348
64,2018-129,worak,0,0.5242962711517675
65,2018-129,worak,1,0.5314462324995524
66,2018-129,worak,2,0.5643843681884274
67,2018-129,worak,3,0.534131825211551
68,2018-137,worak,0,0.5329401041991301
69,2018-137,worak,1,0.530353313949809
70,2018-137,worak,2,0.5635953402462701
71,2018-137,worak,3,0.5291474522008142
72,2018-145,worak,0,0.5876811164615156
73,2018-145,worak,1,0.5938389789830867
74,2018-145,worak,2,0.6338959335966653
75,2018-145,worak,3,0.5941387587901187
76,2018-153,worak,0,0.5396617120026077
77,2018-153,worak,1,0.5446343131740752
78,2018-153,worak,2,0.5730442250918867
79,2018-153,worak,3,0.5422683220662159
80,2018-161,worak,0,0.5364189932282087
81,2018-161,worak,1,0.5444182002097818
82,2018-161,worak,2,0.5744059080250902
83,2018-161,worak,3,0.5430301318605024
84,2018-169,worak,0,0.5869459602718534
85,2018-169,worak,1,0.6008105420045151
86,2018-169,worak,2,0.633077576685259
87,2018-169,worak,3,0.596757390433928
88,2018-177,worak,0,0.4047163583076718
89,2018-177,worak,1,0.421616159031151
90,2018-177,worak,2,0.4185015052063173
91,2018-177,worak,3,0.4055692886664669
92,2018-185,worak,0,0.5864273950437839
93,2018-185,worak,1,0.5927848839747133
94,2018-185,worak,2,0.620582278931758
95,2018-185,worak,3,0.5808338155119296
96,2018-193,worak,0,0.6218613894961807
97,2018-193,worak,1,0.6307969035624473
98,2018-193,worak,2,0.6607413462347546
99,2018-193,worak,3,0.6322623488444241
100,2018-201,worak,0,0.5717831292917941
101,2018-201,worak,1,0.5780414558666573
102,2018-201,worak,2,0.6044496731072719
103,2018-201,worak,3,0.5751316992766047
104,2018-209,worak,0,0.6110035089185112
105,2018-209,worak,1,0.628933076343239
106,2018-209,worak,2,0.6645205551078037
107,2018-209,worak,3,0.6236422781491053
108,2018-217,worak,0,0.5550061421977522
109,2018-217,worak,1,0.5570713609412337
110,2018-217,worak,2,0.5954589914151862
111,2018-217,worak,3,0.5425523819522274
112,2018-225,worak,0,0.4487804157750332
113,2018-225,worak,1,0.4618111343114681
114,2018-225,worak,2,0.4576609019370606
115,2018-225,worak,3,0.4720668306476646
116,2018-233,worak,0,0.5098507977360562
117,2018-233,worak,1,0.5329896528277726
118,2018-233,worak,2,0.5451774012871233
119,2018-233,worak,3,0.5385311996089394
120,2018-241,worak,0,0.5398739246078601
121,2018-241,worak,1,0.5479262486252325
122,2018-241,worak,2,0.5737036441340243
123,2018-241,worak,3,0.545777359904966
124,2018-249,worak,0,0.425690720244074
125,2018-249,worak,1,0.4305791950755784
126,2018-249,worak,2,0.452075008644525
127,2018-249,worak,3,0.4134848650743081
128,2018-257,worak,0,0.4371971411667262
129,2018-257,worak,1,0.4418864285825603
130,2018-257,worak,2,0.4494843297715367
131,2018-257,worak,3,0.4408181361473561
132,2018-265,worak,0,0.4920667780325884
133,2018-265,worak,1,0.498687458146216
134,2018-265,worak,2,0.5084955147444034
135,2018-265,worak,3,0.4953856675396303
136,2018-273,worak,0,0.4912939957314594
