,date,code,class,avg
0,2019-001,naejang,0,0.1934417121385535
1,2019-001,naejang,1,0.2222604812639131
2,2019-001,naejang,2,0.1709518358136783
3,2019-001,naejang,3,0.1943306397173924
4,2019-009,naejang,0,0.2001769957818518
5,2019-009,naejang,1,0.236430915900647
6,2019-009,naejang,2,0.1731257149822958
7,2019-009,naejang,3,0.1955817412090888
8,2019-017,naejang,0,0.1928893724276676
9,2019-017,naejang,1,0.2204825700820733
10,2019-017,naejang,2,0.1614968046061836
11,2019-017,naejang,3,0.1844756476801408
12,2019-025,naejang,0,0.2086305761413724
13,2019-025,naejang,1,0.2307268668166342
14,2019-025,naejang,2,0.1765134861378357
15,2019-025,naejang,3,0.1986791592488747
16,2019-033,naejang,0,0.2011031544791403
17,2019-033,naejang,1,0.2272881077454705
18,2019-033,naejang,2,0.1773191550297373
19,2019-033,naejang,3,0.1998197207895109
20,2019-041,naejang,0,0.1945615846367522
21,2019-041,naejang,1,0.2316084415780583
22,2019-041,naejang,2,0.1736641110280332
23,2019-041,naejang,3,0.1967781183219862
24,2019-049,naejang,0,0.2159893164089484
25,2019-049,naejang,1,0.2467390972986713
26,2019-049,naejang,2,0.1973552481963533
27,2019-049,naejang,3,0.214444766938984
28,2019-057,naejang,0,0.1845588353400575
29,2019-057,naejang,1,0.2126886169609228
30,2019-057,naejang,2,0.1639940417927738
31,2019-057,naejang,3,0.1826579785885378
32,2019-065,naejang,0,0.1860988582830583
33,2019-065,naejang,1,0.2185817743441086
34,2019-065,naejang,2,0.1664424586660543
35,2019-065,naejang,3,0.1841125495849163
36,2019-073,naejang,0,0.2147433783449732
37,2019-073,naejang,1,0.2409806700534827
38,2019-073,naejang,2,0.1986275596474041
39,2019-073,naejang,3,0.2154023299336225
40,2019-081,naejang,0,0.2028810347187385
41,2019-081,naejang,1,0.23664165225226
42,2019-081,naejang,2,0.1862482932131052
43,2019-081,naejang,3,0.2038847223804031
44,2019-089,naejang,0,0.2169202368286448
45,2019-089,naejang,1,0.2531777154868857
46,2019-089,naejang,2,0.2010967712696388
47,2019-089,naejang,3,0.2206235882566174
48,2019-097,naejang,0,0.2429779269707812
49,2019-097,naejang,1,0.2691900862251297
50,2019-097,naejang,2,0.225656137852985
51,2019-097,naejang,3,0.232233018486763
52,2019-105,naejang,0,0.3246160962029384
53,2019-105,naejang,1,0.2990525172922949
54,2019-105,naejang,2,0.2809626832860783
55,2019-105,naejang,3,0.2706386785969337
56,2019-113,naejang,0,0.5481167471561524
57,2019-113,naejang,1,0.5490960577902163
58,2019-113,naejang,2,0.576294317531705
59,2019-113,naejang,3,0.5612679297952932
60,2019-121,naejang,0,0.5371952729470006
61,2019-121,naejang,1,0.531184150318756
62,2019-121,naejang,2,0.5754747530398616
63,2019-121,naejang,3,0.5629560271440274
64,2019-129,naejang,0,0.6767476167197274
65,2019-129,naejang,1,0.6327452416826471
66,2019-129,naejang,2,0.7429946808772944
67,2019-129,naejang,3,0.7162132530378478
