,date,code,class,avg
0,2019-001,seorak,0,0.1247148742370936
1,2019-001,seorak,1,0.1771785224307384
2,2019-001,seorak,2,0.1261439978290189
3,2019-001,seorak,3,0.1352926277567118
4,2019-009,seorak,0,0.1569404312527552
5,2019-009,seorak,1,0.2051533907830274
6,2019-009,seorak,2,0.1604441222042957
7,2019-009,seorak,3,0.170349063106838
8,2019-017,seorak,0,0.1335613543241565
9,2019-017,seorak,1,0.18861859254793
10,2019-017,seorak,2,0.1453342513630834
11,2019-017,seorak,3,0.1474157968996323
12,2019-025,seorak,0,0.1316660302897296
13,2019-025,seorak,1,0.1801321077159565
14,2019-025,seorak,2,0.1367715422855729
15,2019-025,seorak,3,0.1459421925801532
16,2019-033,seorak,0,0.1543183899926818
17,2019-033,seorak,1,0.2006426861782624
18,2019-033,seorak,2,0.1527479293573984
19,2019-033,seorak,3,0.1657117805827174
20,2019-041,seorak,0,0.164995508740175
21,2019-041,seorak,1,0.2162490420164086
22,2019-041,seorak,2,0.168272201562303
23,2019-041,seorak,3,0.1769293851101036
24,2019-049,seorak,0,0.1434952602270572
25,2019-049,seorak,1,0.1977859612732221
26,2019-049,seorak,2,0.1492446771454887
27,2019-049,seorak,3,0.1563354745290525
28,2019-057,seorak,0,0.1728119265755814
29,2019-057,seorak,1,0.2089936220324351
30,2019-057,seorak,2,0.1751713286308565
31,2019-057,seorak,3,0.1834318947329893
32,2019-065,seorak,0,0.1654778853097877
33,2019-065,seorak,1,0.2007720757953856
34,2019-065,seorak,2,0.1663685132245186
35,2019-065,seorak,3,0.1741599183185052
36,2019-073,seorak,0,0.1346220350876796
37,2019-073,seorak,1,0.1773499269222329
38,2019-073,seorak,2,0.1399637175017153
39,2019-073,seorak,3,0.1468208787192142
40,2019-081,seorak,0,0.1683901342507544
41,2019-081,seorak,1,0.2134911031933099
42,2019-081,seorak,2,0.1735897254657678
43,2019-081,seorak,3,0.1804682093223568
44,2019-089,seorak,0,0.1617164558162567
45,2019-089,seorak,1,0.2073491123310804
46,2019-089,seorak,2,0.168588567752958
47,2019-089,seorak,3,0.1779955437704796
48,2019-097,seorak,0,0.1544166673887338
49,2019-097,seorak,1,0.2213670963052281
50,2019-097,seorak,2,0.1603312217130582
51,2019-097,seorak,3,0.1656107020438536
52,2019-105,seorak,0,0.2039396504217216
53,2019-105,seorak,1,0.2604412399707114
54,2019-105,seorak,2,0.2075827266287319
55,2019-105,seorak,3,0.2145723980655712
56,2019-113,seorak,0,0.2624690071223058
57,2019-113,seorak,1,0.3757144473288316
58,2019-113,seorak,2,0.2880245092752458
59,2019-113,seorak,3,0.2775337323515582
60,2019-121,seorak,0,0.4381144478466329
61,2019-121,seorak,1,0.5456641430467292
62,2019-121,seorak,2,0.5410827902886166
63,2019-121,seorak,3,0.4964432603308
64,2019-129,seorak,0,0.5513221228676497
65,2019-129,seorak,1,0.6287169173132027
66,2019-129,seorak,2,0.6619994731619565
