,date,code,class,avg
0,2021-001,byeonsan,0,0.1121829193012039
1,2021-001,byeonsan,1,0.1125903491387877
2,2021-001,byeonsan,2,0.1070910504859224
3,2021-001,byeonsan,3,0.1110888067440297
4,2021-009,byeonsan,0,0.1945183907119144
5,2021-009,byeonsan,1,0.218963326087108
6,2021-009,byeonsan,2,0.1748644821237731
7,2021-009,byeonsan,3,0.1992881995339565
8,2021-017,byeonsan,0,0.1958826289441284
9,2021-017,byeonsan,1,0.2183483824654278
10,2021-017,byeonsan,2,0.1792411913222947
11,2021-017,byeonsan,3,0.198223689223456
12,2021-025,byeonsan,0,0.2063718910385729
13,2021-025,byeonsan,1,0.2311063952065126
14,2021-025,byeonsan,2,0.1880798129947376
15,2021-025,byeonsan,3,0.2124713018303752
16,2021-033,byeonsan,0,0.1990750741063718
17,2021-033,byeonsan,1,0.2221655857669771
18,2021-033,byeonsan,2,0.1832746077954719
19,2021-033,byeonsan,3,0.2021526222564225
20,2021-041,byeonsan,0,0.2056090260354775
21,2021-041,byeonsan,1,0.2286235367531841
22,2021-041,byeonsan,2,0.1881188805572449
23,2021-041,byeonsan,3,0.2116916146779012
24,2021-049,byeonsan,0,0.2139429486133877
25,2021-049,byeonsan,1,0.2373484182247802
26,2021-049,byeonsan,2,0.2108121508181402
27,2021-049,byeonsan,3,0.2251236819639526
28,2021-057,byeonsan,0,0.2174024319104818
29,2021-057,byeonsan,1,0.2428656913924749
30,2021-057,byeonsan,2,0.2029263692966045
31,2021-057,byeonsan,3,0.2276384957092852
32,2021-065,byeonsan,0,0.2183521242622295
33,2021-065,byeonsan,1,0.2414180912241868
34,2021-065,byeonsan,2,0.2067118473275442
35,2021-065,byeonsan,3,0.2255396002936101
36,2021-073,byeonsan,0,0.2044341381305008
37,2021-073,byeonsan,1,0.2268123162562194
38,2021-073,byeonsan,2,0.1913622192623329
39,2021-073,byeonsan,3,0.2106468418951389
40,2021-081,byeonsan,0,0.2159324266540707
41,2021-081,byeonsan,1,0.2345125142243509
42,2021-081,byeonsan,2,0.203359524086417
43,2021-081,byeonsan,3,0.2199687137159854
44,2021-089,byeonsan,0,0.2615890005066096
45,2021-089,byeonsan,1,0.2830845477141006
46,2021-089,byeonsan,2,0.249496200517845
47,2021-089,byeonsan,3,0.2682548583637848
48,2021-097,byeonsan,0,0.3303511845589664
49,2021-097,byeonsan,1,0.3396027705076211
50,2021-097,byeonsan,2,0.3367648214294436
51,2021-097,byeonsan,3,0.3404817194414932
52,2021-105,byeonsan,0,0.4102067546355909
53,2021-105,byeonsan,1,0.4172463395881945
54,2021-105,byeonsan,2,0.4336340053161351
55,2021-105,byeonsan,3,0.4325787820728373
56,2021-113,byeonsan,0,0.4761580001038193
57,2021-113,byeonsan,1,0.458456551563909
58,2021-113,byeonsan,2,0.5214165899604065
