,date,code,class,avg
0,2021-001,jiri,0,0.2057712221284448
1,2021-001,jiri,1,0.2388405493045004
2,2021-001,jiri,2,0.1946539451409243
3,2021-001,jiri,3,0.209743343141923
4,2021-009,jiri,0,0.1863342103127084
5,2021-009,jiri,1,0.2313426538358885
6,2021-009,jiri,2,0.1837311115148038
7,2021-009,jiri,3,0.1948509887959921
8,2021-017,jiri,0,0.1762888968009754
9,2021-017,jiri,1,0.2084967496505425
10,2021-017,jiri,2,0.1667015845253849
11,2021-017,jiri,3,0.1778665313669498
12,2021-025,jiri,0,0.2042140576783644
13,2021-025,jiri,1,0.2399679836535773
14,2021-025,jiri,2,0.18993557533054
15,2021-025,jiri,3,0.1978964741081634
16,2021-033,jiri,0,0.2102582914659667
17,2021-033,jiri,1,0.2405657411029375
18,2021-033,jiri,2,0.2030536780701574
19,2021-033,jiri,3,0.2152840788495975
20,2021-041,jiri,0,0.1972559041995506
21,2021-041,jiri,1,0.2312005369088189
22,2021-041,jiri,2,0.1888325791394522
23,2021-041,jiri,3,0.2013165401073853
24,2021-049,jiri,0,0.2306418451116046
25,2021-049,jiri,1,0.2679809548360348
26,2021-049,jiri,2,0.2312396732049642
27,2021-049,jiri,3,0.2452483715346008
28,2021-057,jiri,0,0.234607009470536
29,2021-057,jiri,1,0.2640723777529561
30,2021-057,jiri,2,0.2191776289422375
31,2021-057,jiri,3,0.2414700733009972
32,2021-065,jiri,0,0.2307123147357787
33,2021-065,jiri,1,0.2578554644133505
34,2021-065,jiri,2,0.2226914894830455
35,2021-065,jiri,3,0.2349421971722008
36,2021-073,jiri,0,0.2071443858422608
37,2021-073,jiri,1,0.2400559684880907
38,2021-073,jiri,2,0.2045521739124331
39,2021-073,jiri,3,0.2111394434632315
40,2021-081,jiri,0,0.2129338521417425
41,2021-081,jiri,1,0.2420230436078271
42,2021-081,jiri,2,0.2133420383719367
43,2021-081,jiri,3,0.2289131879302909
44,2021-089,jiri,0,0.2560939818887965
45,2021-089,jiri,1,0.2947418637106849
46,2021-089,jiri,2,0.2451308382740354
47,2021-089,jiri,3,0.2579738613415905
48,2021-097,jiri,0,0.244605037369724
49,2021-097,jiri,1,0.2789608130822494
50,2021-097,jiri,2,0.2446141502441828
51,2021-097,jiri,3,0.2380153584300096
52,2021-105,jiri,0,0.3219568037285597
53,2021-105,jiri,1,0.378906731188503
54,2021-105,jiri,2,0.3573335506125738
55,2021-105,jiri,3,0.3026091516940129
56,2021-113,jiri,0,0.3444514154827658
57,2021-113,jiri,1,0.3951210239124629
58,2021-113,jiri,2,0.4277879186652008
59,2021-113,jiri,3,0.3389899209254537
60,2021-121,jiri,0,0.3826644058883891
61,2021-121,jiri,1,0.4493293116698837
62,2021-121,jiri,2,0.4770601861407478
63,2021-121,jiri,3,0.3829604501698984
64,2021-129,jiri,0,0.5913252069811764
65,2021-129,jiri,1,0.5932180953998638
66,2021-129,jiri,2,0.7220506891886596
67,2021-129,jiri,3,0.6246169079029448
68,2021-137,jiri,0,0.5593605608465974
69,2021-137,jiri,1,0.5439209274336912
70,2021-137,jiri,2,0.6536947525657985
71,2021-137,jiri,3,0.5862911474941548
72,2021-145,jiri,0,0.6376065841224507
73,2021-145,jiri,1,0.6193479712650637
74,2021-145,jiri,2,0.7425369036272477
75,2021-145,jiri,3,0.671723094540036
76,2021-153,jiri,0,0.6463266554398261
77,2021-153,jiri,1,0.62374227397155
78,2021-153,jiri,2,0.7294909490374761
79,2021-153,jiri,3,0.6815797512668246
80,2021-161,jiri,0,0.701658933899676
81,2021-161,jiri,1,0.6647884167379314
82,2021-161,jiri,2,0.7655490903095129
83,2021-161,jiri,3,0.7223332338767987
84,2021-169,jiri,0,0.6638253638882748
85,2021-169,jiri,1,0.6325872055986831
86,2021-169,jiri,2,0.7093774891343544
87,2021-169,jiri,3,0.6822410762535371
88,2021-177,jiri,0,0.473350137715789
89,2021-177,jiri,1,0.494771096569806
90,2021-177,jiri,2,0.5629937746553662
91,2021-177,jiri,3,0.477863724228491
92,2021-185,jiri,0,0.4715768138796357
93,2021-185,jiri,1,0.5130638910282688
94,2021-185,jiri,2,0.5335962528148415
95,2021-185,jiri,3,0.5153892810026359
96,2021-193,jiri,0,0.5013751615296561
97,2021-193,jiri,1,0.544019213055763
98,2021-193,jiri,2,0.5869488080729665
99,2021-193,jiri,3,0.5673861957972153
100,2021-201,jiri,0,0.5280517186767655
101,2021-201,jiri,1,0.5166276410480756
102,2021-201,jiri,2,0.5839042099225782
103,2021-201,jiri,3,0.5354781274573323
104,2021-209,jiri,0,0.6406527663135485
105,2021-209,jiri,1,0.6187687310612764
106,2021-209,jiri,2,0.6879976741946381
107,2021-209,jiri,3,0.6533048260633854
108,2021-217,jiri,0,0.4833870432970537
109,2021-217,jiri,1,0.4868381234154186
110,2021-217,jiri,2,0.5259125145056884
111,2021-217,jiri,3,0.4910443227400237
112,2021-225,jiri,0,0.3784955351264201
113,2021-225,jiri,1,0.4307378440527896
114,2021-225,jiri,2,0.4905728364192435
115,2021-225,jiri,3,0.4314882179949614
116,2021-233,jiri,0,0.5812947417676135
117,2021-233,jiri,1,0.5587431378437592
118,2021-233,jiri,2,0.6088160379507129
119,2021-233,jiri,3,0.5809971551505092
120,2021-241,jiri,0,0.5330289694835877
121,2021-241,jiri,1,0.5375067113252451
122,2021-241,jiri,2,0.6038247778520377
123,2021-241,jiri,3,0.5513214857813494
124,2021-249,jiri,0,0.4894225969023092
125,2021-249,jiri,1,0.4936234800844961
