,date,code,class,avg
0,2021-001,sobaek,0,0.1515623376916016
1,2021-001,sobaek,1,0.183368445076279
2,2021-001,sobaek,2,0.1446406988993863
3,2021-001,sobaek,3,0.167267718479531
4,2021-009,sobaek,0,0.1362752331242189
5,2021-009,sobaek,1,0.1635663474856874
6,2021-009,sobaek,2,0.1296268799140141
7,2021-009,sobaek,3,0.1483458421487758
8,2021-017,sobaek,0,0.1470045958973674
9,2021-017,sobaek,1,0.1675157399582578
10,2021-017,sobaek,2,0.1348362864416099
11,2021-017,sobaek,3,0.1516511028408665
12,2021-025,sobaek,0,0.1520263526229646
13,2021-025,sobaek,1,0.1795730025279697
14,2021-025,sobaek,2,0.1420985775802025
15,2021-025,sobaek,3,0.1626708192894561
16,2021-033,sobaek,0,0.1627560916216309
17,2021-033,sobaek,1,0.1766785613633043
18,2021-033,sobaek,2,0.1479057985197571
19,2021-033,sobaek,3,0.1622978384654449
20,2021-041,sobaek,0,0.1709875741420012
21,2021-041,sobaek,1,0.1845321216868207
22,2021-041,sobaek,2,0.1547670432457469
23,2021-041,sobaek,3,0.1743078610521125
24,2021-049,sobaek,0,0.1807595866395505
25,2021-049,sobaek,1,0.2027055560478371
26,2021-049,sobaek,2,0.1759030764885283
27,2021-049,sobaek,3,0.1865060765958812
28,2021-057,sobaek,0,0.1855876446402306
29,2021-057,sobaek,1,0.1992247634944209
30,2021-057,sobaek,2,0.1742616463771078
31,2021-057,sobaek,3,0.1898774549406228
32,2021-065,sobaek,0,0.1866863712911902
33,2021-065,sobaek,1,0.199862316913668
34,2021-065,sobaek,2,0.1754360625923706
35,2021-065,sobaek,3,0.1869047454550851
36,2021-073,sobaek,0,0.1847425917292944
37,2021-073,sobaek,1,0.199752057761904
38,2021-073,sobaek,2,0.1740617345556585
39,2021-073,sobaek,3,0.1882139742073633
40,2021-081,sobaek,0,0.1678062892426528
41,2021-081,sobaek,1,0.1808054305970801
42,2021-081,sobaek,2,0.1538435443717833
43,2021-081,sobaek,3,0.1656016159498901
