,date,code,class,avg
0,2021-001,songni,0,0.2232806012492375
1,2021-001,songni,1,0.2366776191288214
2,2021-001,songni,2,0.2007796327618979
3,2021-001,songni,3,0.2270769712615131
4,2021-009,songni,0,0.2068479507726536
5,2021-009,songni,1,0.2196593002843939
6,2021-009,songni,2,0.1813481911190952
7,2021-009,songni,3,0.2095756348117669
8,2021-017,songni,0,0.1958966326006556
9,2021-017,songni,1,0.2119622388261765
10,2021-017,songni,2,0.1738414974203802
11,2021-017,songni,3,0.2013624264050153
12,2021-025,songni,0,0.2286238351670684
13,2021-025,songni,1,0.2400945093328519
14,2021-025,songni,2,0.2034261597784064
15,2021-025,songni,3,0.2301019361885949
16,2021-033,songni,0,0.2062896065041939
17,2021-033,songni,1,0.2210553607494267
18,2021-033,songni,2,0.1851749760735843
19,2021-033,songni,3,0.2111070445950419
20,2021-041,songni,0,0.2106058644142061
21,2021-041,songni,1,0.2231271912928191
22,2021-041,songni,2,0.1913519481137455
23,2021-041,songni,3,0.2146810967826579
24,2021-049,songni,0,0.1892260661062065
25,2021-049,songni,1,0.2075127934152854
26,2021-049,songni,2,0.1744740903868333
27,2021-049,songni,3,0.1992937144066301
28,2021-057,songni,0,0.2170462290539095
29,2021-057,songni,1,0.2306173437415339
30,2021-057,songni,2,0.2029193372743265
31,2021-057,songni,3,0.2236374193727715
32,2021-065,songni,0,0.2299425504813661
33,2021-065,songni,1,0.2461318051589328
34,2021-065,songni,2,0.2158583628217467
35,2021-065,songni,3,0.2368847233927848
36,2021-073,songni,0,0.2201583484443693
37,2021-073,songni,1,0.23399767416059
38,2021-073,songni,2,0.2052842064463803
39,2021-073,songni,3,0.2263462041817255
40,2021-081,songni,0,0.217345666509507
41,2021-081,songni,1,0.2333373063326412
42,2021-081,songni,2,0.2033165883396739
43,2021-081,songni,3,0.2239580166818174
44,2021-089,songni,0,0.2510932794020765
45,2021-089,songni,1,0.269679926241791
46,2021-089,songni,2,0.2388692613748859
47,2021-089,songni,3,0.2630444664925944
48,2021-097,songni,0,0.2425992447563703
49,2021-097,songni,1,0.2621435798758003
50,2021-097,songni,2,0.2347333592837424
51,2021-097,songni,3,0.2544787161230856
52,2021-105,songni,0,0.252961009021206
53,2021-105,songni,1,0.2810241269529956
54,2021-105,songni,2,0.2509619774220408
55,2021-105,songni,3,0.2766653689480529
56,2021-113,songni,0,0.4001430709656278
57,2021-113,songni,1,0.4397804245688874
58,2021-113,songni,2,0.4292510227353807
59,2021-113,songni,3,0.4396724201491235
60,2021-121,songni,0,0.4870492734813519
61,2021-121,songni,1,0.5032503049054569
62,2021-121,songni,2,0.515618003315307
63,2021-121,songni,3,0.5143223887956289
64,2021-129,songni,0,0.4932246496328986
65,2021-129,songni,1,0.5164511694729448
66,2021-129,songni,2,0.5354480391860612
67,2021-129,songni,3,0.5255564607430624
68,2021-137,songni,0,0.5636867891993149
69,2021-137,songni,1,0.5569200494982931
70,2021-137,songni,2,0.5995331693023834
71,2021-137,songni,3,0.5704462036510224
72,2021-145,songni,0,0.6048486816514909
73,2021-145,songni,1,0.5977954526150534
74,2021-145,songni,2,0.6412241987964181
75,2021-145,songni,3,0.6069312407811517
76,2021-153,songni,0,0.5761966948325037
77,2021-153,songni,1,0.5656957682457988
78,2021-153,songni,2,0.6087536779728142
79,2021-153,songni,3,0.5713905380552844
80,2021-161,songni,0,0.5705988207200174
81,2021-161,songni,1,0.5800554079501309
82,2021-161,songni,2,0.6057862459343214
83,2021-161,songni,3,0.5840691076487265
84,2021-169,songni,0,0.6123816645830282
85,2021-169,songni,1,0.6023373126416371
86,2021-169,songni,2,0.6346610759260821
87,2021-169,songni,3,0.612713562931102
88,2021-177,songni,0,0.2950658047683032
89,2021-177,songni,1,0.2954680270206671
90,2021-177,songni,2,0.3037391490436513
91,2021-177,songni,3,0.2946323919782226
92,2021-185,songni,0,0.473355087327269
93,2021-185,songni,1,0.467443727254731
94,2021-185,songni,2,0.4865633026979167
95,2021-185,songni,3,0.4633790098025588
96,2021-193,songni,0,0.622537296500007
97,2021-193,songni,1,0.6239498514111597
98,2021-193,songni,2,0.6634391056785567
99,2021-193,songni,3,0.6323924009582894
100,2021-201,songni,0,0.5978625890828322
101,2021-201,songni,1,0.5999964271645891
102,2021-201,songni,2,0.6320105382464707
103,2021-201,songni,3,0.6114353676840777
104,2021-209,songni,0,0.5228731833543299
105,2021-209,songni,1,0.5220362412452637
106,2021-209,songni,2,0.5497462633425246
107,2021-209,songni,3,0.5288828138344323
108,2021-217,songni,0,0.5421747877010054
109,2021-217,songni,1,0.5351149061231459
110,2021-217,songni,2,0.565039153976446
111,2021-217,songni,3,0.549620079944172
112,2021-225,songni,0,0.5513339450763908
113,2021-225,songni,1,0.5660708858719828
114,2021-225,songni,2,0.5802011468553273
115,2021-225,songni,3,0.5612215983054379
116,2021-233,songni,0,0.4264821735419236
117,2021-233,songni,1,0.4284264827791263
118,2021-233,songni,2,0.442552490849235
119,2021-233,songni,3,0.4205099106279282
120,2021-241,songni,0,0.4764283871217816
121,2021-241,songni,1,0.4822922273047785
122,2021-241,songni,2,0.4893239792128432
123,2021-241,songni,3,0.479651525938563
124,2021-249,songni,0,0.4798598477863475
125,2021-249,songni,1,0.4846154377980105
126,2021-249,songni,2,0.5103820228767717
127,2021-249,songni,3,0.488985935678672
128,2021-257,songni,0,0.4427549547955767
129,2021-257,songni,1,0.4514773040960709
130,2021-257,songni,2,0.4629971830144343
131,2021-257,songni,3,0.4488398365784213
132,2021-265,songni,0,0.4449339371534449
133,2021-265,songni,1,0.4420776883272851
134,2021-265,songni,2,0.4567422959672672
135,2021-265,songni,3,0.4446323739496269
136,2021-273,songni,0,0.4274041285038043
137,2021-273,songni,1,0.4322691946869816
138,2021-273,songni,2,0.4464223047589022
139,2021-273,songni,3,0.4343395856286735
140,2021-281,songni,0,0.4371386270445028
141,2021-281,songni,1,0.4442275164379981
142,2021-281,songni,2,0.4509509063358944
143,2021-281,songni,3,0.4483132798112647
144,2021-289,songni,0,0.4159596944437356
145,2021-289,songni,1,0.4248322842202395
146,2021-289,songni,2,0.4305189154652127
147,2021-289,songni,3,0.4243342545443052
148,2021-297,songni,0,0.3198460695301699
149,2021-297,songni,1,0.3314816063546598
150,2021-297,songni,2,0.3191324977920257
151,2021-297,songni,3,0.3294566083532127
152,2021-305,songni,0,0.2548177438807278
153,2021-305,songni,1,0.2709573824693707
154,2021-305,songni,2,0.2456927198702976
155,2021-305,songni,3,0.2660783794669821
156,2021-313,songni,0,0.2105566935394792
157,2021-313,songni,1,0.2226242683997233
158,2021-313,songni,2,0.1891085688113292
159,2021-313,songni,3,0.2160785713067697
160,2021-321,songni,0,0.2233615318871736
161,2021-321,songni,1,0.2353176721877517
162,2021-321,songni,2,0.2001216183180244
163,2021-321,songni,3,0.2241527817489151
164,2021-329,songni,0,0.2216760923804555
165,2021-329,songni,1,0.2337442275203171
166,2021-329,songni,2,0.1941201891759703
