,code,class,date,avg,DOY
1,bukhan,0,2003-01-01,0.12354829612092877,1
9,bukhan,0,2003-01-09,0.1232360319484052,9
17,bukhan,0,2003-01-17,0.12286577635633089,17
25,bukhan,0,2003-01-25,0.1224280176644721,25
33,bukhan,0,2003-02-02,0.1219143365591513,33
41,bukhan,0,2003-02-10,0.1213240270233529,41
49,bukhan,0,2003-02-18,0.12068651406019475,49
57,bukhan,0,2003-02-26,0.1201355319750663,57
65,bukhan,0,2003-03-06,0.12015125489776088,65
73,bukhan,0,2003-03-14,0.12233208753906799,73
81,bukhan,0,2003-03-22,0.1316828742202985,81
89,bukhan,0,2003-03-30,0.16185097980204613,89
97,bukhan,0,2003-04-07,0.2369483669703989,97
105,bukhan,0,2003-04-15,0.3562177579350335,105
113,bukhan,0,2003-04-23,0.45761912680438066,113
121,bukhan,0,2003-05-01,0.5062124415941472,121
129,bukhan,0,2003-05-09,0.5213997124442319,129
137,bukhan,0,2003-05-17,0.5231168729939861,137
145,bukhan,0,2003-05-25,0.5198818168906981,145
153,bukhan,0,2003-06-02,0.5145186332240312,153
161,bukhan,0,2003-06-10,0.5078517747692688,161
169,bukhan,0,2003-06-18,0.5000715826252592,169
177,bukhan,0,2003-06-26,0.4911779109174351,177
185,bukhan,0,2003-07-04,0.4811220082756504,185
193,bukhan,0,2003-07-12,0.4698551292094409,193
201,bukhan,0,2003-07-20,0.4573489720486494,201
209,bukhan,0,2003-07-28,0.4436074505059499,209
217,bukhan,0,2003-08-05,0.4286750626629702,217
225,bukhan,0,2003-08-13,0.41264263679591906,225
233,bukhan,0,2003-08-21,0.39564986468304175,233
241,bukhan,0,2003-08-29,0.3778837977107146,241
249,bukhan,0,2003-09-06,0.3595727890346254,249
257,bukhan,0,2003-09-14,0.3409759887590204,257
265,bukhan,0,2003-09-22,0.32236925631181784,265
273,bukhan,0,2003-09-30,0.304029038602715,273
281,bukhan,0,2003-10-08,0.28621617534150423,281
289,bukhan,0,2003-10-16,0.26916160764668073,289
297,bukhan,0,2003-10-24,0.2530555776385139,297
305,bukhan,0,2003-11-01,0.2380412323693031,305
313,bukhan,0,2003-11-09,0.22421277603034911,313
321,bukhan,0,2003-11-17,0.21161764103889055,321
329,bukhan,0,2003-11-25,0.20026170099206556,329
337,bukhan,0,2003-12-03,0.19011636837416304,337
345,bukhan,0,2003-12-11,0.18112647230006274,345
353,bukhan,0,2003-12-19,0.17321801776883888,353
361,bukhan,0,2003-12-27,0.16630520113953873,361
366,bukhan,0,2004-01-01,0.12722835001394714,1
374,bukhan,0,2004-01-09,0.12722580979423737,9
382,bukhan,0,2004-01-17,0.12722234107380723,17
390,bukhan,0,2004-01-25,0.12721760543289343,25
398,bukhan,0,2004-02-02,0.12721114620642485,33
406,bukhan,0,2004-02-10,0.1272023748389247,41
414,bukhan,0,2004-02-18,0.1271907127799981,49
422,bukhan,0,2004-02-26,0.1271768175939509,57
430,bukhan,0,2004-03-05,0.12717089613041552,65
438,bukhan,0,2004-03-13,0.12724672179761465,73
446,bukhan,0,2004-03-21,0.12788837235098488,81
454,bukhan,0,2004-03-29,0.1321607357907195,89
462,bukhan,0,2004-04-06,0.15740960706480348,97
470,bukhan,0,2004-04-14,0.25713827676386364,105
